Energy_MeV,Elec_Stop,Nuc_Stop,Total_Stop,Range_A,Straggling_Long_A,Straggling_Lat_A
0.035,1.182,4.873,6.055,1.39,1.3,1.02
0.0375,1.232,4.77,6.002,1.49,1.35,1.06
0.04,1.28,4.672,5.952,1.58,1.39,1.1
0.045,1.374,4.488,5.862,1.76,1.48,1.18
0.05,1.465,4.32,5.785,1.94,1.56,1.25
0.055,1.552,4.166,5.718,2.11,1.64,1.32
0.06,1.636,4.024,5.66,2.28,1.71,1.39
0.065,1.717,3.893,5.609999999999999,2.45,1.77,1.45
0.07,1.795,3.772,5.567,2.62,1.83,1.51
0.08,1.945,3.554,5.499,2.94,1.94,1.62
0.09,2.087,3.364,5.4510000000000005,3.25,2.04,1.72
0.1,2.221,3.196,5.417,3.56,2.13,1.82
0.11,2.348,3.047,5.395,3.86,2.21,1.9
0.12,2.468,2.914,5.382,4.15,2.29,1.99
0.13,2.583,2.793,5.376,4.43,2.35,2.06
0.14,2.692,2.684,5.376,4.71,2.42,2.13
0.15,2.796,2.584,5.38,4.98,2.47,2.2
0.16,2.895,2.493,5.388,5.25,2.53,2.26
0.17,2.99,2.408,5.398,5.51,2.58,2.33
0.18,3.081,2.331,5.412,5.76,2.62,2.38
0.2,3.25,2.191,5.441,6.26,2.71,2.49
0.225,3.442,2.042,5.484,6.87,2.81,2.62
0.25,3.613,1.915,5.5280000000000005,7.46,2.89,2.73
0.275,3.765,1.804,5.569,8.03,2.97,2.84
0.3,3.901,1.707,5.608,8.58,3.04,2.94
0.325,4.022,1.622,5.644,9.13,3.1,3.03
0.35,4.128,1.546,5.674,9.66,3.16,3.11
0.375,4.222,1.477,5.699000000000001,10.19,3.21,3.2
0.4,4.304,1.415,5.719,10.71,3.27,3.28
0.45,4.438,1.308,5.7459999999999996,11.73,3.36,3.42
0.5,4.536,1.217,5.753,12.74,3.45,3.56
0.55,4.606,1.139,5.745,13.74,3.52,3.69
0.6,4.652,1.072,5.724,14.74,3.6,3.82
0.65,4.679,1.014,5.6930000000000005,15.73,3.67,3.94
0.7,4.69,9.616,14.306000000000001,16.72,3.73,4.05
0.8,4.677,8.737,13.414,18.72,3.86,4.28
0.9,4.631,8.021,12.652000000000001,20.75,3.98,4.49
0.001,4.565,7.424,11.989,22.82,4.09,4.7
0.0011,4.485,6.918,11.403,24.92,4.2,4.91
0.0012,4.399,6.483,10.882,27.07,4.31,5.12
0.0013,4.308,6.105,10.413,29.28,4.42,5.32
0.0014,4.217,5.772,9.989,31.53,4.53,5.53
0.0015,4.127,5.477,9.604,33.84,4.63,5.74
0.0016,4.037,5.214,9.251000000000001,36.2,4.74,5.95
0.0017,3.951,4.977,8.928,38.62,4.85,6.17
0.0018,3.866,4.763,8.629,41.1,4.95,6.38
0.002,3.707,4.39,8.097,46.22,5.19,6.83
0.00225,3.524,4.005,7.529,52.94,5.52,7.4
0.0025,3.359,3.688,7.047000000000001,60.02,5.85,7.99
0.00275,3.21,3.421,6.631,67.44,6.19,8.61
0.003,3.076,3.193,6.269,75.21,6.54,9.25
0.00325,2.954,2.996,5.95,83.31,6.91,9.91
0.0035,2.843,2.823,5.666,91.75,7.28,10.6
0.00375,2.741,2.671,5.412,100.52,7.66,11.31
0.004,2.648,2.536,5.184,109.61,8.05,12.04
0.0045,2.483,2.306,4.789,128.72,9.06,13.57
0.005,2.342,2.117,4.459,149.07,10.09,15.19
0.0055,2.219,1.958,4.177,170.62,11.15,16.88
0.006,2.111,1.824,3.9350000000000005,193.32,12.23,18.66
0.0065,2.015,1.708,3.723,217.15,13.33,20.51
0.007,1.93,1.607,3.537,242.09,14.46,22.44
0.008,1.784,1.439,3.223,295.15,17.58,26.5
0.009,1.682,1.304,2.9859999999999998,352.01,20.65,30.81
0.01,1.587,1.195,2.782,412.34,23.7,35.32
