Energy_MeV,Elec_Stop,Nuc_Stop,Total_Stop
0.001,31.26,13.86,45.12
0.0015,38.13,14.73,52.87
0.002,43.91,15.18,59.09
0.0025,48.98,15.4,64.38
0.003,53.56,15.5,69.05
0.004,61.66,15.47,77.14
0.005,68.79,15.31,84.1
0.006,75.21,15.08,90.29
0.007,81.11,14.82,95.93
0.008,86.6,14.55,101.1
0.009,91.74,14.27,106.0
0.01,96.6,14.0,110.6
0.0125,107.7,13.36,121.1
0.015,117.8,12.77,130.6
0.0175,127.0,12.23,139.3
0.02,135.6,11.75,147.4
0.0225,143.6,11.31,155.0
0.025,151.2,10.9,162.1
0.0275,158.4,10.53,169.0
0.03,165.3,10.19,175.5
0.035,178.2,9.577,187.8
0.04,190.2,9.048,199.3
0.045,201.4,8.584,210.0
0.05,212.0,8.173,220.2
0.055,222.0,7.806,229.8
0.06,231.6,7.476,239.1
0.065,240.7,7.177,247.9
0.07,249.5,6.905,256.4
0.075,257.9,6.656,264.6
0.08,266.0,6.427,272.4
0.085,273.9,6.215,280.1
0.09,281.4,6.019,287.5
0.095,288.8,5.837,294.6
0.1,295.9,5.667,301.6
0.125,328.8,4.964,333.7
0.15,357.8,4.433,362.2
0.175,383.8,4.017,387.8
0.2,407.4,3.68,411.1
0.225,428.8,3.401,432.2
0.25,448.4,3.166,451.6
0.275,466.3,2.964,469.3
0.3,482.8,2.789,485.6
0.35,511.8,2.5,514.3
0.4,536.2,2.271,538.5
0.45,556.6,2.084,558.7
0.5,573.5,1.928,575.4
0.55,587.3,1.795,589.1
0.6,598.4,1.682,600.1
0.65,607.2,1.583,608.7
0.7,613.8,1.496,615.3
0.75,618.5,1.419,619.9
0.8,621.6,1.35,623.0
0.85,623.4,1.288,624.6
0.9,623.8,1.232,625.1
0.95,623.3,1.181,624.5
1.0,621.8,1.135,623.0
1.25,604.4,0.9518,605.4
1.5,578.7,0.8229,579.5
1.75,550.8,0.7268,551.5
2.0,523.3,0.6522,524.0
2.25,497.6,0.5924,498.2
2.5,474.4,0.5434,474.9
2.75,453.6,0.5024,454.1
3.0,435.0,0.4676,435.4
3.5,402.7,0.4114,403.1
4.0,375.9,0.3681,376.3
4.5,353.2,0.3335,353.5
5.0,333.6,0.3052,333.9
5.5,316.9,0.2816,317.2
6.0,302.0,0.2616,302.3
6.5,288.8,0.2445,289.0
7.0,276.9,0.2295,277.1
7.5,266.2,0.2165,266.4
8.0,256.5,0.2049,256.7
8.5,247.7,0.1945,247.8
9.0,239.5,0.1852,239.7
9.5,232.0,0.1768,232.2
10.0,225.1,0.1692,225.3
12.5,196.9,0.1397,197.0
15.0,176.0,0.1193,176.1
17.5,159.8,0.1043,159.9
20.0,146.7,0.09288,146.8
25.0,126.8,0.07642,126.9
27.5,119.0,0.07029,119.1
30.0,112.2,0.06512,112.3
35.0,101.0,0.05686,101.1
40.0,92.09,0.05053,92.14
45.0,84.78,0.04553,84.83
50.0,78.72,0.04147,78.76
55.0,73.55,0.0381,73.59
60.0,69.09,0.03526,69.13
65.0,65.22,0.03283,65.25
70.0,61.8,0.03073,61.83
75.0,58.77,0.0289,58.8
80.0,56.07,0.02727,56.09
85.0,53.63,0.02583,53.65
90.0,51.42,0.02454,51.45
95.0,49.41,0.02338,49.44
100.0,47.58,0.02232,47.6
125.0,40.33,0.01825,40.35
150.0,35.23,0.01548,35.24
175.0,31.43,0.01346,31.44
200.0,28.48,0.01191,28.49
225.0,26.11,0.0107,26.13
250.0,24.18,0.009711,24.19
275.0,22.56,0.008896,22.57
300.0,21.18,0.008211,21.19
350.0,18.97,0.007122,18.98
400.0,17.26,0.006292,17.27
450.0,15.9,0.005638,15.91
500.0,14.79,0.005108,14.8
550.0,13.87,0.004671,13.88
600.0,13.09,0.004305,13.1
650.0,12.43,0.003993,12.43
700.0,11.85,0.003724,11.85
750.0,11.35,0.003489,11.35
800.0,10.9,0.003282,10.9
850.0,10.51,0.003099,10.51
900.0,10.15,0.002934,10.15
950.0,9.834,0.002787,9.837
1000.0,9.547,0.002653,9.549
