Energy_MeV,Elec_Stop,Nuc_Stop,Total_Stop,Range_A,Straggling_Long_A,Straggling_Lat_A
0.07,2.571,6.713,9.284,2.19,1.16,1.02
0.08,2.761,6.231,8.992,2.46,1.22,1.09
0.09,2.938,5.824,8.762,2.72,1.28,1.16
0.1,3.103,5.474,8.577,2.97,1.33,1.22
0.11,3.257,5.169,8.426,3.22,1.37,1.27
0.12,3.403,4.901,8.304,3.46,1.41,1.32
0.13,3.54,4.664,8.204,3.69,1.45,1.37
0.14,3.67,4.451,8.120999999999999,3.92,1.48,1.42
0.15,3.793,4.26,8.053,4.14,1.52,1.46
0.16,3.91,4.086,7.996,4.36,1.55,1.5
0.17,4.021,3.928,7.949,4.57,1.57,1.54
0.18,4.127,3.784,7.911,4.78,1.6,1.58
0.2,4.323,3.528,7.851000000000001,5.19,1.65,1.65
0.225,4.543,3.259,7.802,5.68,1.7,1.73
0.25,4.74,3.032,7.772,6.16,1.75,1.8
0.275,4.914,2.838,7.752,6.63,1.79,1.87
0.3,5.07,2.671,7.741,7.08,1.82,1.93
0.325,5.21,2.524,7.734,7.53,1.86,1.99
0.35,5.334,2.394,7.728,7.96,1.89,2.04
0.375,5.445,2.278,7.723000000000001,8.39,1.92,2.09
0.4,5.544,2.175,7.718999999999999,8.81,1.95,2.14
0.45,5.71,1.996,7.7059999999999995,9.65,2.0,2.23
0.5,5.84,1.847,7.686999999999999,10.46,2.05,2.32
0.55,5.94,1.721,7.6610000000000005,11.27,2.09,2.4
0.6,6.016,1.612,7.628,12.06,2.13,2.47
0.65,6.071,1.518,7.5889999999999995,12.85,2.16,2.54
0.7,6.108,1.435,7.542999999999999,13.64,2.2,2.61
0.8,6.142,1.296,7.438000000000001,15.21,2.27,2.74
0.9,6.135,1.184,7.319,16.79,2.33,2.86
0.001,6.099,1.091,7.19,18.37,2.39,2.98
0.0011,6.042,1.013,7.055,19.98,2.45,3.09
0.0012,5.971,9.462,15.433,21.6,2.51,3.21
0.0013,5.891,8.884,14.775,23.24,2.56,3.32
0.0014,5.804,8.378,14.182,24.92,2.62,3.42
0.0015,5.713,7.931,13.644,26.62,2.67,3.53
0.0016,5.621,7.533,13.154,28.35,2.72,3.64
0.0017,5.527,7.177,12.704,30.11,2.77,3.75
0.0018,5.434,6.855,12.289000000000001,31.9,2.83,3.86
0.002,5.25,6.298,11.548,35.58,2.95,4.08
0.00225,5.03,5.725,10.754999999999999,40.38,3.13,4.35
0.0025,4.824,5.255,10.079,45.38,3.31,4.64
0.00275,4.631,4.862,9.493,50.6,3.49,4.93
0.003,4.453,4.527,8.98,56.04,3.67,5.23
0.00325,4.288,4.239,8.527000000000001,61.69,3.86,5.53
0.0035,4.135,3.987,8.122,67.56,4.05,5.85
0.00375,3.993,3.766,7.759,73.65,4.25,6.18
0.004,3.861,3.57,7.431,79.95,4.45,6.51
0.0045,3.624,3.237,6.861000000000001,93.19,5.04,7.21
0.005,3.417,2.964,6.381,107.27,5.64,7.95
0.0055,3.236,2.737,5.973000000000001,122.18,6.24,8.72
0.006,3.075,2.544,5.619,137.9,6.85,9.53
0.0065,2.931,2.378,5.309,154.42,7.47,10.38
0.007,2.802,2.234,5.036,171.73,8.1,11.27
0.008,2.58,1.995,4.575,208.65,10.09,13.14
0.009,2.417,1.805,4.2219999999999995,248.41,12.0,15.14
0.01,2.264,1.65,3.9139999999999997,290.87,13.89,17.26
