Energy_MeV,Elec_Stop,Nuc_Stop,Total_Stop
0.001,55.8,74.69,130.5
0.0015,71.89,72.85,144.7
0.002,86.05,70.32,156.4
0.0025,98.92,67.73,166.7
0.003,110.9,65.25,176.1
0.004,132.7,60.78,193.5
0.005,152.5,56.93,209.5
0.006,170.9,53.61,224.5
0.007,188.2,50.72,238.9
0.008,204.5,48.18,252.7
0.009,220.1,45.93,266.1
0.01,235.1,43.91,279.0
0.0125,270.1,39.69,309.8
0.015,302.5,36.32,338.8
0.0175,332.8,33.55,366.4
0.02,361.5,31.24,392.7
0.0225,388.6,29.27,417.9
0.025,414.6,27.56,442.1
0.0275,439.4,26.07,465.5
0.03,463.3,24.75,488.0
0.035,508.4,22.53,530.9
0.04,550.4,20.71,571.1
0.045,589.6,19.2,608.8
0.05,626.5,17.92,644.4
0.055,661.1,16.81,677.9
0.06,693.7,15.85,709.5
0.065,724.3,15.01,739.3
0.07,753.2,14.26,767.4
0.075,780.3,13.59,793.9
0.08,805.9,12.98,818.9
0.085,830.1,12.44,842.5
0.09,852.8,11.94,864.8
0.095,874.3,11.48,885.8
0.1,894.5,11.07,905.6
0.125,980.0,9.395,989.4
0.15,1045.0,8.198,1053.0
0.175,1096.0,7.293,1103.0
0.2,1136.0,6.583,1142.0
0.225,1168.0,6.009,1174.0
0.25,1195.0,5.535,1200.0
0.275,1216.0,5.136,1222.0
0.3,1234.0,4.795,1239.0
0.35,1262.0,4.242,1266.0
0.4,1280.0,3.811,1284.0
0.45,1291.0,3.466,1294.0
0.5,1297.0,3.182,1300.0
0.55,1298.0,2.944,1301.0
0.6,1297.0,2.742,1300.0
0.65,1293.0,2.567,1295.0
0.7,1286.0,2.415,1289.0
0.75,1279.0,2.282,1281.0
0.8,1269.0,2.163,1271.0
0.85,1259.0,2.057,1261.0
0.9,1248.0,1.961,1250.0
0.95,1237.0,1.875,1238.0
1.0,1225.0,1.796,1226.0
1.25,1161.0,1.49,1163.0
1.5,1098.0,1.277,1100.0
1.75,1039.0,1.12,1040.0
2.0,984.9,1.0,985.9
2.25,937.6,0.9042,938.5
2.5,895.4,0.8261,896.2
2.75,856.8,0.7612,857.6
3.0,821.0,0.7062,821.7
3.5,756.1,0.6182,756.8
4.0,698.6,0.5506,699.1
4.5,647.8,0.4971,648.3
5.0,604.8,0.4535,605.3
5.5,567.8,0.4173,568.3
6.0,535.7,0.3867,536.1
6.5,507.4,0.3605,507.8
7.0,482.4,0.3379,482.7
7.5,460.0,0.318,460.3
8.0,439.8,0.3004,440.1
8.5,421.6,0.2848,421.9
9.0,405.1,0.2708,405.3
9.5,389.9,0.2582,390.2
10.0,376.0,0.2468,376.2
12.5,320.5,0.2025,320.7
15.0,280.7,0.1722,280.9
17.5,250.7,0.1501,250.9
20.0,227.1,0.1332,227.2
25.0,192.2,0.109,192.3
27.5,178.9,0.1001,179.0
30.0,167.5,0.09251,167.6
35.0,148.9,0.08048,149.0
40.0,134.4,0.07131,134.5
45.0,122.7,0.06407,122.8
50.0,113.1,0.0582,113.2
55.0,105.0,0.05334,105.1
60.0,98.12,0.04925,98.17
65.0,92.17,0.04577,92.22
70.0,86.97,0.04275,87.01
75.0,82.39,0.04012,82.43
80.0,78.31,0.0378,78.35
85.0,74.67,0.03574,74.7
90.0,71.38,0.0339,71.42
95.0,68.41,0.03225,68.44
100.0,65.7,0.03075,65.73
125.0,55.11,0.02496,55.14
150.0,47.76,0.02104,47.78
175.0,42.33,0.0182,42.35
200.0,38.16,0.01604,38.17
225.0,34.83,0.01434,34.85
250.0,32.13,0.01297,32.14
275.0,29.87,0.01184,29.89
300.0,27.97,0.01089,27.98
350.0,24.92,0.009385,24.93
400.0,22.59,0.008252,22.6
450.0,20.75,0.007365,20.75
500.0,19.25,0.006651,19.25
550.0,18.01,0.006062,18.01
600.0,16.96,0.005568,16.97
650.0,16.07,0.005147,16.08
700.0,15.3,0.004785,15.31
750.0,14.63,0.004471,14.64
800.0,14.04,0.004196,14.05
850.0,13.52,0.003954,13.52
900.0,13.05,0.003738,13.05
950.0,12.63,0.003545,12.63
1000.0,12.25,0.003371,12.25
