Energy_MeV,Elec_Stop,Nuc_Stop,Total_Stop,Range_A,Straggling_Long_A,Straggling_Lat_A
0.00275,8.445,7.426,15.871,25.84,1.04,1.1
0.003,8.07,6.893,14.963000000000001,28.86,1.14,1.17
0.00325,7.731,6.435,14.166,32.01,1.24,1.25
0.0035,7.422,6.038,13.46,35.31,1.34,1.33
0.00375,7.139,5.69,12.829,38.73,1.44,1.41
0.004,6.881,5.382,12.263,42.29,1.55,1.49
0.0045,6.423,4.861,11.283999999999999,49.8,1.91,1.67
0.005,6.029,4.438,10.466999999999999,57.81,2.25,1.86
0.0055,5.688,4.085,9.773,66.34,2.58,2.06
0.006,5.389,3.788,9.177,75.35,2.91,2.28
0.0065,5.124,3.533,8.657,84.85,3.24,2.5
0.007,4.888,3.312,8.2,94.82,3.57,2.73
0.008,4.484,2.947,7.431,116.15,4.74,3.22
0.009,4.14,2.658,6.798,139.32,5.82,3.75
0.01,3.821,2.423,6.244,164.43,6.88,4.32
