Energy_MeV,Elec_Stop,Nuc_Stop,Total_Stop
0.001,34.54,47.02,81.55
0.0015,44.56,46.91,91.47
0.002,53.39,46.04,99.43
0.0025,61.42,44.93,106.4
0.003,68.88,43.75,112.6
0.004,82.53,41.45,124.0
0.005,94.95,39.34,134.3
0.006,106.5,37.45,143.9
0.007,117.3,35.76,153.1
0.008,127.6,34.23,161.8
0.009,137.4,32.85,170.2
0.01,146.8,31.6,178.4
0.0125,168.8,28.92,197.7
0.015,189.3,26.73,216.0
0.0175,208.5,24.9,233.4
0.02,226.7,23.34,250.1
0.0225,244.1,21.99,266.1
0.025,260.8,20.82,281.6
0.0275,276.8,19.78,296.6
0.03,292.3,18.85,311.1
0.035,321.9,17.27,339.1
0.04,349.8,15.97,365.8
0.045,376.5,14.87,391.3
0.05,401.9,13.94,415.9
0.055,426.4,13.12,439.5
0.06,450.0,12.41,462.4
0.065,472.8,11.78,484.6
0.07,494.9,11.22,506.1
0.075,516.3,10.72,527.0
0.08,537.1,10.26,547.3
0.085,557.3,9.848,567.1
0.09,577.0,9.47,586.4
0.095,596.1,9.123,605.3
0.1,614.8,8.803,623.6
0.125,702.1,7.518,709.6
0.15,780.3,6.588,786.9
0.175,850.8,5.881,856.6
0.2,914.4,5.323,919.7
0.225,971.9,4.87,976.7
0.25,1024.0,4.495,1028.0
0.275,1070.0,4.177,1074.0
0.3,1111.0,3.906,1115.0
0.35,1181.0,3.464,1184.0
0.4,1233.0,3.118,1237.0
0.45,1272.0,2.84,1275.0
0.5,1298.0,2.611,1301.0
0.55,1314.0,2.419,1316.0
0.6,1321.0,2.255,1323.0
0.65,1321.0,2.114,1323.0
0.7,1315.0,1.991,1317.0
0.75,1305.0,1.882,1307.0
0.8,1291.0,1.785,1293.0
0.85,1276.0,1.699,1277.0
0.9,1258.0,1.621,1260.0
0.95,1240.0,1.55,1242.0
1.0,1222.0,1.486,1223.0
1.25,1130.0,1.235,1131.0
1.5,1047.0,1.06,1048.0
1.75,974.0,0.9317,974.9
2.0,911.2,0.8324,912.0
2.25,856.7,0.7533,857.5
2.5,809.0,0.6888,809.7
2.75,767.0,0.6351,767.7
3.0,729.8,0.5896,730.4
3.5,666.1,0.5167,666.6
4.0,613.2,0.4606,613.7
4.5,569.7,0.4161,570.1
5.0,532.7,0.3799,533.1
5.5,501.0,0.3498,501.3
6.0,473.4,0.3243,473.7
6.5,449.1,0.3025,449.4
7.0,427.4,0.2836,427.6
7.5,408.3,0.267,408.5
8.0,391.0,0.2524,391.3
8.5,375.4,0.2393,375.6
9.0,361.1,0.2276,361.4
9.5,348.1,0.2171,348.3
10.0,336.0,0.2075,336.2
12.5,287.6,0.1705,287.8
15.0,252.6,0.1452,252.7
17.5,226.0,0.1266,226.1
20.0,205.0,0.1125,205.1
25.0,173.8,0.09217,173.9
27.5,161.8,0.08464,161.9
30.0,151.6,0.07829,151.7
35.0,134.9,0.06816,135.0
40.0,121.9,0.06044,121.9
45.0,111.4,0.05434,111.4
50.0,102.7,0.0494,102.8
55.0,95.43,0.04531,95.47
60.0,89.22,0.04187,89.26
65.0,83.85,0.03893,83.89
70.0,79.16,0.03638,79.19
75.0,75.02,0.03416,75.05
80.0,71.34,0.0322,71.37
85.0,68.04,0.03046,68.07
90.0,65.07,0.0289,65.1
95.0,62.38,0.0275,62.41
100.0,59.93,0.02623,59.96
125.0,50.34,0.02135,50.36
150.0,43.67,0.01802,43.69
175.0,38.74,0.0156,38.75
200.0,34.94,0.01377,34.95
225.0,31.91,0.01233,31.92
250.0,29.44,0.01116,29.46
275.0,27.39,0.0102,27.4
300.0,25.65,0.00939,25.66
350.0,22.87,0.008104,22.88
400.0,20.74,0.00713,20.75
450.0,19.06,0.006366,19.06
500.0,17.69,0.005752,17.69
550.0,16.55,0.005247,16.56
600.0,15.6,0.004824,15.6
650.0,14.78,0.004465,14.79
700.0,14.08,0.004156,14.08
750.0,13.47,0.003886,13.47
800.0,12.93,0.003649,12.93
850.0,12.45,0.003438,12.45
900.0,12.02,0.003251,12.02
950.0,11.64,0.003082,11.64
1000.0,11.29,0.002931,11.29
