Energy_MeV,Elec_Stop,Nuc_Stop,Total_Stop,Range_A,Straggling_Long_A,Straggling_Lat_A
0.00225,8.474,7.328,15.802,22.2,1.09,1.33
0.0025,8.006,6.705,14.711,25.22,1.19,1.42
0.00275,7.592,6.185,13.777,28.42,1.3,1.5
0.003,7.225,5.745,12.969999999999999,31.78,1.4,1.59
0.00325,6.896,5.367,12.263,35.31,1.51,1.69
0.0035,6.6,5.038,11.638,39.01,1.62,1.79
0.00375,6.332,4.75,11.082,42.86,1.73,1.89
0.004,6.088,4.495,10.583,46.88,1.85,2.0
0.0045,5.66,4.063,9.722999999999999,55.37,2.25,2.23
0.005,5.296,3.711,9.007,64.48,2.64,2.48
0.0055,4.982,3.419,8.401,74.19,3.02,2.75
0.006,4.709,3.171,7.879999999999999,84.49,3.4,3.04
0.0065,4.468,2.959,7.427,95.36,3.78,3.34
0.007,4.254,2.775,7.029,106.8,4.17,3.65
0.008,3.89,2.471,6.361000000000001,131.33,5.52,4.33
0.009,3.62,2.231,5.851,157.92,6.77,5.05
0.01,3.361,2.035,5.396000000000001,186.53,7.99,5.83
