Energy_MeV,Elec_Stop,Nuc_Stop,Total_Stop,Range_A,Straggling_Long_A,Straggling_Lat_A
0.18,5.82,4.389,10.209,3.78,1.0,1.04
0.2,6.037,4.078,10.115,4.09,1.03,1.08
0.225,6.268,3.752,10.02,4.46,1.05,1.13
0.25,6.461,3.48,9.941,4.83,1.08,1.17
0.275,6.623,3.248,9.871,5.19,1.1,1.21
0.3,6.759,3.048,9.807,5.54,1.12,1.24
0.325,6.873,2.874,9.747,5.88,1.14,1.28
0.35,6.968,2.721,9.689,6.23,1.15,1.31
0.375,7.047,2.585,9.632,6.57,1.17,1.34
0.4,7.113,2.463,9.576,6.91,1.18,1.37
0.45,7.21,2.254,9.464,7.57,1.21,1.43
0.5,7.27,2.081,9.350999999999999,8.24,1.24,1.48
0.55,7.301,1.935,9.236,8.9,1.27,1.53
0.6,7.311,1.809,9.12,9.57,1.29,1.58
0.65,7.303,1.701,9.004,10.23,1.31,1.62
0.7,7.281,1.606,8.887,10.9,1.34,1.67
0.8,7.209,1.446,8.655,12.25,1.39,1.75
0.9,7.111,1.318,8.429,13.62,1.43,1.84
0.001,6.997,1.212,8.209,15.01,1.48,1.92
0.0011,6.874,1.124,7.997999999999999,16.42,1.52,2.0
0.0012,6.748,1.048,7.796,17.87,1.57,2.08
0.0013,6.62,9.828,16.448,19.34,1.61,2.16
0.0014,6.494,9.257,15.751,20.84,1.65,2.24
0.0015,6.369,8.754,15.123,22.38,1.69,2.32
0.0016,6.248,8.307,14.555,23.94,1.74,2.41
0.0017,6.13,7.907,14.036999999999999,25.54,1.78,2.49
0.0018,6.015,7.547,13.562,27.16,1.83,2.57
0.002,5.798,6.923,12.721,30.51,1.94,2.73
0.00225,5.548,6.284,11.832,34.88,2.11,2.95
0.0025,5.321,5.76,11.081,39.43,2.27,3.16
0.00275,5.114,5.322,10.436,44.18,2.44,3.39
0.003,4.925,4.951,9.876,49.12,2.61,3.62
0.00325,4.752,4.631,9.383,54.25,2.78,3.85
0.0035,4.593,4.353,8.946,59.56,2.95,4.09
0.00375,4.447,4.108,8.555,65.05,3.12,4.34
0.004,4.312,3.892,8.204,70.72,3.3,4.59
0.0045,4.07,3.524,7.594,82.58,3.84,5.12
0.005,3.86,3.224,7.084,95.11,4.36,5.67
0.0055,3.675,2.974,6.649,108.31,4.89,6.24
0.006,3.512,2.762,6.274,122.15,5.41,6.83
0.0065,3.365,2.58,5.945,136.61,5.92,7.44
0.007,3.234,2.422,5.656000000000001,151.69,6.44,8.07
0.008,3.007,2.16,5.167,183.6,8.13,9.39
0.009,2.807,1.953,4.76,217.86,9.74,10.79
0.01,2.62,1.783,4.4030000000000005,254.58,11.31,12.27
