Energy_MeV,Elec_Stop,Nuc_Stop,Total_Stop,Range_A,Straggling_Long_A,Straggling_Lat_A
0.04,1.296,5.155,6.4510000000000005,1.53,1.31,1.04
0.045,1.378,4.946,6.324,1.71,1.4,1.12
0.05,1.457,4.756,6.213,1.89,1.48,1.2
0.055,1.532,4.582,6.114,2.07,1.56,1.27
0.06,1.603,4.423,6.026,2.24,1.63,1.34
0.065,1.671,4.275,5.946000000000001,2.41,1.7,1.4
0.07,1.736,4.139,5.875,2.58,1.76,1.46
0.08,1.859,3.896,5.755,2.92,1.88,1.58
0.09,1.972,3.683,5.654999999999999,3.25,1.99,1.69
0.1,2.077,3.497,5.574,3.57,2.08,1.79
0.11,2.173,3.331,5.504,3.89,2.17,1.89
0.12,2.262,3.183,5.445,4.2,2.26,1.98
0.13,2.345,3.049,5.394,4.51,2.34,2.07
0.14,2.422,2.928,5.35,4.81,2.41,2.15
0.15,2.493,2.818,5.311,5.11,2.48,2.23
0.16,2.56,2.717,5.277,5.4,2.54,2.3
0.17,2.624,2.624,5.248,5.7,2.6,2.38
0.18,2.683,2.539,5.2219999999999995,5.99,2.66,2.45
0.2,2.793,2.385,5.178,6.56,2.77,2.58
0.225,2.917,2.221,5.138,7.26,2.89,2.74
0.25,3.029,2.081,5.109999999999999,7.94,3.0,2.88
0.275,3.132,1.96,5.0920000000000005,8.61,3.1,3.02
0.3,3.226,1.854,5.08,9.27,3.19,3.15
0.325,3.312,1.761,5.0729999999999995,9.92,3.28,3.27
0.35,3.392,1.677,5.069,10.57,3.36,3.38
0.375,3.465,1.602,5.067,11.2,3.44,3.49
0.4,3.532,1.535,5.067,11.82,3.51,3.6
0.45,3.648,1.417,5.065,13.05,3.64,3.8
0.5,3.744,1.318,5.062,14.26,3.76,3.99
0.55,3.82,1.234,5.054,15.46,3.87,4.16
0.6,3.881,1.161,5.042,16.64,3.97,4.33
0.65,3.927,1.097,5.024,17.81,4.07,4.49
0.7,3.961,1.04,5.0009999999999994,18.98,4.16,4.65
0.8,3.999,9.447,13.446,21.31,4.33,4.94
0.9,4.007,8.668,12.674999999999999,23.65,4.49,5.22
0.001,3.995,8.02,12.015,26.0,4.64,5.49
0.0011,3.968,7.471,11.439,28.38,4.79,5.75
0.0012,3.932,7.0,10.932,30.78,4.93,6.01
0.0013,3.89,6.59,10.48,33.22,5.06,6.26
0.0014,3.844,6.23,10.074,35.69,5.19,6.51
0.0015,3.795,5.91,9.705,38.2,5.32,6.75
0.0016,3.745,5.625,9.370000000000001,40.75,5.45,7.0
0.0017,3.695,5.369,9.064,43.33,5.57,7.25
0.0018,3.643,5.137,8.78,45.96,5.69,7.49
0.002,3.542,4.734,8.276,51.34,5.96,7.98
0.00225,3.417,4.317,7.734,58.3,6.31,8.6
0.0025,3.298,3.974,7.272,65.53,6.66,9.23
0.00275,3.184,3.685,6.869,73.04,7.01,9.87
0.003,3.077,3.439,6.516,80.82,7.36,10.52
0.00325,2.976,3.226,6.202,88.88,7.72,11.19
0.0035,2.883,3.04,5.923,97.22,8.08,11.87
0.00375,2.795,2.876,5.670999999999999,105.83,8.45,12.56
0.004,2.714,2.73,5.444,114.71,8.82,13.27
0.0045,2.566,2.482,5.048,133.27,9.76,14.74
0.005,2.437,2.278,4.715,152.88,10.71,16.26
0.0055,2.324,2.107,4.431,173.51,11.68,17.85
0.006,2.223,1.962,4.185,195.13,12.66,19.49
0.0065,2.132,1.837,3.9690000000000003,217.71,13.66,21.19
0.007,2.051,1.728,3.779,241.23,14.68,22.95
0.008,1.91,1.547,3.457,290.97,17.46,26.62
0.009,1.768,1.402,3.17,344.58,20.25,30.52
0.01,1.647,1.284,2.931,402.36,23.1,34.68
