Energy_MeV,Elec_Stop,Nuc_Stop,Total_Stop
0.001,11.5,5.784,17.28
0.0015,14.55,6.326,20.88
0.002,17.2,6.665,23.86
0.0025,19.57,6.889,26.46
0.003,21.76,7.044,28.8
0.004,25.72,7.223,32.94
0.005,29.27,7.302,36.58
0.006,32.54,7.323,39.87
0.007,35.59,7.31,42.9
0.008,38.46,7.275,45.73
0.009,41.18,7.225,48.4
0.01,43.78,7.167,50.94
0.0125,49.83,6.999,56.83
0.015,55.39,6.82,62.21
0.0175,60.56,6.641,67.2
0.02,65.44,6.468,71.9
0.0225,70.06,6.302,76.36
0.025,74.46,6.144,80.61
0.0275,78.68,5.994,84.68
0.03,82.74,5.852,88.59
0.035,90.45,5.59,96.04
0.04,97.69,5.354,103.0
0.045,104.5,5.141,109.7
0.05,111.1,4.947,116.0
0.055,117.3,4.77,122.1
0.06,123.3,4.607,127.9
0.065,129.1,4.457,133.5
0.07,134.6,4.318,139.0
0.075,140.0,4.19,144.2
0.08,145.2,4.07,149.3
0.085,150.3,3.958,154.3
0.09,155.2,3.853,159.1
0.095,160.0,3.754,163.8
0.1,164.7,3.662,168.3
0.125,186.4,3.268,189.7
0.15,205.8,2.962,208.8
0.175,223.5,2.715,226.2
0.2,239.5,2.511,242.0
0.225,254.2,2.339,256.6
0.25,267.7,2.192,269.9
0.275,280.1,2.065,282.2
0.3,291.5,1.953,293.4
0.35,311.6,1.767,313.3
0.4,328.5,1.616,330.1
0.45,342.6,1.491,344.1
0.5,354.3,1.387,355.7
0.55,363.8,1.297,365.1
0.6,371.5,1.22,372.7
0.65,377.5,1.152,378.7
0.7,382.1,1.092,383.2
0.75,385.5,1.039,386.5
0.8,387.8,0.9906,388.8
0.85,389.1,0.9474,390.0
0.9,389.6,0.9081,390.5
0.95,389.4,0.8723,390.3
1.0,388.7,0.8394,389.5
1.25,384.4,0.709,385.1
1.5,375.7,0.6162,376.3
1.75,362.6,0.5465,363.1
2.0,346.8,0.4921,347.3
2.25,330.5,0.4483,331.0
2.5,316.4,0.4122,316.8
2.75,304.0,0.3819,304.4
3.0,293.0,0.3561,293.4
3.5,274.1,0.3143,274.4
4.0,258.4,0.2819,258.7
4.5,245.0,0.2559,245.3
5.0,233.4,0.2347,233.6
5.5,223.1,0.2169,223.4
6.0,214.0,0.2018,214.2
6.5,205.8,0.1888,206.0
7.0,198.4,0.1775,198.6
7.5,191.7,0.1675,191.8
8.0,185.5,0.1587,185.6
8.5,179.7,0.1508,179.9
9.0,174.5,0.1437,174.6
9.5,169.6,0.1373,169.7
10.0,165.0,0.1315,165.1
12.5,146.1,0.1088,146.2
15.0,131.8,0.09317,131.9
17.5,120.5,0.08165,120.6
20.0,111.3,0.07279,111.4
25.0,97.2,0.06004,97.26
27.5,91.6,0.05528,91.66
30.0,86.72,0.05126,86.77
35.0,78.6,0.04483,78.64
40.0,72.07,0.03989,72.11
45.0,66.7,0.03599,66.73
50.0,62.18,0.03281,62.21
55.0,58.32,0.03018,58.35
60.0,54.98,0.02795,55.01
65.0,52.06,0.02605,52.08
70.0,49.47,0.0244,49.5
75.0,47.17,0.02295,47.2
80.0,45.11,0.02168,45.13
85.0,43.24,0.02054,43.26
90.0,41.55,0.01953,41.57
95.0,40.0,0.01861,40.02
100.0,38.59,0.01778,38.6
125.0,32.94,0.01457,32.96
150.0,28.92,0.01238,28.93
175.0,25.9,0.01078,25.91
200.0,23.54,0.009559,23.55
225.0,21.64,0.008595,21.64
250.0,20.07,0.007814,20.08
275.0,18.76,0.007168,18.77
300.0,17.64,0.006623,17.65
350.0,15.84,0.005755,15.85
400.0,14.45,0.005094,14.45
450.0,13.34,0.004572,13.34
500.0,12.43,0.00415,12.43
550.0,11.67,0.003801,11.67
600.0,11.03,0.003508,11.03
650.0,10.48,0.003258,10.49
700.0,10.01,0.003041,10.01
750.0,9.591,0.002852,9.594
800.0,9.224,0.002685,9.227
850.0,8.898,0.002537,8.901
900.0,8.606,0.002405,8.608
950.0,8.343,0.002286,8.346
1000.0,8.106,0.002179,8.108
