Energy_MeV,Elec_Stop,Nuc_Stop,Total_Stop,Range_A,Straggling_Long_A,Straggling_Lat_A
0.03,8.393,5.873,14.266000000000002,1.29,1.35,1.04
0.0325,8.737,5.731,14.468,1.4,1.42,1.1
0.035,9.069,5.596,14.665000000000001,1.5,1.48,1.16
0.0375,9.39,5.467,14.857,1.61,1.55,1.21
0.04,9.701,5.346,15.047,1.72,1.61,1.27
0.045,1.03,5.12,6.15,1.94,1.73,1.37
0.05,1.087,4.915,6.002,2.15,1.84,1.47
0.055,1.141,4.728,5.869,2.36,1.95,1.57
0.06,1.193,4.557,5.75,2.58,2.05,1.66
0.065,1.244,4.401,5.645,2.79,2.14,1.75
0.07,1.293,4.256,5.549,3.0,2.23,1.83
0.08,1.387,3.998,5.385,3.41,2.4,1.99
0.09,1.476,3.774,5.25,3.82,2.55,2.14
0.1,1.561,3.578,5.138999999999999,4.22,2.68,2.28
0.11,1.642,3.404,5.045999999999999,4.61,2.81,2.41
0.12,1.72,3.249,4.969,4.99,2.93,2.54
0.13,1.795,3.11,4.904999999999999,5.37,3.04,2.65
0.14,1.868,2.984,4.852,5.75,3.14,2.77
0.15,1.938,2.869,4.807,6.11,3.23,2.87
0.16,2.006,2.765,4.771,6.47,3.32,2.97
0.17,2.071,2.668,4.739000000000001,6.83,3.4,3.07
0.18,2.135,2.58,4.715,7.18,3.48,3.16
0.2,2.255,2.421,4.676,7.86,3.63,3.33
0.225,2.396,2.252,4.648,8.69,3.79,3.53
0.25,2.526,2.108,4.634,9.49,3.93,3.72
0.275,2.646,1.984,4.63,10.27,4.06,3.88
0.3,2.757,1.875,4.632,11.03,4.17,4.04
0.325,2.859,1.779,4.638,11.77,4.28,4.19
0.35,2.954,1.694,4.648,12.49,4.37,4.32
0.375,3.041,1.617,4.6579999999999995,13.2,4.46,4.45
0.4,3.121,1.548,4.6690000000000005,13.9,4.55,4.58
0.45,3.262,1.429,4.691,15.26,4.7,4.8
0.5,3.38,1.328,4.708,16.59,4.84,5.02
0.55,3.478,1.242,4.720000000000001,17.89,4.96,5.21
0.6,3.558,1.168,4.726,19.18,5.07,5.39
0.65,3.623,1.103,4.726,20.44,5.18,5.57
0.7,3.674,1.046,4.72,21.69,5.27,5.73
0.8,3.744,9.488,13.232,24.18,5.46,6.05
0.9,3.78,8.701,12.481,26.66,5.62,6.34
0.001,3.79,8.046,11.835999999999999,29.14,5.77,6.62
0.0011,3.781,7.492,11.273,31.63,5.92,6.88
0.0012,3.759,7.016,10.775,34.14,6.06,7.15
0.0013,3.727,6.602,10.329,36.68,6.19,7.4
0.0014,3.688,6.239,9.927,39.26,6.32,7.65
0.0015,3.645,5.918,9.563,41.87,6.44,7.9
0.0016,3.598,5.631,9.229,44.51,6.57,8.15
0.0017,3.55,5.373,8.923,47.2,6.69,8.39
0.0018,3.5,5.14,8.64,49.94,6.81,8.64
0.002,3.401,4.734,8.135,55.53,7.06,9.13
0.00225,3.279,4.316,7.595,62.78,7.4,9.75
0.0025,3.163,3.971,7.134,70.32,7.73,10.38
0.00275,3.053,3.681,6.734,78.14,8.07,11.02
0.003,2.952,3.434,6.386,86.26,8.41,11.67
0.00325,2.857,3.221,6.078,94.66,8.76,12.34
0.0035,2.769,3.034,5.803,103.34,9.11,13.02
0.00375,2.688,2.87,5.558,112.3,9.47,13.72
0.004,2.612,2.724,5.336,121.53,9.83,14.43
0.0045,2.475,2.475,4.95,140.8,10.74,15.9
0.005,2.355,2.271,4.6259999999999994,161.12,11.67,17.43
0.0055,2.249,2.1,4.349,182.45,12.62,19.02
0.006,2.155,1.955,4.109999999999999,204.77,13.59,20.67
0.0065,2.071,1.83,3.9010000000000002,228.04,14.57,22.37
0.007,1.995,1.721,3.716,252.24,15.58,24.13
0.008,1.863,1.54,3.403,303.33,18.33,27.8
0.009,1.762,1.396,3.158,357.73,21.06,31.65
0.01,1.664,1.278,2.942,415.33,23.79,35.67
