Energy_MeV,Elec_Stop,Nuc_Stop,Total_Stop,Range_A,Straggling_Long_A,Straggling_Lat_A
0.09,3.615,4.69,8.305,2.46,1.15,1.03
0.1,3.833,4.42,8.253,2.67,1.18,1.08
0.11,4.038,4.184,8.222000000000001,2.87,1.22,1.12
0.12,4.229,3.975,8.204,3.07,1.25,1.16
0.13,4.409,3.789,8.198,3.26,1.28,1.2
0.14,4.577,3.623,8.2,3.45,1.3,1.23
0.15,4.735,3.472,8.207,3.63,1.33,1.26
0.16,4.883,3.335,8.218,3.81,1.35,1.29
0.17,5.023,3.21,8.233,3.98,1.37,1.32
0.18,5.154,3.095,8.249,4.15,1.39,1.35
0.2,5.393,2.892,8.285,4.48,1.42,1.4
0.225,5.653,2.677,8.33,4.89,1.46,1.46
0.25,5.875,2.495,8.370000000000001,5.28,1.49,1.51
0.275,6.064,2.34,8.404,5.66,1.52,1.56
0.3,6.225,2.205,8.43,6.03,1.55,1.61
0.325,6.36,2.086,8.446,6.4,1.58,1.65
0.35,6.474,1.981,8.455,6.76,1.6,1.69
0.375,6.569,1.887,8.456,7.12,1.62,1.73
0.4,6.646,1.803,8.449,7.47,1.64,1.77
0.45,6.76,1.657,8.417,8.18,1.68,1.84
0.5,6.828,1.536,8.364,8.88,1.72,1.91
0.55,6.861,1.433,8.294,9.57,1.75,1.97
0.6,6.866,1.344,8.209999999999999,10.27,1.78,2.03
0.65,6.851,1.266,8.117,10.97,1.81,2.09
0.7,6.819,1.198,8.017,11.68,1.84,2.15
0.8,6.722,1.084,7.806000000000001,13.1,1.9,2.26
0.9,6.596,9.911,16.506999999999998,14.56,1.96,2.37
0.001,6.455,9.144,15.599,16.05,2.02,2.47
0.0011,6.306,8.497,14.803,17.58,2.07,2.58
0.0012,6.155,7.943,14.097999999999999,19.15,2.13,2.69
0.0013,6.005,7.463,13.468,20.75,2.18,2.8
0.0014,5.859,7.042,12.901,22.41,2.24,2.91
0.0015,5.717,6.67,12.387,24.1,2.29,3.02
0.0016,5.581,6.339,11.920000000000002,25.84,2.35,3.13
0.0017,5.449,6.042,11.491,27.62,2.41,3.24
0.0018,5.324,5.774,11.097999999999999,29.44,2.47,3.36
0.002,5.088,5.309,10.397,33.22,2.61,3.59
0.00225,4.823,4.831,9.654,38.19,2.81,3.9
0.0025,4.586,4.437,9.023,43.43,3.02,4.22
0.00275,4.373,4.108,8.481,48.94,3.23,4.55
0.003,4.182,3.827,8.009,54.71,3.45,4.9
0.00325,4.009,3.585,7.594,60.75,3.68,5.26
0.0035,3.852,3.374,7.226,67.03,3.91,5.63
0.00375,3.709,3.188,6.897,73.57,4.15,6.02
0.004,3.579,3.024,6.603,80.36,4.39,6.41
0.0045,3.347,2.743,6.09,94.65,5.08,7.25
0.005,3.149,2.514,5.663,109.9,5.78,8.13
0.0055,2.977,2.322,5.2989999999999995,126.07,6.49,9.06
0.006,2.827,2.159,4.986,143.15,7.2,10.04
0.0065,2.694,2.02,4.714,161.1,7.92,11.06
0.007,2.575,1.898,4.473,179.92,8.65,12.12
0.008,2.372,1.696,4.068,220.06,10.89,14.37
0.009,2.227,1.535,3.7619999999999996,263.22,13.05,16.76
0.01,2.09,1.404,3.4939999999999998,309.22,15.15,19.28
