Energy_MeV,Elec_Stop,Nuc_Stop,Total_Stop
0.001,146.3,166.9,313.2
0.0015,177.1,150.3,327.4
0.002,202.9,137.0,339.9
0.0025,225.4,126.3,351.7
0.003,245.6,117.4,363.0
0.004,281.3,103.3,384.7
0.005,312.5,92.75,405.3
0.006,340.6,84.41,425.0
0.007,366.2,77.64,443.9
0.008,390.0,72.02,462.0
0.009,412.2,67.26,479.5
0.01,433.2,63.17,496.4
0.0125,481.1,55.05,536.1
0.015,524.1,48.98,573.1
0.0175,563.3,44.25,607.6
0.02,599.7,40.44,640.1
0.0225,633.6,37.3,670.9
0.025,665.4,34.66,700.1
0.0275,695.6,32.4,728.0
0.03,724.2,30.45,754.7
0.035,777.7,27.24,805.0
0.04,827.0,24.69,851.7
0.045,872.7,22.62,895.3
0.05,915.5,20.9,936.4
0.055,955.7,19.45,975.2
0.06,993.7,18.2,1012.0
0.065,1030.0,17.11,1047.0
0.07,1064.0,16.16,1080.0
0.075,1096.0,15.32,1112.0
0.08,1128.0,14.57,1142.0
0.085,1157.0,13.89,1171.0
0.09,1186.0,13.28,1199.0
0.095,1213.0,12.73,1226.0
0.1,1239.0,12.22,1252.0
0.125,1356.0,10.23,1366.0
0.15,1453.0,8.834,1462.0
0.175,1534.0,7.794,1542.0
0.2,1602.0,6.988,1609.0
0.225,1659.0,6.343,1665.0
0.25,1706.0,5.815,1712.0
0.275,1745.0,5.373,1750.0
0.3,1776.0,4.998,1781.0
0.35,1821.0,4.394,1825.0
0.4,1846.0,3.928,1850.0
0.45,1856.0,3.557,1860.0
0.5,1855.0,3.254,1858.0
0.55,1845.0,3.002,1848.0
0.6,1829.0,2.788,1832.0
0.65,1809.0,2.604,1812.0
0.7,1785.0,2.444,1788.0
0.75,1759.0,2.304,1762.0
0.8,1732.0,2.18,1734.0
0.85,1703.0,2.07,1705.0
0.9,1674.0,1.97,1676.0
0.95,1645.0,1.881,1647.0
1.0,1617.0,1.799,1618.0
1.25,1499.0,1.484,1500.0
1.5,1406.0,1.266,1407.0
1.75,1326.0,1.107,1327.0
2.0,1254.0,0.9853,1255.0
2.25,1189.0,0.8887,1190.0
2.5,1129.0,0.8102,1130.0
2.75,1075.0,0.745,1075.0
3.0,1024.0,0.69,1025.0
3.5,935.3,0.6021,935.9
4.0,858.7,0.535,859.2
4.5,792.9,0.4818,793.4
5.0,737.6,0.4387,738.0
5.5,690.0,0.403,690.4
6.0,648.7,0.3729,649.1
6.5,612.5,0.3471,612.8
7.0,580.4,0.3248,580.8
7.5,552.0,0.3053,552.3
8.0,526.4,0.2881,526.7
8.5,503.3,0.2728,503.6
9.0,482.4,0.2591,482.6
9.5,463.3,0.2468,463.6
10.0,445.8,0.2357,446.1
12.5,376.3,0.1926,376.5
15.0,327.0,0.1632,327.2
17.5,290.0,0.1418,290.1
20.0,261.0,0.1255,261.2
25.0,218.7,0.1022,218.8
27.5,202.6,0.09359,202.7
30.0,188.9,0.08635,189.0
35.0,166.9,0.07483,167.0
40.0,149.8,0.06605,149.8
45.0,136.1,0.05915,136.2
50.0,124.9,0.05358,125.0
55.0,115.6,0.049,115.6
60.0,107.7,0.04514,107.7
65.0,100.9,0.04185,100.9
70.0,94.93,0.03901,94.96
75.0,89.72,0.03653,89.76
80.0,85.11,0.03434,85.14
85.0,80.99,0.0324,81.03
90.0,77.3,0.03068,77.33
95.0,73.96,0.02912,73.99
100.0,70.92,0.02772,70.95
125.0,59.14,0.02236,59.16
150.0,51.01,0.01875,51.03
175.0,45.05,0.01615,45.07
200.0,40.49,0.01418,40.5
225.0,36.87,0.01263,36.88
250.0,33.93,0.01138,33.94
275.0,31.5,0.01037,31.51
300.0,29.44,0.009519,29.45
350.0,26.16,0.00818,26.17
400.0,23.66,0.007163,23.66
450.0,21.68,0.006369,21.69
500.0,20.08,0.005738,20.09
550.0,18.76,0.005222,18.77
600.0,17.65,0.00479,17.66
650.0,16.7,0.004423,16.71
700.0,15.89,0.004109,15.89
750.0,15.17,0.003836,15.18
800.0,14.55,0.003598,14.55
850.0,13.99,0.003388,14.0
900.0,13.5,0.003201,13.5
950.0,13.05,0.003033,13.06
1000.0,12.65,0.002882,12.66
