Energy_MeV,Elec_Stop,Nuc_Stop,Total_Stop,Range_A,Straggling_Long_A,Straggling_Lat_A
0.0375,1.282,5.165,6.447,1.45,1.27,1.0
0.04,1.33,5.054,6.384,1.54,1.31,1.04
0.045,1.423,4.846,6.269,1.72,1.4,1.12
0.05,1.511,4.658,6.1690000000000005,1.9,1.48,1.19
0.055,1.596,4.485,6.081,2.07,1.55,1.26
0.06,1.678,4.327,6.005,2.24,1.62,1.33
0.065,1.756,4.181,5.937,2.41,1.68,1.39
0.07,1.832,4.047,5.879,2.57,1.74,1.45
0.08,1.975,3.806,5.781000000000001,2.9,1.85,1.56
0.09,2.109,3.597,5.7059999999999995,3.21,1.95,1.66
0.1,2.234,3.413,5.647,3.52,2.03,1.75
0.11,2.351,3.25,5.601,3.82,2.11,1.84
0.12,2.461,3.104,5.5649999999999995,4.12,2.19,1.92
0.13,2.564,2.973,5.537,4.4,2.25,1.99
0.14,2.661,2.855,5.516,4.68,2.32,2.07
0.15,2.752,2.746,5.497999999999999,4.96,2.37,2.14
0.16,2.837,2.647,5.484,5.24,2.43,2.2
0.17,2.917,2.556,5.473,5.5,2.48,2.27
0.18,2.993,2.472,5.465,5.77,2.53,2.33
0.2,3.131,2.322,5.452999999999999,6.29,2.62,2.44
0.225,3.282,2.162,5.444,6.92,2.72,2.57
0.25,3.412,2.025,5.436999999999999,7.54,2.81,2.69
0.275,3.525,1.906,5.431,8.15,2.89,2.81
0.3,3.622,1.803,5.425,8.75,2.97,2.91
0.325,3.707,1.711,5.418,9.34,3.04,3.02
0.35,3.78,1.63,5.41,9.92,3.1,3.11
0.375,3.844,1.557,5.401,10.5,3.16,3.21
0.4,3.899,1.491,5.390000000000001,11.07,3.22,3.29
0.45,3.988,1.376,5.364,12.2,3.33,3.46
0.5,4.053,1.28,5.333,13.33,3.43,3.63
0.55,4.099,1.198,5.297000000000001,14.45,3.52,3.78
0.6,4.13,1.127,5.257,15.56,3.61,3.93
0.65,4.149,1.064,5.213,16.68,3.69,4.07
0.7,4.158,1.009,5.167,17.8,3.77,4.21
0.8,4.153,9.164,13.317,20.05,3.93,4.47
0.9,4.127,8.407,12.533999999999999,22.32,4.07,4.73
0.001,4.086,7.777,11.863,24.63,4.21,4.98
0.0011,4.036,7.244,11.28,26.97,4.34,5.23
0.0012,3.98,6.786,10.766,29.35,4.47,5.47
0.0013,3.92,6.387,10.306999999999999,31.77,4.6,5.71
0.0014,3.857,6.038,9.895,34.24,4.73,5.95
0.0015,3.795,5.728,9.523,36.75,4.85,6.19
0.0016,3.732,5.451,9.183,39.31,4.97,6.44
0.0017,3.669,5.202,8.871,41.92,5.1,6.68
0.0018,3.608,4.977,8.585,44.57,5.22,6.92
0.002,3.489,4.586,8.075,50.03,5.49,7.41
0.00225,3.349,4.182,7.531000000000001,57.13,5.84,8.04
0.0025,3.219,3.849,7.068,64.53,6.2,8.68
0.00275,3.099,3.569,6.668,72.24,6.57,9.33
0.003,2.989,3.33,6.319,80.26,6.94,10.0
0.00325,2.887,3.123,6.01,88.57,7.31,10.69
0.0035,2.792,2.943,5.734999999999999,97.18,7.69,11.39
0.00375,2.705,2.784,5.489,106.08,8.08,12.11
0.004,2.624,2.643,5.2669999999999995,115.26,8.47,12.85
0.0045,2.478,2.402,4.880000000000001,134.49,9.47,14.38
0.005,2.351,2.204,4.555,154.82,10.48,15.97
0.0055,2.238,2.039,4.277,176.23,11.5,17.63
0.006,2.139,1.898,4.037,198.69,12.54,19.35
0.0065,2.049,1.777,3.8259999999999996,222.18,13.6,21.13
0.007,1.969,1.672,3.641,246.67,14.68,22.97
0.008,1.829,1.496,3.325,298.58,17.64,26.82
0.009,1.729,1.356,3.085,354.0,20.54,30.88
0.01,1.631,1.242,2.873,412.73,23.43,35.12
