Energy_MeV,Elec_Stop,Nuc_Stop,Total_Stop,Range_A,Straggling_Long_A,Straggling_Lat_A
0.06,2.144,8.542,10.686,2.13,1.15,1.01
0.065,2.258,8.157,10.415,2.28,1.19,1.06
0.07,2.371,7.81,10.181,2.43,1.22,1.1
0.08,2.591,7.209,9.8,2.73,1.29,1.17
0.09,2.806,6.706,9.512,3.0,1.35,1.24
0.1,3.016,6.277,9.293,3.27,1.39,1.3
0.11,3.22,5.907,9.127,3.52,1.44,1.36
0.12,3.42,5.584,9.004,3.77,1.48,1.41
0.13,3.614,5.299,8.913,4.0,1.51,1.46
0.14,3.803,5.045,8.847999999999999,4.22,1.54,1.5
0.15,3.986,4.817,8.803,4.44,1.57,1.54
0.16,4.164,4.611,8.774999999999999,4.65,1.59,1.57
0.17,4.336,4.425,8.761,4.85,1.61,1.61
0.18,4.502,4.255,8.757,5.05,1.64,1.64
0.2,4.816,3.955,8.771,5.43,1.67,1.7
0.225,5.176,3.641,8.817,5.87,1.71,1.76
0.25,5.5,3.379,8.879,6.3,1.74,1.81
0.275,5.787,3.155,8.942,6.7,1.77,1.86
0.3,6.041,2.963,9.004000000000001,7.09,1.8,1.91
0.325,6.263,2.795,9.058,7.47,1.82,1.95
0.35,6.455,2.646,9.100999999999999,7.84,1.84,1.98
0.375,6.62,2.515,9.135,8.2,1.86,2.02
0.4,6.761,2.397,9.158,8.55,1.88,2.05
0.45,6.978,2.194,9.172,9.24,1.91,2.11
0.5,7.124,2.026,9.149999999999999,9.92,1.94,2.17
0.55,7.214,1.885,9.099,10.58,1.96,2.22
0.6,7.261,1.763,9.024000000000001,11.25,1.99,2.27
0.65,7.276,1.658,8.934,11.91,2.01,2.31
0.7,7.265,1.565,8.83,12.58,2.03,2.36
0.8,7.194,1.41,8.604,13.93,2.07,2.44
0.9,7.081,1.286,8.367,15.29,2.11,2.52
0.001,6.949,1.183,8.132,16.69,2.15,2.6
0.0011,6.809,1.097,7.906000000000001,18.11,2.19,2.68
0.0012,6.668,1.023,7.691,19.57,2.23,2.76
0.0013,6.53,9.597,16.127,21.06,2.27,2.83
0.0014,6.396,9.042,15.437999999999999,22.58,2.3,2.91
0.0015,6.268,8.552,14.82,24.13,2.34,2.99
0.0016,6.146,8.117,14.263000000000002,25.72,2.38,3.06
0.0017,6.029,7.727,13.756,27.34,2.42,3.14
0.0018,5.917,7.376,13.293,29.0,2.45,3.22
0.002,5.707,6.767,12.474,32.4,2.55,3.38
0.00225,5.468,6.144,11.612,36.82,2.69,3.58
0.0025,5.251,5.633,10.884,41.44,2.84,3.79
0.00275,5.054,5.206,10.260000000000002,46.24,2.99,4.01
0.003,4.874,4.843,9.716999999999999,51.24,3.14,4.24
0.00325,4.708,4.531,9.239,56.41,3.29,4.47
0.0035,4.557,4.26,8.817,61.76,3.44,4.7
0.00375,4.418,4.021,8.439,67.29,3.6,4.95
0.004,4.29,3.809,8.099,72.99,3.77,5.2
0.0045,4.062,3.45,7.5120000000000005,84.88,4.26,5.72
0.005,3.865,3.157,7.022,97.42,4.76,6.26
0.0055,3.694,2.912,6.606,110.57,5.25,6.82
0.006,3.542,2.705,6.247,124.31,5.74,7.41
0.0065,3.408,2.527,5.9350000000000005,138.61,6.24,8.01
0.007,3.288,2.372,5.66,153.46,6.73,8.64
0.008,3.081,2.117,5.198,184.72,8.32,9.93
0.009,2.829,1.914,4.743,218.42,9.87,11.31
0.01,2.612,1.748,4.36,255.04,11.43,12.79
