Energy_MeV,Elec_Stop,Nuc_Stop,Total_Stop
0.001,190.6,155.7,346.3
0.0015,225.6,144.1,369.7
0.002,254.3,134.0,388.2
0.0025,279.0,125.3,404.3
0.003,300.9,117.9,418.8
0.004,339.2,105.8,444.9
0.005,372.1,96.27,468.4
0.006,401.4,88.6,490.0
0.007,427.9,82.23,510.2
0.008,452.3,76.85,529.2
0.009,475.0,72.24,547.2
0.01,496.2,68.22,564.4
0.0125,544.3,60.12,604.4
0.015,586.9,53.95,640.9
0.0175,625.5,49.07,674.6
0.02,661.0,45.09,706.1
0.0225,693.8,41.78,735.6
0.025,724.6,38.97,763.5
0.0275,753.5,36.56,790.0
0.03,780.8,34.46,815.3
0.035,831.5,30.98,862.5
0.04,877.9,28.2,906.1
0.045,920.8,25.92,946.7
0.05,960.6,24.02,984.7
0.055,998.0,22.4,1020.0
0.06,1033.0,21.01,1054.0
0.065,1066.0,19.79,1086.0
0.07,1098.0,18.72,1117.0
0.075,1128.0,17.78,1146.0
0.08,1156.0,16.93,1173.0
0.085,1184.0,16.16,1200.0
0.09,1210.0,15.47,1225.0
0.095,1235.0,14.84,1250.0
0.1,1259.0,14.27,1273.0
0.125,1366.0,11.99,1378.0
0.15,1455.0,10.38,1466.0
0.175,1531.0,9.183,1540.0
0.2,1595.0,8.249,1604.0
0.225,1650.0,7.5,1658.0
0.25,1698.0,6.885,1704.0
0.275,1738.0,6.37,1744.0
0.3,1772.0,5.931,1778.0
0.35,1825.0,5.224,1831.0
0.4,1862.0,4.677,1867.0
0.45,1886.0,4.241,1891.0
0.5,1900.0,3.884,1904.0
0.55,1906.0,3.585,1910.0
0.6,1906.0,3.333,1910.0
0.65,1901.0,3.115,1904.0
0.7,1892.0,2.926,1895.0
0.75,1880.0,2.76,1883.0
0.8,1866.0,2.613,1869.0
0.85,1850.0,2.482,1853.0
0.9,1833.0,2.364,1835.0
0.95,1814.0,2.258,1816.0
1.0,1795.0,2.161,1797.0
1.25,1684.0,1.785,1686.0
1.5,1571.0,1.526,1573.0
1.75,1466.0,1.335,1468.0
2.0,1372.0,1.189,1373.0
2.25,1288.0,1.073,1289.0
2.5,1213.0,0.9793,1214.0
2.75,1145.0,0.9011,1146.0
3.0,1085.0,0.835,1086.0
3.5,981.9,0.7294,982.6
4.0,898.2,0.6486,898.9
4.5,829.6,0.5846,830.2
5.0,772.0,0.5327,772.6
5.5,722.9,0.4896,723.4
6.0,680.4,0.4532,680.9
6.5,643.1,0.4221,643.5
7.0,610.2,0.3952,610.6
7.5,580.8,0.3716,581.2
8.0,554.4,0.3509,554.8
8.5,530.6,0.3324,530.9
9.0,509.0,0.3158,509.3
9.5,489.2,0.3009,489.5
10.0,471.2,0.2874,471.5
12.5,399.2,0.2352,399.4
15.0,347.8,0.1996,348.0
17.5,309.1,0.1736,309.2
20.0,278.8,0.1538,278.9
25.0,234.2,0.1255,234.3
27.5,217.2,0.115,217.3
30.0,202.8,0.1062,202.9
35.0,179.4,0.09217,179.5
40.0,161.2,0.08149,161.3
45.0,146.7,0.07307,146.8
50.0,134.8,0.06626,134.8
55.0,124.8,0.06062,124.9
60.0,116.3,0.05588,116.4
65.0,109.0,0.05184,109.1
70.0,102.7,0.04836,102.7
75.0,97.09,0.04533,97.14
80.0,92.14,0.04266,92.18
85.0,87.72,0.0403,87.76
90.0,83.75,0.03818,83.79
95.0,80.16,0.03628,80.19
100.0,76.9,0.03455,76.93
125.0,64.2,0.02792,64.23
150.0,55.43,0.02344,55.45
175.0,48.99,0.0202,49.01
200.0,44.06,0.01776,44.07
225.0,40.14,0.01585,40.16
250.0,36.96,0.01431,36.97
275.0,34.32,0.01304,34.33
300.0,32.09,0.01198,32.1
350.0,28.53,0.01029,28.54
400.0,25.81,0.009027,25.82
450.0,23.67,0.008043,23.67
500.0,21.93,0.007251,21.93
550.0,20.49,0.006598,20.5
600.0,19.28,0.006049,19.29
650.0,18.25,0.005585,18.26
700.0,17.36,0.005189,17.37
750.0,16.59,0.004847,16.59
800.0,15.9,0.004548,15.91
850.0,15.3,0.004282,15.3
900.0,14.76,0.004046,14.77
950.0,14.28,0.003834,14.28
1000.0,13.84,0.003643,13.84
