Energy_MeV,Elec_Stop,Nuc_Stop,Total_Stop,Range_A,Straggling_Long_A,Straggling_Lat_A
0.0018,1.004,1.063,2.067,17.31,1.01,1.33
0.002,9.607,9.733,19.34,19.33,1.07,1.39
0.00225,9.112,8.818,17.93,21.99,1.15,1.47
0.0025,8.663,8.07,16.733,24.79,1.24,1.55
0.00275,8.258,7.447,15.704999999999998,27.73,1.33,1.63
0.003,7.89,6.918,14.808,30.82,1.42,1.72
0.00325,7.555,6.464,14.019,34.04,1.52,1.81
0.0035,7.251,6.07,13.321000000000002,37.41,1.61,1.9
0.00375,6.972,5.724,12.696000000000002,40.91,1.71,2.0
0.004,6.716,5.417,12.133,44.55,1.81,2.11
0.0045,6.264,4.898,11.161999999999999,52.24,2.16,2.33
0.005,5.876,4.475,10.350999999999999,60.45,2.5,2.56
0.0055,5.539,4.124,9.663,69.19,2.84,2.81
0.006,5.244,3.826,9.07,78.44,3.17,3.07
0.0065,4.983,3.571,8.554,88.2,3.51,3.35
0.007,4.75,3.349,8.099,98.45,3.85,3.64
0.008,4.354,2.983,7.337,120.39,5.04,4.26
0.009,4.025,2.693,6.718,144.22,6.16,4.94
0.01,3.721,2.457,6.178,170.0,7.26,5.66
