Energy_MeV,Elec_Stop,Nuc_Stop,Total_Stop,Range_A,Straggling_Long_A,Straggling_Lat_A
0.065,2.553,5.635,8.187999999999999,2.05,1.18,1.01
0.07,2.674,5.427,8.100999999999999,2.18,1.21,1.05
0.08,2.907,5.06,7.967,2.44,1.28,1.12
0.09,3.129,4.747,7.8759999999999994,2.68,1.33,1.18
0.1,3.34,4.476,7.816,2.91,1.38,1.24
0.11,3.542,4.239,7.781,3.14,1.42,1.29
0.12,3.735,4.029,7.763999999999999,3.35,1.46,1.34
0.13,3.92,3.843,7.763,3.56,1.49,1.38
0.14,4.097,3.675,7.772,3.77,1.52,1.42
0.15,4.267,3.523,7.790000000000001,3.96,1.55,1.46
0.16,4.429,3.385,7.814,4.16,1.58,1.5
0.17,4.585,3.259,7.843999999999999,4.34,1.6,1.53
0.18,4.733,3.143,7.8759999999999994,4.53,1.63,1.56
0.2,5.011,2.938,7.949,4.88,1.67,1.62
0.225,5.324,2.721,8.045,5.3,1.71,1.68
0.25,5.601,2.537,8.138,5.71,1.75,1.74
0.275,5.844,2.38,8.224,6.1,1.78,1.8
0.3,6.055,2.243,8.298,6.49,1.81,1.85
0.325,6.237,2.123,8.36,6.86,1.84,1.89
0.35,6.391,2.017,8.408,7.22,1.86,1.93
0.375,6.52,1.922,8.442,7.58,1.89,1.98
0.4,6.625,1.836,8.461,7.94,1.91,2.01
0.45,6.775,1.688,8.463000000000001,8.64,1.95,2.09
0.5,6.856,1.565,8.421,9.33,1.99,2.15
0.55,6.882,1.46,8.341999999999999,10.02,2.02,2.22
0.6,6.865,1.37,8.235,10.71,2.05,2.28
0.65,6.817,1.291,8.108,11.41,2.08,2.34
0.7,6.745,1.222,7.9670000000000005,12.12,2.11,2.39
0.8,6.559,1.106,7.665,13.57,2.17,2.51
0.9,6.344,1.012,7.356,15.07,2.23,2.62
0.001,6.125,9.334,15.459,16.63,2.29,2.73
0.0011,5.913,8.675,14.588000000000001,18.24,2.35,2.85
0.0012,5.713,8.111,13.824000000000002,19.92,2.41,2.97
0.0013,5.528,7.622,13.149999999999999,21.66,2.47,3.08
0.0014,5.357,7.193,12.55,23.46,2.53,3.21
0.0015,5.201,6.815,12.016,25.31,2.59,3.33
0.0016,5.057,6.477,11.534,27.22,2.66,3.46
0.0017,4.924,6.174,11.098,29.18,2.72,3.59
0.0018,4.802,5.901,10.703,31.2,2.79,3.72
0.002,4.584,5.426,10.01,35.39,2.95,4.0
0.00225,4.351,4.938,9.289,40.89,3.18,4.36
0.0025,4.151,4.537,8.687999999999999,46.68,3.42,4.74
0.00275,3.976,4.201,8.177,52.74,3.66,5.13
0.003,3.822,3.914,7.736000000000001,59.06,3.91,5.54
0.00325,3.684,3.667,7.351,65.63,4.17,5.96
0.0035,3.558,3.452,7.01,72.45,4.42,6.39
0.00375,3.444,3.262,6.7059999999999995,79.5,4.69,6.84
0.004,3.34,3.093,6.433,86.77,4.95,7.3
0.0045,3.153,2.807,5.96,102.0,5.7,8.25
0.005,2.992,2.573,5.5649999999999995,118.1,6.44,9.24
0.0055,2.85,2.377,5.227,135.03,7.18,10.27
0.006,2.724,2.21,4.934,152.79,7.92,11.35
0.0065,2.612,2.067,4.679,171.35,8.67,12.45
0.007,2.51,1.943,4.452999999999999,190.69,9.42,13.6
0.008,2.333,1.737,4.07,231.64,11.67,15.99
0.009,2.197,1.572,3.769,275.42,13.84,18.51
0.01,2.068,1.438,3.5060000000000002,321.94,15.96,21.15
