Energy_MeV,Elec_Stop,Nuc_Stop,Total_Stop,Range_A,Straggling_Long_A,Straggling_Lat_A
0.00225,9.113,8.37,17.482999999999997,21.01,1.03,1.25
0.0025,8.639,7.656,16.294999999999998,23.81,1.12,1.32
0.00275,8.213,7.062,15.274999999999999,26.77,1.21,1.4
0.003,7.828,6.559,14.387,29.88,1.31,1.48
0.00325,7.478,6.126,13.604,33.13,1.41,1.56
0.0035,7.161,5.751,12.911999999999999,36.54,1.51,1.65
0.00375,6.871,5.421,12.292000000000002,40.09,1.61,1.74
0.004,6.606,5.13,11.736,43.79,1.71,1.84
0.0045,6.138,4.637,10.774999999999999,51.62,2.08,2.05
0.005,5.739,4.235,9.974,60.03,2.44,2.27
0.0055,5.395,3.9,9.295,68.99,2.79,2.51
0.006,5.094,3.618,8.712,78.51,3.14,2.76
0.0065,4.829,3.376,8.205,88.57,3.49,3.02
0.007,4.594,3.165,7.759,99.16,3.84,3.3
0.008,4.195,2.819,7.014,121.89,5.1,3.9
0.009,3.99,2.544,6.534000000000001,146.28,6.24,4.55
0.01,3.758,2.32,6.077999999999999,172.05,7.31,5.22
