Energy_MeV,Elec_Stop,Nuc_Stop,Total_Stop,Range_A,Straggling_Long_A,Straggling_Lat_A
0.8,9.989,1.705,11.694,9.76,1.01,1.26
0.9,9.882,1.552,11.434,10.75,1.03,1.31
0.001,9.738,1.425,11.163,11.76,1.06,1.35
0.0011,9.569,1.319,10.888000000000002,12.78,1.08,1.39
0.0012,9.386,1.229,10.614999999999998,13.83,1.11,1.43
0.0013,9.196,1.151,10.347,14.89,1.13,1.48
0.0014,9.004,1.084,10.088,15.98,1.15,1.52
0.0015,8.812,1.024,9.835999999999999,17.1,1.18,1.56
0.0016,8.622,9.709,18.331,18.23,1.2,1.6
0.0017,8.437,9.235,17.671999999999997,19.4,1.23,1.64
0.0018,8.256,8.809,17.064999999999998,20.59,1.25,1.68
0.002,7.912,8.071,15.983,23.04,1.32,1.77
0.00225,7.515,7.317,14.832,26.26,1.43,1.88
0.0025,7.153,6.7,13.853,29.66,1.54,2.0
0.00275,6.824,6.185,13.009,33.21,1.66,2.12
0.003,6.525,5.749,12.274000000000001,36.94,1.77,2.25
0.00325,6.252,5.374,11.626,40.84,1.89,2.38
0.0035,6.003,5.048,11.051,44.9,2.01,2.51
0.00375,5.775,4.761,10.536000000000001,49.12,2.13,2.65
0.004,5.565,4.507,10.072,53.51,2.26,2.8
0.0045,5.192,4.078,9.27,62.78,2.68,3.11
0.005,4.871,3.727,8.598,72.68,3.1,3.44
0.0055,4.591,3.435,8.026,83.22,3.51,3.79
0.006,4.346,3.189,7.535,94.37,3.92,4.16
0.0065,4.129,2.977,7.106,106.13,4.34,4.55
0.007,3.935,2.793,6.728,118.5,4.75,4.96
0.008,3.603,2.489,6.0920000000000005,144.98,6.2,5.83
0.009,3.356,2.248,5.604,173.65,7.55,6.76
0.01,3.122,2.052,5.1739999999999995,204.46,8.87,7.76
