Energy_MeV,Elec_Stop,Nuc_Stop,Total_Stop,Range_A,Straggling_Long_A,Straggling_Lat_A
0.09,3.612,4.873,8.485,2.44,1.13,1.01
0.1,3.821,4.591,8.412,2.65,1.16,1.06
0.11,4.015,4.344,8.359,2.85,1.2,1.1
0.12,4.196,4.127,8.323,3.05,1.23,1.14
0.13,4.366,3.933,8.299,3.24,1.26,1.18
0.14,4.525,3.759,8.284,3.43,1.28,1.22
0.15,4.675,3.602,8.277,3.61,1.31,1.25
0.16,4.815,3.46,8.275,3.79,1.33,1.28
0.17,4.948,3.33,8.278,3.97,1.35,1.31
0.18,5.073,3.21,8.283000000000001,4.14,1.37,1.34
0.2,5.3,2.999,8.299,4.48,1.4,1.39
0.225,5.549,2.775,8.324,4.89,1.44,1.45
0.25,5.761,2.587,8.348,5.29,1.48,1.51
0.275,5.943,2.425,8.367999999999999,5.68,1.51,1.56
0.3,6.097,2.284,8.381,6.06,1.54,1.6
0.325,6.228,2.161,8.389,6.44,1.57,1.65
0.35,6.338,2.052,8.39,6.81,1.59,1.69
0.375,6.429,1.955,8.384,7.17,1.61,1.73
0.4,6.504,1.867,8.370999999999999,7.53,1.63,1.77
0.45,6.614,1.716,8.33,8.25,1.68,1.84
0.5,6.681,1.59,8.271,8.96,1.71,1.91
0.55,6.713,1.483,8.196,9.68,1.75,1.98
0.6,6.72,1.391,8.111,10.39,1.78,2.04
0.65,6.707,1.311,8.018,11.1,1.81,2.1
0.7,6.678,1.24,7.918,11.82,1.84,2.16
0.8,6.587,1.122,7.709,13.28,1.91,2.28
0.9,6.469,1.025,7.494,14.76,1.97,2.39
0.001,6.336,9.46,15.796000000000001,16.28,2.03,2.5
0.0011,6.196,8.789,14.985,17.84,2.08,2.62
0.0012,6.054,8.215,14.269,19.43,2.14,2.73
0.0013,5.912,7.718,13.629999999999999,21.07,2.2,2.84
0.0014,5.774,7.283,13.057,22.74,2.26,2.95
0.0015,5.64,6.898,12.538,24.46,2.31,3.06
0.0016,5.51,6.555,12.065,26.22,2.37,3.18
0.0017,5.386,6.248,11.634,28.02,2.43,3.3
0.0018,5.267,5.971,11.238,29.86,2.49,3.41
0.002,5.043,5.489,10.532,33.68,2.64,3.65
0.00225,4.79,4.994,9.783999999999999,38.69,2.84,3.97
0.0025,4.563,4.587,9.149999999999999,43.96,3.05,4.29
0.00275,4.36,4.246,8.606000000000002,49.49,3.27,4.63
0.003,4.176,3.956,8.132,55.28,3.49,4.98
0.00325,4.01,3.705,7.715,61.31,3.71,5.34
0.0035,3.859,3.487,7.346,67.59,3.94,5.71
0.00375,3.721,3.295,7.016,74.11,4.18,6.1
0.004,3.594,3.124,6.718,80.87,4.42,6.49
0.0045,3.37,2.835,6.205,95.09,5.11,7.32
0.005,3.177,2.597,5.774,110.22,5.8,8.2
0.0055,3.01,2.399,5.409,126.23,6.49,9.12
0.006,2.862,2.231,5.093,143.11,7.19,10.08
0.0065,2.732,2.086,4.818,160.83,7.9,11.08
0.007,2.615,1.961,4.5760000000000005,179.37,8.61,12.12
0.008,2.415,1.752,4.167,218.84,10.8,14.32
0.009,2.266,1.586,3.8520000000000003,261.25,12.9,16.65
0.01,2.125,1.45,3.575,306.47,14.96,19.1
