Energy_MeV,Elec_Stop,Nuc_Stop,Total_Stop
0.001,29.51,27.91,57.42
0.0015,36.49,28.78,65.27
0.002,42.42,28.96,71.38
0.0025,47.68,28.83,76.51
0.003,52.45,28.54,80.99
0.004,60.98,27.76,88.74
0.005,68.54,26.9,95.43
0.006,75.4,26.04,101.4
0.007,81.74,25.21,106.9
0.008,87.65,24.44,112.1
0.009,93.23,23.71,116.9
0.01,98.51,23.03,121.5
0.0125,110.7,21.5,132.2
0.015,121.8,20.2,142.0
0.0175,132.0,19.07,151.1
0.02,141.5,18.09,159.6
0.0225,150.5,17.21,167.7
0.025,159.0,16.44,175.5
0.0275,167.2,15.74,182.9
0.03,174.9,15.11,190.0
0.035,189.5,14.01,203.6
0.04,203.2,13.08,216.3
0.045,216.0,12.29,228.3
0.05,228.1,11.6,239.7
0.055,239.7,10.99,250.7
0.06,250.7,10.45,261.2
0.065,261.3,9.973,271.2
0.07,271.4,9.541,281.0
0.075,281.2,9.15,290.4
0.08,290.7,8.793,299.5
0.085,299.8,8.468,308.3
0.09,308.7,8.168,316.8
0.095,317.3,7.892,325.1
0.1,325.6,7.636,333.2
0.125,364.2,6.593,370.8
0.15,398.4,5.826,404.2
0.175,429.1,5.234,434.3
0.2,456.8,4.762,461.6
0.225,482.1,4.376,486.5
0.25,505.1,4.053,509.2
0.275,526.2,3.779,530.0
0.3,545.4,3.543,548.9
0.35,579.0,3.157,582.2
0.4,607.0,2.853,609.8
0.45,630.1,2.607,632.7
0.5,649.1,2.403,651.5
0.55,664.4,2.231,666.6
0.6,676.6,2.085,678.7
0.65,686.2,1.957,688.1
0.7,693.4,1.846,695.3
0.75,698.8,1.748,700.5
0.8,702.4,1.66,704.1
0.85,704.6,1.582,706.2
0.9,705.7,1.511,707.2
0.95,705.7,1.446,707.2
1.0,704.9,1.388,706.3
1.25,692.5,1.158,693.6
1.5,672.6,0.9973,673.6
1.75,650.3,0.8782,651.2
2.0,627.6,0.7861,628.3
2.25,606.0,0.7127,606.7
2.5,585.6,0.6525,586.3
2.75,566.3,0.6024,566.9
3.0,548.0,0.5598,548.5
3.5,514.0,0.4915,514.5
4.0,483.4,0.4388,483.8
4.5,455.8,0.397,456.2
5.0,431.0,0.3628,431.3
5.5,408.4,0.3344,408.8
6.0,388.0,0.3103,388.3
6.5,369.6,0.2897,369.9
7.0,353.7,0.2718,353.9
7.5,339.1,0.2561,339.4
8.0,325.7,0.2422,326.0
8.5,313.4,0.2298,313.6
9.0,302.0,0.2187,302.2
9.5,291.7,0.2087,291.9
10.0,282.3,0.1996,282.5
12.5,243.9,0.1643,244.1
15.0,215.9,0.1401,216.0
17.5,194.4,0.1224,194.5
20.0,177.3,0.1088,177.4
25.0,151.6,0.08933,151.7
27.5,141.7,0.0821,141.8
30.0,133.2,0.076,133.2
35.0,119.1,0.06626,119.2
40.0,108.1,0.05882,108.2
45.0,99.16,0.05295,99.21
50.0,91.73,0.04818,91.78
55.0,85.46,0.04423,85.51
60.0,80.09,0.0409,80.13
65.0,75.43,0.03805,75.46
70.0,71.34,0.03559,71.38
75.0,67.73,0.03344,67.76
80.0,64.51,0.03155,64.54
85.0,61.62,0.02986,61.65
90.0,59.0,0.02835,59.03
95.0,56.63,0.027,56.66
100.0,54.47,0.02577,54.5
125.0,45.97,0.02102,45.99
150.0,40.02,0.01779,40.04
175.0,35.61,0.01543,35.62
200.0,32.19,0.01364,32.2
225.0,29.46,0.01223,29.47
250.0,27.23,0.01109,27.24
275.0,25.37,0.01015,25.38
300.0,23.79,0.009351,23.8
350.0,21.26,0.008093,21.26
400.0,19.31,0.007138,19.32
450.0,17.76,0.006387,17.77
500.0,16.51,0.005779,16.51
550.0,15.46,0.005277,15.47
600.0,14.58,0.004855,14.59
650.0,13.83,0.004496,13.84
700.0,13.18,0.004187,13.19
750.0,12.61,0.003918,12.62
800.0,12.11,0.003682,12.12
850.0,11.67,0.003473,11.67
900.0,11.27,0.003287,11.27
950.0,10.91,0.00312,10.92
1000.0,10.59,0.002969,10.6
