Energy_MeV,Elec_Stop,Nuc_Stop,Total_Stop,Range_A,Straggling_Long_A,Straggling_Lat_A
0.08,2.905,8.458,11.363,2.54,1.1,1.02
0.09,3.1,7.847,10.947000000000001,2.8,1.15,1.08
0.1,3.283,7.329,10.612,3.05,1.19,1.13
0.11,3.455,6.883,10.338000000000001,3.29,1.22,1.18
0.12,3.618,6.495,10.113,3.52,1.25,1.23
0.13,3.771,6.154,9.925,3.75,1.28,1.27
0.14,3.917,5.851,9.768,3.97,1.31,1.31
0.15,4.056,5.58,9.636,4.19,1.33,1.34
0.16,4.187,5.336,9.523,4.4,1.36,1.38
0.17,4.313,5.115,9.428,4.6,1.38,1.41
0.18,4.432,4.913,9.345,4.81,1.4,1.44
0.2,4.656,4.56,9.216,5.2,1.43,1.49
0.225,4.908,4.19,9.098,5.67,1.47,1.56
0.25,5.135,3.882,9.017,6.13,1.5,1.62
0.275,5.339,3.62,8.959,6.57,1.53,1.67
0.3,5.523,3.395,8.918,6.99,1.56,1.72
0.325,5.689,3.199,8.888,7.41,1.58,1.76
0.35,5.839,3.027,8.866,7.82,1.61,1.8
0.375,5.975,2.874,8.849,8.22,1.63,1.84
0.4,6.097,2.737,8.834,8.61,1.65,1.88
0.45,6.308,2.502,8.809999999999999,9.38,1.68,1.95
0.5,6.479,2.308,8.786999999999999,10.13,1.71,2.01
0.55,6.617,2.144,8.761,10.86,1.74,2.07
0.6,6.727,2.004,8.731,11.58,1.77,2.12
0.65,6.814,1.883,8.697,12.3,1.79,2.17
0.7,6.882,1.777,8.658999999999999,13.01,1.82,2.22
0.8,6.967,1.599,8.565999999999999,14.41,1.86,2.31
0.9,7.003,1.456,8.459,15.81,1.91,2.39
0.001,7.003,1.339,8.342,17.21,1.95,2.47
0.0011,6.976,1.24,8.216,18.61,1.99,2.55
0.0012,6.929,1.156,8.085,20.03,2.02,2.63
0.0013,6.867,1.084,7.9510000000000005,21.45,2.06,2.7
0.0014,6.795,1.02,7.8149999999999995,22.89,2.09,2.77
0.0015,6.716,9.646,16.362000000000002,24.35,2.13,2.84
0.0016,6.631,9.151,15.782,25.83,2.16,2.91
0.0017,6.543,8.707,15.25,27.33,2.2,2.98
0.0018,6.453,8.308,14.761,28.85,2.23,3.04
0.002,6.271,7.618,13.889,31.96,2.32,3.18
0.00225,6.046,6.911,12.957,35.98,2.44,3.35
0.0025,5.828,6.332,12.16,40.15,2.57,3.53
0.00275,5.621,5.849,11.47,44.48,2.69,3.7
0.003,5.426,5.439,10.865,48.98,2.82,3.88
0.00325,5.242,5.086,10.328,53.63,2.95,4.07
0.0035,5.07,4.779,9.849,58.44,3.08,4.26
0.00375,4.909,4.509,9.418,63.42,3.22,4.45
0.004,4.758,4.27,9.027999999999999,68.56,3.36,4.65
0.0045,4.484,3.866,8.35,79.32,3.79,5.06
0.005,4.241,3.535,7.776,90.72,4.23,5.49
0.0055,4.026,3.26,7.286,102.76,4.67,5.95
0.006,3.833,3.027,6.86,115.42,5.12,6.42
0.0065,3.66,2.826,6.486000000000001,128.71,5.57,6.92
0.007,3.504,2.653,6.157,142.6,6.02,7.44
0.008,3.234,2.365,5.599,172.18,7.55,8.53
0.009,3.012,2.137,5.149,204.09,9.02,9.7
0.01,2.806,1.951,4.757,238.35,10.46,10.95
