Energy_MeV,Elec_Stop,Nuc_Stop,Total_Stop,Range_A,Straggling_Long_A,Straggling_Lat_A
0.04,1.325,6.229,7.554,1.55,1.25,1.0
0.045,1.41,5.939,7.349,1.73,1.33,1.08
0.05,1.489,5.679,7.168,1.92,1.41,1.15
0.055,1.566,5.444,7.01,2.1,1.48,1.22
0.06,1.638,5.231,6.869,2.28,1.55,1.29
0.065,1.708,5.037,6.745,2.45,1.61,1.35
0.07,1.776,4.859,6.635,2.63,1.67,1.41
0.08,1.904,4.544,6.4479999999999995,2.97,1.78,1.53
0.09,2.024,4.274,6.298,3.31,1.88,1.63
0.1,2.137,4.039,6.176,3.63,1.97,1.73
0.11,2.245,3.832,6.077,3.95,2.05,1.82
0.12,2.348,3.649,5.997,4.27,2.13,1.91
0.13,2.446,3.484,5.93,4.57,2.19,1.99
0.14,2.54,3.337,5.877000000000001,4.87,2.26,2.06
0.15,2.631,3.203,5.834,5.17,2.32,2.13
0.16,2.717,3.081,5.798,5.46,2.37,2.2
0.17,2.801,2.969,5.77,5.74,2.42,2.27
0.18,2.882,2.866,5.748,6.02,2.47,2.33
0.2,3.035,2.684,5.719,6.57,2.56,2.45
0.225,3.212,2.49,5.702,7.23,2.66,2.58
0.25,3.374,2.325,5.699,7.86,2.75,2.7
0.275,3.524,2.184,5.708,8.48,2.83,2.81
0.3,3.662,2.061,5.723,9.08,2.9,2.92
0.325,3.788,1.952,5.74,9.67,2.96,3.01
0.35,3.904,1.856,5.76,10.24,3.02,3.11
0.375,4.01,1.77,5.779999999999999,10.8,3.08,3.19
0.4,4.107,1.693,5.800000000000001,11.36,3.13,3.27
0.45,4.274,1.558,5.832,12.44,3.22,3.42
0.5,4.409,1.446,5.8549999999999995,13.49,3.31,3.56
0.55,4.515,1.351,5.866,14.52,3.38,3.69
0.6,4.596,1.268,5.864,15.54,3.45,3.81
0.65,4.654,1.196,5.85,16.55,3.51,3.93
0.7,4.694,1.133,5.827,17.55,3.57,4.04
0.8,4.726,1.026,5.752,19.56,3.69,4.25
0.9,4.714,9.398,14.112,21.57,3.8,4.44
0.001,4.673,8.68,13.353,23.6,3.9,4.64
0.0011,4.614,8.073,12.687000000000001,25.67,4.0,4.82
0.0012,4.545,7.553,12.097999999999999,27.77,4.09,5.0
0.0013,4.472,7.101,11.573,29.91,4.18,5.19
0.0014,4.398,6.706,11.104,32.09,4.27,5.37
0.0015,4.324,6.356,10.68,34.31,4.36,5.55
0.0016,4.253,6.044,10.297,36.57,4.45,5.72
0.0017,4.183,5.763,9.946,38.88,4.53,5.9
0.0018,4.117,5.51,9.626999999999999,41.22,4.62,6.08
0.002,3.991,5.07,9.061,46.03,4.82,6.45
0.00225,3.847,4.618,8.465,52.26,5.08,6.91
0.0025,3.716,4.245,7.961,58.73,5.34,7.38
0.00275,3.595,3.932,7.527,65.43,5.6,7.85
0.003,3.483,3.666,7.149,72.36,5.87,8.34
0.00325,3.378,3.436,6.814,79.51,6.14,8.83
0.0035,3.279,3.235,6.513999999999999,86.9,6.41,9.34
0.00375,3.187,3.058,6.244999999999999,94.5,6.69,9.85
0.004,3.099,2.901,6.0,102.33,6.97,10.38
0.0045,2.938,2.634,5.572,118.65,7.71,11.46
0.005,2.792,2.415,5.207,135.87,8.46,12.58
0.0055,2.66,2.232,4.892,153.97,9.22,13.75
0.006,2.54,2.077,4.617,172.96,10.0,14.96
0.0065,2.431,1.943,4.3740000000000006,192.83,10.79,16.22
0.007,2.33,1.827,4.157,213.59,11.59,17.52
0.008,2.153,1.633,3.786,257.74,13.95,20.27
0.009,2.028,1.48,3.508,305.09,16.27,23.18
0.01,1.908,1.354,3.262,355.42,18.57,26.23
