Energy_MeV,Elec_Stop,Nuc_Stop,Total_Stop,Range_A,Straggling_Long_A,Straggling_Lat_A
0.0375,1.219,6.266,7.485,1.49,1.3,1.03
0.04,1.268,6.113,7.381,1.59,1.35,1.08
0.045,1.361,5.833,7.194,1.77,1.44,1.16
0.05,1.449,5.581,7.03,1.96,1.52,1.23
0.055,1.535,5.354,6.889,2.14,1.59,1.3
0.06,1.616,5.147,6.763,2.32,1.66,1.37
0.065,1.695,4.958,6.6530000000000005,2.49,1.72,1.43
0.07,1.771,4.785,6.556,2.66,1.78,1.49
0.08,1.915,4.478,6.393,3.0,1.89,1.6
0.09,2.049,4.214,6.263,3.33,1.99,1.7
0.1,2.175,3.984,6.159,3.65,2.07,1.8
0.11,2.293,3.782,6.075,3.96,2.15,1.88
0.12,2.404,3.602,6.006,4.27,2.22,1.97
0.13,2.509,3.442,5.9510000000000005,4.56,2.29,2.04
0.14,2.608,3.297,5.905,4.85,2.35,2.12
0.15,2.701,3.165,5.866,5.14,2.41,2.19
0.16,2.789,3.046,5.835,5.42,2.46,2.25
0.17,2.873,2.936,5.809,5.7,2.51,2.31
0.18,2.952,2.835,5.787,5.97,2.56,2.37
0.2,3.1,2.655,5.755,6.5,2.64,2.48
0.225,3.265,2.464,5.729,7.15,2.74,2.61
0.25,3.411,2.302,5.713,7.78,2.82,2.73
0.275,3.541,2.163,5.704,8.39,2.9,2.84
0.3,3.657,2.042,5.699,8.99,2.97,2.94
0.325,3.761,1.935,5.696,9.58,3.03,3.04
0.35,3.853,1.84,5.6930000000000005,10.16,3.09,3.13
0.375,3.936,1.755,5.691,10.73,3.14,3.22
0.4,4.009,1.678,5.687,11.29,3.2,3.3
0.45,4.133,1.546,5.679,12.4,3.29,3.45
0.5,4.231,1.435,5.666,13.49,3.38,3.6
0.55,4.306,1.341,5.647,14.57,3.46,3.74
0.6,4.363,1.259,5.622,15.63,3.53,3.87
0.65,4.405,1.188,5.593,16.7,3.6,3.99
0.7,4.435,1.125,5.56,17.76,3.67,4.11
0.8,4.464,1.02,5.484,19.87,3.79,4.34
0.9,4.463,9.337,13.8,22.0,3.91,4.55
0.001,4.441,8.625,13.065999999999999,24.14,4.02,4.76
0.0011,4.405,8.024,12.428999999999998,26.3,4.13,4.96
0.0012,4.358,7.508,11.866,28.49,4.23,5.16
0.0013,4.305,7.06,11.364999999999998,30.71,4.33,5.36
0.0014,4.247,6.668,10.915,32.97,4.42,5.55
0.0015,4.186,6.32,10.506,35.26,4.52,5.75
0.0016,4.124,6.011,10.135,37.6,4.61,5.94
0.0017,4.062,5.732,9.794,39.97,4.71,6.13
0.0018,3.999,5.481,9.48,42.38,4.8,6.33
0.002,3.875,5.044,8.919,47.32,5.01,6.72
0.00225,3.727,4.595,8.322,53.74,5.29,7.21
0.0025,3.588,4.224,7.812,60.42,5.57,7.71
0.00275,3.458,3.914,7.372,67.36,5.85,8.22
0.003,3.338,3.649,6.987,74.57,6.14,8.74
0.00325,3.226,3.42,6.646,82.05,6.43,9.28
0.0035,3.122,3.221,6.343,89.78,6.72,9.83
0.00375,3.026,3.045,6.071,97.77,7.03,10.39
0.004,2.936,2.889,5.824999999999999,106.02,7.33,10.97
0.0045,2.774,2.623,5.397,123.26,8.14,12.15
0.005,2.632,2.406,5.038,141.48,8.96,13.4
0.0055,2.507,2.224,4.731,160.67,9.8,14.69
0.006,2.396,2.069,4.465,180.79,10.64,16.03
0.0065,2.296,1.936,4.231999999999999,201.83,11.5,17.42
0.007,2.206,1.82,4.026,223.77,12.38,18.86
0.008,2.05,1.628,3.678,270.24,14.89,21.88
0.009,1.939,1.475,3.414,319.83,17.35,25.06
0.01,1.831,1.349,3.1799999999999997,372.33,19.78,28.38
