Energy_MeV,Elec_Stop,Nuc_Stop,Total_Stop,Range_A,Straggling_Long_A,Straggling_Lat_A
0.045,1.524,6.377,7.901,1.69,1.32,1.07
0.05,1.63,6.092,7.7219999999999995,1.87,1.38,1.13
0.055,1.731,5.835,7.566,2.03,1.45,1.19
0.06,1.829,5.603,7.4319999999999995,2.2,1.51,1.25
0.065,1.923,5.391,7.314,2.36,1.56,1.31
0.07,2.013,5.198,7.211,2.52,1.61,1.36
0.08,2.184,4.856,7.04,2.83,1.7,1.45
0.09,2.341,4.563,6.904,3.13,1.78,1.54
0.1,2.485,4.308,6.792999999999999,3.42,1.85,1.62
0.11,2.617,4.085,6.702,3.7,1.92,1.69
0.12,2.738,3.887,6.625,3.97,1.98,1.76
0.13,2.848,3.71,6.558,4.24,2.03,1.83
0.14,2.949,3.551,6.5,4.51,2.08,1.89
0.15,3.041,3.407,6.448,4.77,2.13,1.95
0.16,3.126,3.276,6.401999999999999,5.03,2.17,2.0
0.17,3.204,3.156,6.36,5.28,2.21,2.06
0.18,3.276,3.046,6.321999999999999,5.53,2.25,2.11
0.2,3.407,2.85,6.257,6.02,2.32,2.21
0.225,3.551,2.642,6.193,6.63,2.4,2.32
0.25,3.679,2.466,6.145,7.22,2.47,2.42
0.275,3.795,2.315,6.109999999999999,7.8,2.54,2.52
0.3,3.901,2.184,6.085,8.36,2.6,2.61
0.325,3.999,2.068,6.067,8.92,2.66,2.7
0.35,4.089,1.965,6.054,9.48,2.71,2.78
0.375,4.172,1.874,6.045999999999999,10.02,2.76,2.86
0.4,4.249,1.791,6.039999999999999,10.56,2.8,2.93
0.45,4.383,1.649,6.032,11.61,2.89,3.07
0.5,4.495,1.529,6.024,12.65,2.96,3.21
0.55,4.587,1.428,6.015,13.67,3.03,3.33
0.6,4.66,1.34,6.0,14.68,3.1,3.45
0.65,4.718,1.264,5.982,15.68,3.16,3.56
0.7,4.762,1.197,5.959,16.67,3.22,3.66
0.8,4.817,1.084,5.901,18.65,3.33,3.87
0.9,4.836,9.918,14.754,20.62,3.43,4.06
0.001,4.83,9.157,13.987,22.6,3.53,4.24
0.0011,4.804,8.514,13.318,24.6,3.62,4.42
0.0012,4.765,7.964,12.729,26.61,3.71,4.6
0.0013,4.717,7.487,12.204,28.65,3.79,4.77
0.0014,4.662,7.068,11.73,30.72,3.88,4.93
0.0015,4.602,6.698,11.3,32.81,3.96,5.1
0.0016,4.539,6.368,10.907,34.94,4.04,5.27
0.0017,4.474,6.072,10.546,37.1,4.12,5.43
0.0018,4.408,5.804,10.212,39.29,4.2,5.6
0.002,4.277,5.34,9.617,43.79,4.38,5.93
0.00225,4.117,4.862,8.979,49.61,4.62,6.34
0.0025,3.965,4.468,8.433,55.68,4.86,6.77
0.00275,3.822,4.138,7.96,61.98,5.1,7.2
0.003,3.688,3.857,7.545,68.52,5.35,7.64
0.00325,3.563,3.615,7.178000000000001,75.3,5.6,8.09
0.0035,3.447,3.403,6.85,82.32,5.85,8.55
0.00375,3.338,3.217,6.555,89.57,6.11,9.03
0.004,3.237,3.051,6.288,97.06,6.37,9.51
0.0045,3.054,2.77,5.824,112.74,7.09,10.51
0.005,2.893,2.539,5.432,129.35,7.81,11.56
0.0055,2.75,2.346,5.096,146.85,8.55,12.66
0.006,2.624,2.183,4.807,165.24,9.3,13.8
0.0065,2.51,2.042,4.552,184.5,10.06,14.99
0.007,2.407,1.919,4.3260000000000005,204.61,10.83,16.22
0.008,2.229,1.716,3.9450000000000003,247.33,13.12,18.8
0.009,2.102,1.554,3.6559999999999997,293.07,15.36,21.54
0.01,1.979,1.422,3.401,341.63,17.57,24.42
