Energy_MeV,Elec_Stop,Nuc_Stop,Total_Stop,Range_A,Straggling_Long_A,Straggling_Lat_A
0.003,9.55,7.012,16.562,27.03,1.02,1.07
0.00325,9.123,6.543,15.666,29.7,1.1,1.11
0.0035,8.729,6.136,14.864999999999998,32.5,1.17,1.16
0.00375,8.366,5.779,14.145,35.42,1.25,1.21
0.004,8.031,5.464,13.495000000000001,38.46,1.34,1.26
0.0045,7.435,4.932,12.367,44.93,1.64,1.37
0.005,6.924,4.499,11.423,51.89,1.93,1.48
0.0055,6.483,4.139,10.622,59.34,2.22,1.61
0.006,6.098,3.835,9.933,67.28,2.5,1.75
0.0065,5.76,3.576,9.336,75.71,2.79,1.89
0.007,5.46,3.35,8.81,84.62,3.09,2.05
0.008,4.954,2.979,7.933,103.82,4.15,2.38
0.009,4.562,2.685,7.247,124.84,5.14,2.75
0.01,4.197,2.447,6.644,147.67,6.11,3.15
