Energy_MeV,Elec_Stop,Nuc_Stop,Total_Stop
0.001,54.06,33.04,87.09
0.0015,65.42,33.82,99.24
0.002,74.91,33.84,108.8
0.0025,83.2,33.54,116.7
0.003,90.66,33.08,123.7
0.004,103.8,31.98,135.8
0.005,115.3,30.84,146.1
0.006,125.6,29.74,155.4
0.007,135.1,28.71,163.8
0.008,143.8,27.75,171.6
0.009,152.0,26.85,178.9
0.01,159.8,26.02,185.8
0.0125,177.4,24.19,201.6
0.015,193.3,22.64,215.9
0.0175,207.8,21.31,229.1
0.02,221.3,20.15,241.4
0.0225,233.9,19.13,253.0
0.025,245.7,18.23,263.9
0.0275,256.9,17.42,274.4
0.03,267.6,16.7,284.3
0.035,287.7,15.44,303.1
0.04,306.2,14.38,320.6
0.045,323.5,13.48,337.0
0.05,339.8,12.7,352.5
0.055,355.2,12.02,367.2
0.06,369.8,11.41,381.2
0.065,383.8,10.88,394.6
0.07,397.1,10.39,407.5
0.075,410.0,9.958,419.9
0.08,422.3,9.561,431.9
0.085,434.2,9.199,443.4
0.09,445.7,8.867,454.6
0.095,456.9,8.561,465.4
0.1,467.6,8.277,475.9
0.125,517.1,7.128,524.3
0.15,560.6,6.285,566.9
0.175,599.4,5.638,605.0
0.2,634.3,5.123,639.4
0.225,665.9,4.702,670.6
0.25,694.6,4.351,699.0
0.275,720.8,4.054,724.9
0.3,744.8,3.798,748.6
0.35,786.6,3.38,790.0
0.4,821.5,3.052,824.6
0.45,850.4,2.786,853.2
0.5,874.1,2.567,876.6
0.55,893.1,2.382,895.5
0.6,908.1,2.224,910.4
0.65,919.6,2.088,921.7
0.7,928.0,1.968,930.0
0.75,933.6,1.862,935.5
0.8,936.8,1.769,938.6
0.85,938.0,1.684,939.7
0.9,937.3,1.608,938.9
0.95,935.1,1.54,936.6
1.0,931.5,1.477,933.0
1.25,899.9,1.231,901.2
1.5,856.7,1.059,857.7
1.75,810.9,0.9325,811.8
2.0,766.9,0.8343,767.7
2.25,727.3,0.756,728.1
2.5,691.9,0.692,692.6
2.75,660.2,0.6386,660.8
3.0,631.5,0.5934,632.1
3.5,581.8,0.5207,582.3
4.0,540.1,0.4647,540.5
4.5,504.6,0.4203,505.0
5.0,473.9,0.384,474.3
5.5,447.2,0.3538,447.6
6.0,423.6,0.3283,423.9
6.5,402.6,0.3064,402.9
7.0,383.5,0.2874,383.8
7.5,366.9,0.2707,367.2
8.0,352.0,0.256,352.2
8.5,338.3,0.2429,338.5
9.0,325.7,0.2311,325.9
9.5,314.1,0.2205,314.3
10.0,303.6,0.2109,303.8
12.5,261.1,0.1735,261.3
15.0,230.4,0.1479,230.5
17.5,206.9,0.1291,207.0
20.0,188.3,0.1148,188.4
25.0,160.6,0.09422,160.7
27.5,149.9,0.08657,150.0
30.0,140.7,0.08012,140.8
35.0,125.7,0.06984,125.8
40.0,113.9,0.06199,114.0
45.0,104.4,0.05578,104.4
50.0,96.45,0.05074,96.5
55.0,89.78,0.04657,89.83
60.0,84.08,0.04306,84.12
65.0,79.13,0.04006,79.17
70.0,74.81,0.03746,74.85
75.0,70.98,0.03519,71.02
80.0,67.58,0.0332,67.61
85.0,64.52,0.03142,64.56
90.0,61.77,0.02983,61.8
95.0,59.27,0.02839,59.29
100.0,56.99,0.0271,57.01
125.0,48.03,0.02209,48.06
150.0,41.78,0.01868,41.8
175.0,37.14,0.01621,37.15
200.0,33.55,0.01432,33.57
225.0,30.69,0.01284,30.71
250.0,28.35,0.01163,28.37
275.0,26.4,0.01064,26.41
300.0,24.75,0.009803,24.76
350.0,22.1,0.008482,22.11
400.0,20.07,0.007478,20.07
450.0,18.45,0.006686,18.46
500.0,17.14,0.006047,17.15
550.0,16.05,0.005519,16.06
600.0,15.13,0.005076,15.14
650.0,14.35,0.0047,14.35
700.0,13.67,0.004376,13.67
750.0,13.08,0.004095,13.08
800.0,12.55,0.003848,12.56
850.0,12.09,0.003629,12.09
900.0,11.68,0.003435,11.68
950.0,11.3,0.00326,11.31
1000.0,10.97,0.003102,10.97
