Energy_MeV,Elec_Stop,Nuc_Stop,Total_Stop,Range_A,Straggling_Long_A,Straggling_Lat_A
0.045,1.52,4.519,6.039,1.68,1.33,1.07
0.05,1.608,4.348,5.9559999999999995,1.85,1.41,1.14
0.055,1.691,4.191,5.882,2.02,1.47,1.2
0.06,1.771,4.047,5.818,2.18,1.54,1.26
0.065,1.846,3.913,5.759,2.35,1.6,1.32
0.07,1.919,3.79,5.709,2.51,1.65,1.38
0.08,2.056,3.569,5.625,2.82,1.76,1.48
0.09,2.182,3.376,5.558,3.13,1.85,1.58
0.1,2.3,3.207,5.507,3.43,1.93,1.67
0.11,2.411,3.056,5.4670000000000005,3.73,2.01,1.76
0.12,2.514,2.921,5.435,4.02,2.08,1.83
0.13,2.612,2.799,5.411,4.3,2.15,1.91
0.14,2.704,2.689,5.393000000000001,4.58,2.21,1.98
0.15,2.79,2.588,5.378,4.86,2.27,2.05
0.16,2.873,2.496,5.369,5.13,2.32,2.12
0.17,2.951,2.411,5.362,5.39,2.38,2.18
0.18,3.025,2.333,5.3580000000000005,5.66,2.42,2.24
0.2,3.162,2.193,5.355,6.17,2.51,2.35
0.225,3.315,2.043,5.3580000000000005,6.8,2.61,2.48
0.25,3.45,1.915,5.365,7.42,2.7,2.6
0.275,3.57,1.804,5.374,8.02,2.79,2.72
0.3,3.676,1.707,5.383,8.61,2.86,2.82
0.325,3.77,1.621,5.391,9.19,2.93,2.93
0.35,3.853,1.544,5.397,9.76,3.0,3.02
0.375,3.927,1.476,5.4030000000000005,10.33,3.06,3.11
0.4,3.992,1.414,5.406,10.89,3.12,3.2
0.45,4.099,1.306,5.405,11.99,3.22,3.37
0.5,4.181,1.215,5.396,13.09,3.32,3.53
0.55,4.241,1.137,5.378,14.17,3.41,3.67
0.6,4.284,1.07,5.354,15.25,3.5,3.82
0.65,4.312,1.011,5.323,16.33,3.58,3.95
0.7,4.328,9.593,13.921,17.4,3.65,4.09
0.8,4.331,8.714,13.045000000000002,19.56,3.8,4.34
0.9,4.306,7.997,12.303,21.74,3.94,4.59
0.001,4.261,7.401,11.661999999999999,23.96,4.07,4.82
0.0011,4.204,6.895,11.099,26.2,4.2,5.06
0.0012,4.137,6.461,10.597999999999999,28.49,4.33,5.29
0.0013,4.065,6.083,10.148,30.83,4.45,5.52
0.0014,3.99,5.751,9.741,33.21,4.57,5.75
0.0015,3.914,5.457,9.371,35.64,4.69,5.98
0.0016,3.837,5.195,9.032,38.13,4.81,6.21
0.0017,3.761,4.958,8.719000000000001,40.67,4.93,6.45
0.0018,3.686,4.745,8.431000000000001,43.27,5.05,6.68
0.002,3.542,4.373,7.915,48.63,5.31,7.16
0.00225,3.374,3.989,7.3629999999999995,55.65,5.67,7.78
0.0025,3.22,3.672,6.892,63.03,6.03,8.42
0.00275,3.08,3.406,6.486000000000001,70.76,6.39,9.07
0.003,2.954,3.178,6.132,78.85,6.77,9.75
0.00325,2.839,2.982,5.821,87.28,7.16,10.46
0.0035,2.735,2.81,5.545,96.05,7.56,11.18
0.00375,2.641,2.659,5.3,105.15,7.96,11.93
0.004,2.555,2.524,5.079000000000001,114.58,8.38,12.7
0.0045,2.404,2.294,4.698,134.35,9.43,14.3
0.005,2.277,2.106,4.383,155.31,10.5,15.98
0.0055,2.169,1.948,4.117,177.4,11.59,17.74
0.006,2.076,1.814,3.89,200.55,12.69,19.56
0.0065,1.995,1.699,3.694,224.7,13.81,21.44
0.007,1.923,1.598,3.521,249.81,14.94,23.38
0.008,1.803,1.431,3.234,302.67,18.0,27.41
0.009,1.691,1.297,2.988,359.09,21.0,31.65
0.01,1.589,1.188,2.777,419.2,24.01,36.09
