Energy_MeV,Elec_Stop,Nuc_Stop,Total_Stop,Range_A,Straggling_Long_A,Straggling_Lat_A
0.08,2.873,7.818,10.690999999999999,2.53,1.09,1.01
0.09,3.06,7.259,10.319,2.79,1.13,1.07
0.1,3.235,6.785,10.02,3.04,1.18,1.13
0.11,3.4,6.377,9.777,3.29,1.21,1.18
0.12,3.556,6.021,9.577,3.52,1.25,1.22
0.13,3.703,5.708,9.411,3.76,1.28,1.27
0.14,3.843,5.429,9.272,3.98,1.31,1.31
0.15,3.976,5.18,9.155999999999999,4.2,1.33,1.34
0.16,4.103,4.955,9.058,4.42,1.36,1.38
0.17,4.223,4.751,8.974,4.63,1.38,1.41
0.18,4.339,4.566,8.905000000000001,4.83,1.4,1.44
0.2,4.554,4.24,8.794,5.23,1.44,1.5
0.225,4.799,3.899,8.698,5.71,1.48,1.57
0.25,5.018,3.614,8.632,6.18,1.51,1.63
0.275,5.216,3.372,8.588000000000001,6.63,1.54,1.68
0.3,5.395,3.163,8.558,7.06,1.57,1.73
0.325,5.557,2.982,8.539000000000001,7.49,1.6,1.78
0.35,5.703,2.822,8.525,7.91,1.62,1.83
0.375,5.835,2.68,8.515,8.32,1.64,1.87
0.4,5.955,2.553,8.508,8.72,1.66,1.91
0.45,6.161,2.335,8.495999999999999,9.5,1.7,1.98
0.5,6.329,2.155,8.484,10.27,1.74,2.04
0.55,6.464,2.003,8.467,11.02,1.77,2.1
0.6,6.573,1.873,8.446,11.76,1.8,2.16
0.65,6.658,1.76,8.418000000000001,12.49,1.82,2.22
0.7,6.724,1.661,8.385,13.21,1.85,2.27
0.8,6.808,1.495,8.303,14.65,1.9,2.36
0.9,6.842,1.362,8.204,16.08,1.94,2.45
0.001,6.84,1.253,8.093,17.51,1.99,2.54
0.0011,6.811,1.161,7.9719999999999995,18.94,2.03,2.62
0.0012,6.763,1.082,7.845,20.39,2.07,2.7
0.0013,6.7,1.015,7.715,21.85,2.11,2.77
0.0014,6.627,9.557,16.184,23.33,2.14,2.85
0.0015,6.546,9.036,15.582,24.83,2.18,2.92
0.0016,6.46,8.573,15.033000000000001,26.34,2.22,3.0
0.0017,6.371,8.159,14.530000000000001,27.88,2.25,3.07
0.0018,6.28,7.786,14.065999999999999,29.44,2.29,3.14
0.002,6.097,7.141,13.238,32.64,2.38,3.29
0.00225,5.87,6.48,12.350000000000001,36.77,2.51,3.47
0.0025,5.651,5.939,11.59,41.07,2.64,3.66
0.00275,5.444,5.487,10.931000000000001,45.54,2.78,3.85
0.003,5.249,5.103,10.352,50.18,2.91,4.04
0.00325,5.066,4.772,9.838000000000001,54.99,3.05,4.24
0.0035,4.894,4.485,9.379000000000001,59.97,3.19,4.44
0.00375,4.734,4.232,8.966000000000001,65.13,3.33,4.65
0.004,4.584,4.009,8.593,70.46,3.48,4.86
0.0045,4.313,3.629,7.942,81.63,3.94,5.31
0.005,4.074,3.32,7.394,93.49,4.4,5.78
0.0055,3.862,3.062,6.9239999999999995,106.03,4.87,6.27
0.006,3.673,2.843,6.516,119.23,5.34,6.79
0.0065,3.504,2.655,6.159,133.1,5.82,7.33
0.007,3.352,2.492,5.843999999999999,147.61,6.3,7.89
0.008,3.088,2.223,5.311,178.56,7.91,9.08
0.009,2.901,2.009,4.91,211.82,9.45,10.36
0.01,2.718,1.835,4.553,247.29,10.94,11.71
