Energy_MeV,Elec_Stop,Nuc_Stop,Total_Stop
0.001,38.11,7.993,46.11
0.0015,45.4,8.647,54.05
0.002,51.41,9.03,60.44
0.0025,56.61,9.267,65.88
0.003,61.25,9.415,70.66
0.004,69.34,9.555,78.9
0.005,76.36,9.576,85.93
0.006,82.61,9.535,92.14
0.007,88.29,9.458,97.75
0.008,93.53,9.361,102.9
0.009,98.41,9.251,107.7
0.01,103.0,9.136,112.1
0.0125,113.4,8.838,122.2
0.015,122.7,8.545,131.2
0.0175,131.1,8.266,139.4
0.02,138.9,8.004,146.9
0.0225,146.1,7.759,153.9
0.025,152.9,7.53,160.4
0.0275,159.3,7.316,166.6
0.03,165.4,7.116,172.5
0.035,176.7,6.753,183.4
0.04,187.1,6.431,193.5
0.045,196.8,6.144,202.9
0.05,205.9,5.886,211.8
0.055,214.4,5.653,220.1
0.06,222.5,5.441,228.0
0.065,230.3,5.247,235.5
0.07,237.6,5.068,242.7
0.075,244.7,4.904,249.6
0.08,251.5,4.752,256.2
0.085,258.0,4.61,262.6
0.09,264.3,4.478,268.7
0.095,270.3,4.354,274.7
0.1,276.2,4.239,280.5
0.125,303.1,3.753,306.8
0.15,326.6,3.379,329.9
0.175,347.4,3.082,350.5
0.2,366.2,2.839,369.0
0.225,383.1,2.636,385.7
0.25,398.5,2.463,401.0
0.275,412.5,2.314,414.9
0.3,425.4,2.183,427.6
0.35,447.8,1.967,449.8
0.4,466.5,1.794,468.3
0.45,482.1,1.651,483.7
0.5,494.8,1.532,496.3
0.55,505.1,1.43,506.5
0.6,513.2,1.343,514.6
0.65,519.4,1.266,520.7
0.7,523.9,1.198,525.1
0.75,526.9,1.138,528.0
0.8,528.6,1.085,529.7
0.85,529.1,1.036,530.1
0.9,528.6,0.9925,529.6
0.95,527.3,0.9525,528.2
1.0,525.2,0.916,526.1
1.25,505.6,0.7712,506.4
1.5,481.0,0.6687,481.7
1.75,456.8,0.592,457.4
2.0,434.6,0.5323,435.1
2.25,414.6,0.4843,415.1
2.5,396.6,0.4448,397.1
2.75,380.5,0.4117,381.0
3.0,366.0,0.3836,366.4
3.5,340.9,0.3381,341.2
4.0,319.7,0.3029,320.0
4.5,301.6,0.2748,301.8
5.0,285.8,0.2517,286.1
5.5,272.0,0.2325,272.2
6.0,259.8,0.2162,260.0
6.5,248.8,0.2021,249.0
7.0,239.0,0.1899,239.2
7.5,230.1,0.1792,230.3
8.0,222.0,0.1697,222.2
8.5,214.6,0.1612,214.7
9.0,207.7,0.1536,207.9
9.5,201.4,0.1467,201.5
10.0,195.6,0.1404,195.7
12.5,171.6,0.1161,171.7
15.0,153.7,0.09927,153.8
17.5,139.8,0.08692,139.9
20.0,128.5,0.07745,128.6
25.0,111.4,0.06381,111.5
27.5,104.7,0.05873,104.7
30.0,98.84,0.05444,98.89
35.0,89.16,0.04757,89.21
40.0,81.45,0.04231,81.49
45.0,75.13,0.03815,75.16
50.0,69.84,0.03477,69.88
55.0,65.34,0.03196,65.37
60.0,61.46,0.0296,61.49
65.0,58.08,0.02757,58.11
70.0,55.1,0.02582,55.12
75.0,52.44,0.02428,52.46
80.0,50.08,0.02293,50.11
85.0,47.95,0.02172,47.97
90.0,46.01,0.02064,46.03
95.0,44.24,0.01967,44.26
100.0,42.63,0.01879,42.65
125.0,36.2,0.01539,36.21
150.0,31.62,0.01306,31.63
175.0,28.19,0.01137,28.21
200.0,25.53,0.01007,25.54
225.0,23.4,0.009053,23.41
250.0,21.65,0.008226,21.66
275.0,20.19,0.007541,20.2
300.0,18.95,0.006965,18.96
350.0,16.97,0.006047,16.98
400.0,15.45,0.005349,15.46
450.0,14.25,0.004799,14.25
500.0,13.26,0.004353,13.27
550.0,12.44,0.003985,12.45
600.0,11.75,0.003675,11.76
650.0,11.16,0.00341,11.16
700.0,10.65,0.003182,10.65
750.0,10.2,0.002982,10.2
800.0,9.802,0.002807,9.804
850.0,9.45,0.002652,9.453
900.0,9.136,0.002513,9.138
950.0,8.853,0.002389,8.856
1000.0,8.598,0.002276,8.6
