Energy_MeV,Elec_Stop,Nuc_Stop,Total_Stop,Range_A,Straggling_Long_A,Straggling_Lat_A
0.055,1.934,5.572,7.506,1.89,1.21,1.02
0.06,2.024,5.351,7.375,2.05,1.27,1.07
0.065,2.111,5.15,7.261000000000001,2.2,1.32,1.12
0.07,2.195,4.966,7.161,2.35,1.36,1.17
0.08,2.354,4.641,6.995,2.65,1.45,1.26
0.09,2.504,4.362,6.866,2.94,1.52,1.34
0.1,2.645,4.12,6.765000000000001,3.22,1.59,1.42
0.11,2.778,3.907,6.6850000000000005,3.49,1.65,1.49
0.12,2.903,3.719,6.622,3.76,1.7,1.56
0.13,3.021,3.55,6.571,4.02,1.76,1.62
0.14,3.133,3.399,6.532,4.27,1.8,1.68
0.15,3.238,3.261,6.4990000000000006,4.52,1.85,1.73
0.16,3.339,3.136,6.475,4.76,1.89,1.79
0.17,3.434,3.022,6.4559999999999995,5.01,1.93,1.84
0.18,3.525,2.916,6.441,5.24,1.96,1.88
0.2,3.693,2.729,6.422000000000001,5.7,2.03,1.97
0.225,3.88,2.531,6.411,6.27,2.1,2.08
0.25,4.047,2.363,6.41,6.81,2.17,2.17
0.275,4.194,2.219,6.413,7.34,2.23,2.26
0.3,4.325,2.093,6.418,7.86,2.28,2.34
0.325,4.441,1.982,6.423,8.37,2.33,2.42
0.35,4.544,1.884,6.427999999999999,8.87,2.38,2.49
0.375,4.635,1.797,6.4319999999999995,9.36,2.42,2.56
0.4,4.715,1.718,6.433,9.85,2.46,2.62
0.45,4.849,1.581,6.43,10.81,2.53,2.75
0.5,4.951,1.467,6.417999999999999,11.76,2.6,2.86
0.55,5.028,1.37,6.398,12.69,2.66,2.97
0.6,5.084,1.286,6.369999999999999,13.62,2.72,3.07
0.65,5.123,1.213,6.336,14.54,2.77,3.17
0.7,5.147,1.148,6.295,15.46,2.83,3.27
0.8,5.163,1.04,6.203,17.31,2.93,3.45
0.9,5.146,9.519,14.665,19.16,3.02,3.62
0.001,5.106,8.789,13.895,21.04,3.11,3.79
0.0011,5.051,8.173,13.224,22.94,3.19,3.95
0.0012,4.985,7.646,12.631,24.86,3.28,4.11
0.0013,4.913,7.188,12.100999999999999,26.82,3.36,4.27
0.0014,4.837,6.786,11.623,28.81,3.44,4.43
0.0015,4.758,6.431,11.189,30.84,3.51,4.59
0.0016,4.679,6.115,10.794,32.9,3.59,4.74
0.0017,4.6,5.831,10.431000000000001,35.0,3.67,4.9
0.0018,4.521,5.574,10.094999999999999,37.14,3.75,5.06
0.002,4.367,5.128,9.495000000000001,41.54,3.92,5.38
0.00225,4.185,4.67,8.855,47.27,4.16,5.78
0.0025,4.015,4.292,8.306999999999999,53.25,4.41,6.2
0.00275,3.858,3.975,7.833,59.49,4.65,6.62
0.003,3.712,3.706,7.418,65.99,4.9,7.06
0.00325,3.578,3.473,7.051,72.73,5.16,7.51
0.0035,3.454,3.27,6.724,79.74,5.42,7.97
0.00375,3.338,3.091,6.429,86.99,5.69,8.44
0.004,3.232,2.932,6.164,94.49,5.96,8.93
0.0045,3.04,2.662,5.702,110.23,6.7,9.94
0.005,2.872,2.44,5.311999999999999,126.93,7.45,11.0
0.0055,2.725,2.255,4.98,144.59,8.21,12.12
0.006,2.595,2.098,4.693,163.17,8.99,13.28
0.0065,2.478,1.962,4.44,182.67,9.77,14.49
0.007,2.373,1.845,4.218,203.06,10.58,15.75
0.008,2.192,1.649,3.841,246.45,12.96,18.4
0.009,2.07,1.494,3.564,292.92,15.27,21.21
0.01,1.951,1.367,3.318,342.21,17.54,24.15
