Energy_MeV,Elec_Stop,Nuc_Stop,Total_Stop
0.001,47.66,23.14,70.79
0.0015,57.57,24.01,81.58
0.002,65.83,24.28,90.11
0.0025,73.05,24.26,97.31
0.003,79.53,24.1,103.6
0.004,90.94,23.57,114.5
0.005,100.9,22.93,123.8
0.006,109.9,22.28,132.1
0.007,118.0,21.63,139.7
0.008,125.6,21.02,146.6
0.009,132.7,20.44,153.1
0.01,139.4,19.89,159.2
0.0125,154.6,18.66,173.3
0.015,168.3,17.59,185.9
0.0175,180.8,16.65,197.4
0.02,192.3,15.83,208.2
0.0225,203.1,15.1,218.2
0.025,213.3,14.44,227.7
0.0275,222.9,13.85,236.7
0.03,232.0,13.32,245.3
0.035,249.1,12.38,261.5
0.04,264.8,11.59,276.4
0.045,279.5,10.91,290.4
0.05,293.2,10.31,303.5
0.055,306.1,9.786,315.9
0.06,318.4,9.319,327.7
0.065,330.0,8.902,338.9
0.07,341.1,8.525,349.6
0.075,351.7,8.183,359.8
0.08,361.8,7.871,369.7
0.085,371.5,7.586,379.1
0.09,380.8,7.323,388.1
0.095,389.8,7.08,396.9
0.1,398.4,6.855,405.3
0.125,437.2,5.934,443.1
0.15,469.9,5.254,475.1
0.175,497.8,4.727,502.5
0.2,521.7,4.306,526.0
0.225,542.3,3.961,546.3
0.25,560.1,3.672,563.8
0.275,575.5,3.427,579.0
0.3,588.9,3.215,592.1
0.35,610.7,2.867,613.6
0.4,627.4,2.594,630.0
0.45,640.1,2.372,642.5
0.5,649.9,2.188,652.1
0.55,657.3,2.033,659.3
0.6,662.8,1.9,664.7
0.65,666.8,1.785,668.6
0.7,669.6,1.684,671.3
0.75,671.4,1.595,673.0
0.8,672.3,1.515,673.8
0.85,672.4,1.444,673.8
0.9,671.9,1.379,673.3
0.95,670.9,1.321,672.2
1.0,669.4,1.268,670.7
1.25,656.9,1.059,658.0
1.5,639.5,0.9125,640.4
1.75,619.8,0.804,620.6
2.0,599.4,0.7201,600.1
2.25,578.4,0.653,579.1
2.5,557.6,0.5981,558.2
2.75,537.5,0.5523,538.1
3.0,518.5,0.5134,519.0
3.5,483.6,0.4509,484.0
4.0,452.9,0.4028,453.3
4.5,425.8,0.3644,426.1
5.0,401.8,0.3332,402.2
5.5,380.5,0.3071,380.8
6.0,361.5,0.2851,361.8
6.5,344.3,0.2662,344.5
7.0,328.6,0.2498,328.8
7.5,315.1,0.2354,315.4
8.0,303.1,0.2226,303.3
8.5,292.1,0.2113,292.3
9.0,282.0,0.2011,282.2
9.5,272.6,0.1919,272.8
10.0,263.8,0.1835,264.0
12.5,228.2,0.1512,228.3
15.0,202.2,0.1289,202.4
17.5,182.3,0.1126,182.4
20.0,166.4,0.1002,166.5
25.0,142.6,0.08229,142.7
27.5,133.4,0.07564,133.4
30.0,125.4,0.07003,125.5
35.0,112.3,0.06108,112.4
40.0,102.0,0.05423,102.1
45.0,93.63,0.04882,93.68
50.0,86.67,0.04444,86.72
55.0,80.79,0.0408,80.83
60.0,75.75,0.03774,75.79
65.0,71.37,0.03512,71.41
70.0,67.53,0.03285,67.57
75.0,64.14,0.03087,64.17
80.0,61.1,0.02912,61.13
85.0,58.38,0.02757,58.41
90.0,55.92,0.02618,55.95
95.0,53.69,0.02493,53.72
100.0,51.65,0.0238,51.68
125.0,43.63,0.01942,43.65
150.0,38.01,0.01644,38.03
175.0,33.84,0.01427,33.85
200.0,30.6,0.01262,30.62
225.0,28.02,0.01132,28.03
250.0,25.91,0.01027,25.92
275.0,24.14,0.009396,24.15
300.0,22.65,0.008663,22.65
350.0,20.24,0.007498,20.25
400.0,18.4,0.006615,18.4
450.0,16.93,0.005921,16.94
500.0,15.74,0.005361,15.74
550.0,14.75,0.004897,14.75
600.0,13.91,0.004507,13.92
650.0,13.2,0.004175,13.2
700.0,12.58,0.003888,12.59
750.0,12.04,0.003639,12.05
800.0,11.57,0.00342,11.57
850.0,11.15,0.003226,11.15
900.0,10.77,0.003053,10.77
950.0,10.43,0.002898,10.43
1000.0,10.13,0.002759,10.13
