Energy_MeV,Elec_Stop,Nuc_Stop,Total_Stop,Range_A,Straggling_Long_A,Straggling_Lat_A
0.13,4.339,5.544,9.883,3.27,1.01,1.02
0.14,4.478,5.275,9.753,3.46,1.03,1.05
0.15,4.609,5.034,9.643,3.66,1.05,1.08
0.16,4.731,4.816,9.547,3.84,1.07,1.11
0.17,4.847,4.619,9.466000000000001,4.03,1.09,1.14
0.18,4.956,4.439,9.395,4.21,1.11,1.17
0.2,5.155,4.123,9.278,4.57,1.14,1.22
0.225,5.376,3.793,9.169,5.0,1.17,1.28
0.25,5.569,3.517,9.086,5.42,1.2,1.33
0.275,5.738,3.282,9.02,5.84,1.23,1.38
0.3,5.887,3.08,8.966999999999999,6.24,1.26,1.42
0.325,6.019,2.903,8.922,6.63,1.28,1.46
0.35,6.135,2.748,8.883,7.02,1.3,1.5
0.375,6.237,2.61,8.847,7.4,1.32,1.54
0.4,6.327,2.487,8.814,7.78,1.34,1.58
0.45,6.475,2.275,8.75,8.53,1.38,1.64
0.5,6.589,2.1,8.689,9.26,1.41,1.71
0.55,6.675,1.952,8.626999999999999,9.99,1.44,1.76
0.6,6.738,1.825,8.563,10.71,1.47,1.82
0.65,6.782,1.716,8.498,11.43,1.49,1.87
0.7,6.81,1.619,8.429,12.14,1.52,1.92
0.8,6.83,1.458,8.288,13.57,1.57,2.02
0.9,6.813,1.329,8.142,15.0,1.62,2.11
0.001,6.77,1.222,7.991999999999999,16.44,1.67,2.2
0.0011,6.71,1.133,7.843,17.9,1.72,2.29
0.0012,6.637,1.056,7.693,19.37,1.76,2.37
0.0013,6.556,9.903,16.459,20.86,1.8,2.45
0.0014,6.47,9.328,15.797999999999998,22.38,1.84,2.53
0.0015,6.38,8.82,15.2,23.91,1.89,2.61
0.0016,6.288,8.369,14.657,25.47,1.93,2.69
0.0017,6.195,7.966,14.161000000000001,27.05,1.97,2.77
0.0018,6.103,7.602,13.705,28.66,2.01,2.85
0.002,5.92,6.973,12.893,31.95,2.12,3.01
0.00225,5.7,6.328,12.028,36.2,2.27,3.21
0.0025,5.491,5.8,11.291,40.63,2.42,3.41
0.00275,5.296,5.359,10.655000000000001,45.23,2.57,3.62
0.003,5.113,4.985,10.098,49.99,2.72,3.83
0.00325,4.943,4.662,9.605,54.92,2.87,4.05
0.0035,4.784,4.382,9.166,60.03,3.03,4.27
0.00375,4.635,4.135,8.77,65.3,3.19,4.5
0.004,4.496,3.917,8.413,70.73,3.35,4.73
0.0045,4.244,3.547,7.791,82.11,3.84,5.2
0.005,4.022,3.244,7.266,94.14,4.33,5.7
0.0055,3.825,2.992,6.817,106.81,4.81,6.22
0.006,3.649,2.779,6.428,120.12,5.3,6.76
0.0065,3.49,2.596,6.086,134.06,5.79,7.32
0.007,3.347,2.436,5.7829999999999995,148.61,6.28,7.91
0.008,3.098,2.173,5.271,179.52,7.9,9.13
0.009,2.884,1.964,4.848,212.83,9.45,10.44
0.01,2.687,1.794,4.481,248.6,10.97,11.82
