Energy_MeV,Elec_Stop,Nuc_Stop,Total_Stop,Range_A,Straggling_Long_A,Straggling_Lat_A
0.03,8.834,6.391,15.225,1.28,1.33,1.03
0.0325,9.27,6.225,15.495,1.39,1.4,1.09
0.035,9.694,6.069,15.763000000000002,1.49,1.46,1.14
0.0375,1.011,5.922,6.933,1.6,1.52,1.19
0.04,1.051,5.782,6.833,1.7,1.58,1.24
0.045,1.128,5.525,6.6530000000000005,1.91,1.68,1.34
0.05,1.201,5.293,6.494,2.11,1.78,1.42
0.055,1.272,5.082,6.354,2.31,1.87,1.51
0.06,1.34,4.891,6.231,2.51,1.96,1.59
0.065,1.405,4.716,6.121,2.71,2.03,1.66
0.07,1.468,4.555,6.023,2.9,2.11,1.74
0.08,1.588,4.269,5.857,3.28,2.25,1.87
0.09,1.701,4.022,5.723000000000001,3.65,2.37,2.0
0.1,1.807,3.806,5.6129999999999995,4.02,2.48,2.12
0.11,1.908,3.616,5.524,4.37,2.58,2.22
0.12,2.003,3.447,5.45,4.72,2.67,2.33
0.13,2.094,3.295,5.388999999999999,5.06,2.76,2.42
0.14,2.181,3.159,5.34,5.39,2.84,2.51
0.15,2.264,3.034,5.298,5.72,2.91,2.6
0.16,2.343,2.921,5.263999999999999,6.04,2.98,2.68
0.17,2.418,2.817,5.235,6.36,3.04,2.76
0.18,2.49,2.722,5.212,6.67,3.1,2.83
0.2,2.626,2.551,5.177,7.28,3.21,2.97
0.225,2.78,2.37,5.15,8.01,3.34,3.13
0.25,2.919,2.215,5.134,8.73,3.44,3.28
0.275,3.045,2.083,5.128,9.42,3.54,3.41
0.3,3.158,1.967,5.125,10.1,3.63,3.54
0.325,3.261,1.865,5.126,10.77,3.71,3.66
0.35,3.354,1.774,5.128,11.42,3.79,3.77
0.375,3.438,1.693,5.131,12.06,3.86,3.87
0.4,3.514,1.62,5.134,12.69,3.92,3.97
0.45,3.645,1.493,5.138,13.93,4.04,4.16
0.5,3.752,1.386,5.138,15.15,4.15,4.34
0.55,3.838,1.296,5.134,16.34,4.25,4.5
0.6,3.907,1.217,5.1240000000000006,17.52,4.34,4.65
0.65,3.962,1.149,5.111000000000001,18.69,4.42,4.8
0.7,4.004,1.089,5.093,19.86,4.5,4.94
0.8,4.058,9.87,13.927999999999999,22.17,4.65,5.21
0.9,4.082,9.044,13.126000000000001,24.48,4.79,5.46
0.001,4.083,8.357,12.44,26.8,4.92,5.7
0.0011,4.068,7.777,11.844999999999999,29.13,5.04,5.93
0.0012,4.041,7.279,11.32,31.48,5.16,6.16
0.0013,4.006,6.847,10.853000000000002,33.86,5.27,6.38
0.0014,3.965,6.468,10.433,36.27,5.38,6.6
0.0015,3.919,6.132,10.051,38.71,5.49,6.82
0.0016,3.871,5.833,9.704,41.19,5.59,7.03
0.0017,3.821,5.564,9.385,43.7,5.69,7.25
0.0018,3.77,5.321,9.091,46.25,5.8,7.46
0.002,3.667,4.899,8.565999999999999,51.47,6.02,7.89
0.00225,3.54,4.463,8.003,58.22,6.31,8.43
0.0025,3.418,4.105,7.523000000000001,65.22,6.61,8.97
0.00275,3.302,3.804,7.106,72.49,6.9,9.53
0.003,3.194,3.547,6.741,80.01,7.2,10.09
0.00325,3.093,3.326,6.4190000000000005,87.8,7.51,10.67
0.0035,2.998,3.132,6.130000000000001,95.84,7.81,11.26
0.00375,2.91,2.962,5.872,104.14,8.13,11.86
0.004,2.828,2.81,5.638,112.69,8.45,12.47
0.0045,2.679,2.553,5.231999999999999,130.54,9.27,13.74
0.005,2.549,2.341,4.890000000000001,149.36,10.1,15.06
0.0055,2.435,2.165,4.6,169.12,10.95,16.43
0.006,2.333,2.014,4.3469999999999995,189.78,11.81,17.85
0.0065,2.243,1.885,4.128,211.33,12.69,19.32
0.007,2.162,1.772,3.934,233.72,13.57,20.83
0.008,2.023,1.586,3.609,280.92,16.08,23.97
0.009,1.908,1.437,3.3449999999999998,331.2,18.54,27.27
0.01,1.798,1.315,3.113,384.56,21.0,30.73
