Energy_MeV,Elec_Stop,Nuc_Stop,Total_Stop,Range_A,Straggling_Long_A,Straggling_Lat_A
0.025,6.544,6.048,12.591999999999999,1.13,1.38,1.04
0.0275,6.922,5.895,12.817,1.24,1.46,1.11
0.03,7.286,5.749,13.035,1.36,1.54,1.18
0.0325,7.638,5.611,13.248999999999999,1.47,1.62,1.25
0.035,7.979,5.48,13.459,1.58,1.7,1.31
0.0375,8.31,5.356,13.666,1.7,1.77,1.37
0.04,8.632,5.237,13.869,1.81,1.84,1.43
0.045,9.251,5.018,14.268999999999998,2.04,1.97,1.54
0.05,9.841,4.818,14.658999999999999,2.26,2.09,1.65
0.055,1.041,4.636,5.677,2.48,2.2,1.75
0.06,1.095,4.47,5.5649999999999995,2.7,2.31,1.85
0.065,1.147,4.317,5.464,2.92,2.41,1.94
0.07,1.198,4.176,5.3740000000000006,3.14,2.51,2.03
0.08,1.294,3.924,5.218,3.57,2.68,2.2
0.09,1.385,3.705,5.09,3.99,2.84,2.36
0.1,1.471,3.513,4.984,4.4,2.98,2.5
0.11,1.553,3.343,4.896,4.81,3.12,2.64
0.12,1.632,3.192,4.824,5.2,3.24,2.77
0.13,1.707,3.056,4.763,5.59,3.35,2.89
0.14,1.778,2.932,4.71,5.98,3.46,3.01
0.15,1.847,2.82,4.667,6.36,3.56,3.12
0.16,1.914,2.717,4.631,6.73,3.65,3.22
0.17,1.977,2.623,4.6000000000000005,7.09,3.74,3.32
0.18,2.039,2.536,4.575,7.45,3.82,3.42
0.2,2.156,2.381,4.537,8.16,3.97,3.6
0.225,2.291,2.215,4.506,9.02,4.14,3.8
0.25,2.415,2.074,4.489,9.84,4.29,3.99
0.275,2.53,1.952,4.481999999999999,10.65,4.42,4.17
0.3,2.636,1.845,4.481,11.44,4.54,4.33
0.325,2.733,1.751,4.484,12.21,4.65,4.49
0.35,2.824,1.667,4.491,12.96,4.76,4.63
0.375,2.908,1.592,4.5,13.7,4.85,4.77
0.4,2.985,1.524,4.509,14.42,4.94,4.9
0.45,3.122,1.406,4.528,15.84,5.1,5.14
0.5,3.239,1.307,4.545999999999999,17.22,5.24,5.36
0.55,3.338,1.223,4.561,18.57,5.37,5.56
0.6,3.421,1.15,4.571,19.9,5.49,5.75
0.65,3.49,1.086,4.5760000000000005,21.21,5.6,5.94
0.7,3.546,1.03,4.576,22.51,5.7,6.11
0.8,3.628,9.346,12.974,25.07,5.89,6.44
0.9,3.675,8.571,12.245999999999999,27.61,6.06,6.74
0.001,3.696,7.927,11.623,30.15,6.22,7.03
0.0011,3.697,7.382,11.079,32.7,6.37,7.31
0.0012,3.682,6.913,10.595,35.26,6.51,7.57
0.0013,3.655,6.506,10.161,37.85,6.65,7.84
0.0014,3.619,6.149,9.768,40.47,6.78,8.09
0.0015,3.577,5.832,9.408999999999999,43.12,6.9,8.35
0.0016,3.53,5.55,9.08,45.82,7.03,8.6
0.0017,3.48,5.296,8.776,48.56,7.15,8.85
0.0018,3.429,5.066,8.495,51.34,7.27,9.1
0.002,3.323,4.667,7.99,57.06,7.54,9.61
0.00225,3.192,4.255,7.447,64.48,7.88,10.25
0.0025,3.067,3.915,6.982,72.23,8.22,10.9
0.00275,2.951,3.63,6.5809999999999995,80.31,8.57,11.57
0.003,2.843,3.386,6.229,88.71,8.92,12.25
0.00325,2.745,3.176,5.921,97.43,9.28,12.95
0.0035,2.655,2.992,5.647,106.47,9.65,13.67
0.00375,2.573,2.83,5.4030000000000005,115.81,10.03,14.41
0.004,2.499,2.686,5.1850000000000005,125.45,10.41,15.17
0.0045,2.367,2.441,4.808,145.58,11.37,16.73
0.005,2.256,2.24,4.496,166.79,12.35,18.36
0.0055,2.162,2.072,4.234,189.0,13.35,20.06
0.006,2.079,1.928,4.007,212.17,14.36,21.81
0.0065,2.007,1.805,3.8120000000000003,236.22,15.39,23.61
0.007,1.943,1.698,3.641,261.11,16.43,25.45
0.008,1.835,1.519,3.354,313.24,19.23,29.26
0.009,1.736,1.377,3.113,368.44,21.99,33.24
0.01,1.641,1.261,2.902,426.87,24.75,37.37
