Energy_MeV,Elec_Stop,Nuc_Stop,Total_Stop,Range_A,Straggling_Long_A,Straggling_Lat_A
0.03,9.031,6.847,15.878,1.28,1.31,1.02
0.0325,9.495,6.661,16.156,1.38,1.38,1.07
0.035,9.946,6.486,16.432,1.49,1.43,1.12
0.0375,1.038,6.322,7.36,1.59,1.49,1.17
0.04,1.081,6.167,7.247999999999999,1.69,1.55,1.22
0.045,1.164,5.882,7.045999999999999,1.9,1.65,1.31
0.05,1.243,5.626,6.869000000000001,2.1,1.74,1.4
0.055,1.318,5.395,6.712999999999999,2.3,1.83,1.48
0.06,1.391,5.186,6.577,2.49,1.91,1.55
0.065,1.462,4.994,6.4559999999999995,2.69,1.98,1.63
0.07,1.53,4.819,6.349,2.88,2.05,1.7
0.08,1.66,4.508,6.168,3.25,2.18,1.83
0.09,1.782,4.241,6.023,3.61,2.29,1.94
0.1,1.898,4.009,5.907,3.96,2.39,2.05
0.11,2.008,3.805,5.813000000000001,4.31,2.49,2.16
0.12,2.113,3.623,5.736000000000001,4.64,2.57,2.25
0.13,2.212,3.461,5.673,4.97,2.65,2.34
0.14,2.307,3.315,5.622,5.29,2.72,2.42
0.15,2.397,3.182,5.579,5.61,2.79,2.5
0.16,2.483,3.061,5.5440000000000005,5.92,2.85,2.58
0.17,2.565,2.951,5.516,6.22,2.91,2.65
0.18,2.644,2.849,5.493,6.52,2.96,2.72
0.2,2.79,2.668,5.458,7.1,3.06,2.84
0.225,2.954,2.475,5.429,7.8,3.17,2.99
0.25,3.1,2.312,5.412,8.48,3.27,3.12
0.275,3.229,2.172,5.401,9.15,3.35,3.24
0.3,3.344,2.05,5.394,9.8,3.43,3.36
0.325,3.445,1.942,5.387,10.43,3.5,3.47
0.35,3.534,1.847,5.381,11.06,3.57,3.57
0.375,3.613,1.761,5.374,11.67,3.63,3.66
0.4,3.683,1.684,5.367,12.28,3.69,3.76
0.45,3.797,1.551,5.348,13.48,3.8,3.93
0.5,3.886,1.44,5.3260000000000005,14.65,3.9,4.09
0.55,3.954,1.345,5.299,15.82,3.98,4.24
0.6,4.005,1.263,5.268,16.98,4.07,4.39
0.65,4.043,1.191,5.234,18.13,4.14,4.52
0.7,4.07,1.128,5.198,19.28,4.22,4.66
0.8,4.101,1.022,5.123,21.57,4.36,4.91
0.9,4.108,9.362,13.469999999999999,23.87,4.49,5.15
0.001,4.099,8.647,12.746,26.19,4.61,5.38
0.0011,4.078,8.043,12.120999999999999,28.52,4.73,5.61
0.0012,4.05,7.526,11.576,30.87,4.84,5.83
0.0013,4.015,7.077,11.091999999999999,33.25,4.95,6.05
0.0014,3.976,6.683,10.658999999999999,35.66,5.05,6.26
0.0015,3.934,6.334,10.268,38.1,5.16,6.47
0.0016,3.891,6.023,9.914,40.57,5.26,6.68
0.0017,3.846,5.744,9.59,43.08,5.36,6.89
0.0018,3.8,5.492,9.292,45.61,5.46,7.1
0.002,3.707,5.054,8.761,50.79,5.68,7.51
0.00225,3.592,4.603,8.195,57.46,5.96,8.03
0.0025,3.481,4.232,7.713,64.36,6.24,8.55
0.00275,3.375,3.921,7.295999999999999,71.49,6.53,9.08
0.003,3.274,3.655,6.929,78.85,6.81,9.62
0.00325,3.178,3.426,6.604,86.45,7.1,10.17
0.0035,3.088,3.226,6.314,94.28,7.4,10.72
0.00375,3.003,3.05,6.053,102.34,7.69,11.29
0.004,2.923,2.893,5.816,110.63,7.99,11.86
0.0045,2.775,2.627,5.401999999999999,127.9,8.77,13.05
0.005,2.644,2.409,5.053,146.08,9.56,14.27
0.0055,2.526,2.227,4.753,165.15,10.36,15.54
0.006,2.419,2.072,4.491,185.1,11.17,16.85
0.0065,2.323,1.938,4.261,205.91,11.99,18.21
0.007,2.235,1.822,4.057,227.58,12.83,19.61
0.008,2.081,1.63,3.711,273.39,15.24,22.53
0.009,1.965,1.476,3.441,322.29,17.6,25.6
0.01,1.853,1.351,3.2039999999999997,374.13,19.95,28.82
