Energy_MeV,Elec_Stop,Nuc_Stop,Total_Stop,Range_A,Straggling_Long_A,Straggling_Lat_A
0.065,2.403,6.029,8.432,2.11,1.2,1.04
0.07,2.509,5.8,8.309,2.25,1.24,1.08
0.08,2.712,5.397,8.109,2.52,1.3,1.15
0.09,2.904,5.055,7.959,2.78,1.36,1.22
0.1,3.087,4.759,7.846,3.03,1.41,1.28
0.11,3.262,4.502,7.763999999999999,3.28,1.46,1.34
0.12,3.429,4.274,7.702999999999999,3.51,1.5,1.39
0.13,3.588,4.072,7.66,3.74,1.54,1.44
0.14,3.742,3.891,7.633,3.96,1.57,1.48
0.15,3.889,3.727,7.616,4.18,1.61,1.52
0.16,4.03,3.579,7.609,4.39,1.63,1.56
0.17,4.166,3.443,7.609,4.59,1.66,1.6
0.18,4.297,3.319,7.616,4.79,1.69,1.64
0.2,4.543,3.099,7.642,5.18,1.73,1.7
0.225,4.824,2.867,7.691,5.65,1.78,1.78
0.25,5.077,2.67,7.747,6.1,1.83,1.84
0.275,5.303,2.503,7.806,6.53,1.86,1.91
0.3,5.505,2.357,7.862,6.95,1.9,1.96
0.325,5.682,2.229,7.9110000000000005,7.36,1.93,2.01
0.35,5.838,2.116,7.954000000000001,7.76,1.96,2.06
0.375,5.971,2.015,7.986000000000001,8.15,1.98,2.11
0.4,6.085,1.925,8.01,8.53,2.01,2.15
0.45,6.257,1.768,8.025,9.29,2.05,2.23
0.5,6.366,1.638,8.004,10.04,2.09,2.31
0.55,6.421,1.527,7.948,10.78,2.13,2.38
0.6,6.434,1.432,7.866,11.52,2.17,2.44
0.65,6.414,1.349,7.763,12.27,2.2,2.51
0.7,6.369,1.276,7.645,13.02,2.23,2.57
0.8,6.232,1.154,7.386,14.55,2.3,2.69
0.9,6.065,1.055,7.12,16.12,2.36,2.81
0.001,5.892,9.728,15.620000000000001,17.74,2.42,2.93
0.0011,5.726,9.037,14.763000000000002,19.42,2.48,3.05
0.0012,5.572,8.446,14.018,21.14,2.54,3.17
0.0013,5.432,7.933,13.365,22.92,2.6,3.29
0.0014,5.305,7.485,12.79,24.74,2.66,3.41
0.0015,5.19,7.088,12.278,26.6,2.72,3.54
0.0016,5.085,6.736,11.821,28.51,2.79,3.66
0.0017,4.989,6.419,11.408,30.46,2.85,3.79
0.0018,4.9,6.133,11.033000000000001,32.44,2.91,3.91
0.002,4.738,5.638,10.376000000000001,36.52,3.06,4.17
0.00225,4.558,5.128,9.686,41.81,3.27,4.51
0.0025,4.395,4.709,9.104,47.31,3.48,4.85
0.00275,4.244,4.359,8.603,53.01,3.7,5.2
0.003,4.104,4.06,8.164,58.92,3.91,5.55
0.00325,3.972,3.803,7.775,65.04,4.13,5.92
0.0035,3.848,3.579,7.427,71.35,4.35,6.29
0.00375,3.732,3.381,7.1129999999999995,77.87,4.57,6.67
0.004,3.623,3.206,6.829000000000001,84.59,4.8,7.06
0.0045,3.422,2.908,6.33,98.64,5.45,7.87
0.005,3.243,2.664,5.907,113.5,6.09,8.71
0.0055,3.082,2.461,5.542999999999999,129.16,6.74,9.59
0.006,2.938,2.288,5.226,145.62,7.39,10.5
0.0065,2.807,2.139,4.946,162.88,8.06,11.45
0.007,2.687,2.01,4.696999999999999,180.93,8.73,12.44
0.008,2.479,1.796,4.275,219.36,10.8,14.51
0.009,2.299,1.626,3.925,260.92,12.82,16.73
0.01,2.139,1.487,3.626,305.67,14.84,19.09
