Energy_MeV,Elec_Stop,Nuc_Stop,Total_Stop,Range_A,Straggling_Long_A,Straggling_Lat_A
0.055,2.027,7.156,9.183,1.92,1.22,1.03
0.06,2.146,6.844,8.99,2.07,1.26,1.08
0.065,2.261,6.562,8.823,2.22,1.31,1.12
0.07,2.373,6.306,8.679,2.37,1.34,1.16
0.08,2.588,5.859,8.447,2.65,1.41,1.24
0.09,2.789,5.48,8.269,2.91,1.47,1.31
0.1,2.977,5.154,8.131,3.17,1.53,1.38
0.11,3.152,4.869,8.021,3.42,1.58,1.43
0.12,3.315,4.619,7.933999999999999,3.66,1.62,1.49
0.13,3.466,4.397,7.863,3.9,1.66,1.54
0.14,3.606,4.198,7.804,4.13,1.69,1.58
0.15,3.737,4.019,7.756,4.35,1.72,1.63
0.16,3.859,3.857,7.716,4.57,1.75,1.67
0.17,3.973,3.709,7.682,4.78,1.78,1.71
0.18,4.079,3.573,7.651999999999999,4.99,1.81,1.75
0.2,4.275,3.333,7.6080000000000005,5.4,1.86,1.81
0.225,4.491,3.08,7.571,5.9,1.91,1.89
0.25,4.684,2.867,7.551,6.38,1.96,1.96
0.275,4.859,2.685,7.5440000000000005,6.85,2.0,2.03
0.3,5.017,2.527,7.5440000000000005,7.31,2.03,2.09
0.325,5.161,2.389,7.549999999999999,7.76,2.07,2.15
0.35,5.291,2.267,7.558,8.2,2.1,2.2
0.375,5.41,2.158,7.568,8.63,2.13,2.25
0.4,5.518,2.06,7.577999999999999,9.05,2.16,2.3
0.45,5.702,1.891,7.593,9.88,2.21,2.39
0.5,5.85,1.751,7.600999999999999,10.7,2.25,2.48
0.55,5.964,1.631,7.595000000000001,11.5,2.29,2.55
0.6,6.051,1.529,7.58,12.29,2.33,2.63
0.65,6.114,1.44,7.554,13.08,2.37,2.7
0.7,6.157,1.362,7.519,13.86,2.4,2.76
0.8,6.193,1.23,7.423,15.41,2.46,2.89
0.9,6.181,1.124,7.305,16.98,2.53,3.01
0.001,6.135,1.036,7.170999999999999,18.55,2.58,3.12
0.0011,6.065,9.62,15.684999999999999,20.14,2.64,3.23
0.0012,5.981,8.988,14.969,21.76,2.69,3.34
0.0013,5.887,8.44,14.326999999999998,23.41,2.75,3.45
0.0014,5.787,7.96,13.747,25.08,2.8,3.56
0.0015,5.683,7.537,13.219999999999999,26.79,2.85,3.67
0.0016,5.579,7.16,12.739,28.53,2.9,3.77
0.0017,5.475,6.822,12.297,30.31,2.95,3.88
0.0018,5.372,6.517,11.889,32.12,3.0,3.99
0.002,5.173,5.988,11.161000000000001,35.85,3.13,4.21
0.00225,4.939,5.445,10.384,40.72,3.3,4.49
0.0025,4.722,4.999,9.721,45.82,3.48,4.78
0.00275,4.524,4.625,9.149000000000001,51.16,3.66,5.08
0.003,4.341,4.307,8.648,56.73,3.85,5.38
0.00325,4.174,4.033,8.207,62.53,4.04,5.7
0.0035,4.021,3.795,7.816,68.56,4.24,6.03
0.00375,3.88,3.585,7.465,74.82,4.44,6.37
0.004,3.749,3.398,7.147,81.31,4.65,6.72
0.0045,3.516,3.082,6.598,94.94,5.25,7.45
0.005,3.315,2.822,6.1370000000000005,109.45,5.86,8.23
0.0055,3.138,2.606,5.744,124.82,6.49,9.04
0.006,2.983,2.423,5.406000000000001,141.02,7.12,9.9
0.0065,2.845,2.265,5.11,158.04,7.76,10.79
0.007,2.721,2.128,4.849,175.87,8.41,11.72
0.008,2.508,1.901,4.409,213.86,10.46,13.69
0.009,2.356,1.72,4.076,254.7,12.43,15.79
0.01,2.211,1.572,3.783,298.2,14.36,18.01
