Energy_MeV,Elec_Stop,Nuc_Stop,Total_Stop,Range_A,Straggling_Long_A,Straggling_Lat_A
0.0275,7.751,6.137,13.888,1.2,1.34,1.03
0.03,8.154,5.981,14.135,1.31,1.41,1.09
0.0325,8.544,5.833,14.377,1.42,1.48,1.15
0.035,8.922,5.693,14.615,1.53,1.55,1.2
0.0375,9.288,5.561,14.849,1.64,1.62,1.26
0.04,9.645,5.435,15.079999999999998,1.74,1.68,1.31
0.045,1.033,5.202,6.234999999999999,1.96,1.79,1.42
0.05,1.098,4.991,6.0889999999999995,2.17,1.9,1.51
0.055,1.16,4.799,5.9590000000000005,2.38,2.0,1.61
0.06,1.22,4.623,5.843,2.59,2.1,1.69
0.065,1.277,4.462,5.739,2.8,2.19,1.78
0.07,1.331,4.314,5.645,3.0,2.27,1.86
0.08,1.433,4.05,5.483,3.41,2.43,2.01
0.09,1.528,3.821,5.349,3.8,2.57,2.15
0.1,1.615,3.621,5.236,4.19,2.7,2.29
0.11,1.695,3.443,5.138,4.58,2.82,2.41
0.12,1.77,3.286,5.056,4.96,2.93,2.53
0.13,1.84,3.144,4.984,5.33,3.03,2.64
0.14,1.905,3.015,4.92,5.7,3.12,2.75
0.15,1.966,2.899,4.865,6.06,3.21,2.85
0.16,2.024,2.792,4.816,6.42,3.3,2.95
0.17,2.078,2.695,4.773,6.77,3.38,3.04
0.18,2.13,2.604,4.734,7.13,3.46,3.13
0.2,2.227,2.444,4.670999999999999,7.82,3.6,3.3
0.225,2.336,2.272,4.608,8.67,3.76,3.5
0.25,2.436,2.126,4.561999999999999,9.5,3.9,3.69
0.275,2.528,2.0,4.5280000000000005,10.31,4.03,3.86
0.3,2.612,1.89,4.502,11.11,4.15,4.03
0.325,2.691,1.793,4.484,11.89,4.26,4.18
0.35,2.763,1.707,4.47,12.67,4.37,4.33
0.375,2.83,1.629,4.459,13.43,4.47,4.47
0.4,2.892,1.559,4.451,14.18,4.56,4.61
0.45,3.002,1.438,4.4399999999999995,15.65,4.72,4.86
0.5,3.097,1.337,4.434,17.1,4.88,5.1
0.55,3.177,1.25,4.427,18.52,5.02,5.32
0.6,3.245,1.175,4.42,19.92,5.14,5.52
0.65,3.303,1.11,4.413,21.31,5.26,5.72
0.7,3.351,1.052,4.4030000000000005,22.68,5.37,5.91
0.8,3.424,9.541,12.965,25.4,5.58,6.27
0.9,3.471,8.747,12.218,28.09,5.77,6.6
0.001,3.498,8.087,11.585,30.78,5.95,6.92
0.0011,3.51,7.529,11.039,33.46,6.11,7.22
0.0012,3.51,7.05,10.559999999999999,36.15,6.27,7.51
0.0013,3.501,6.634,10.135,38.86,6.42,7.8
0.0014,3.485,6.268,9.753,41.59,6.56,8.08
0.0015,3.463,5.945,9.408000000000001,44.34,6.7,8.35
0.0016,3.437,5.656,9.093,47.11,6.84,8.62
0.0017,3.408,5.396,8.804,49.92,6.97,8.88
0.0018,3.376,5.162,8.538,52.75,7.1,9.15
0.002,3.308,4.753,8.061,58.52,7.37,9.67
0.00225,3.218,4.333,7.551,65.94,7.72,10.32
0.0025,3.126,3.986,7.112,73.58,8.07,10.97
0.00275,3.036,3.695,6.731,81.47,8.41,11.62
0.003,2.949,3.447,6.396,89.6,8.76,12.28
0.00325,2.866,3.232,6.098000000000001,97.99,9.1,12.95
0.0035,2.786,3.045,5.8309999999999995,106.63,9.45,13.63
0.00375,2.71,2.88,5.59,115.53,9.81,14.32
0.004,2.638,2.733,5.371,124.68,10.16,15.02
0.0045,2.505,2.483,4.9879999999999995,143.74,11.05,16.45
0.005,2.385,2.278,4.663,163.81,11.95,17.94
0.0055,2.277,2.107,4.384,184.88,12.87,19.49
0.006,2.179,1.961,4.14,206.95,13.8,21.08
0.0065,2.091,1.835,3.926,229.98,14.76,22.74
0.007,2.01,1.726,3.7359999999999998,253.99,15.73,24.44
0.008,1.869,1.544,3.4130000000000003,304.82,18.43,28.02
0.009,1.771,1.4,3.171,359.02,21.12,31.78
0.01,1.676,1.281,2.957,416.29,23.79,35.7
