Energy_MeV,Elec_Stop,Nuc_Stop,Total_Stop,Range_A,Straggling_Long_A,Straggling_Lat_A
0.00225,9.355,8.438,17.793,20.74,1.08,1.32
0.0025,8.85,7.722,16.572,23.48,1.16,1.4
0.00275,8.401,7.124,15.524999999999999,26.36,1.25,1.47
0.003,7.998,6.618,14.616,29.4,1.34,1.55
0.00325,7.637,6.183,13.82,32.59,1.44,1.64
0.0035,7.31,5.805,13.114999999999998,35.93,1.53,1.73
0.00375,7.014,5.474,12.488,39.41,1.63,1.82
0.004,6.744,5.18,11.924,43.03,1.73,1.92
0.0045,6.27,4.683,10.953,50.7,2.09,2.13
0.005,5.867,4.279,10.146,58.92,2.43,2.35
0.0055,5.52,3.942,9.462,67.68,2.77,2.59
0.006,5.217,3.657,8.873999999999999,76.98,3.11,2.85
0.0065,4.952,3.413,8.365,86.79,3.46,3.12
0.007,4.716,3.201,7.917,97.11,3.8,3.4
0.008,4.316,2.851,7.167,119.23,5.01,4.01
0.009,3.991,2.573,6.564,143.27,6.14,4.67
0.01,3.689,2.348,6.037,169.28,7.25,5.38
