Energy_MeV,Elec_Stop,Nuc_Stop,Total_Stop
0.001,10.15,19.01,29.17
0.0015,13.69,19.88,33.57
0.002,16.93,20.22,37.15
0.0025,19.96,20.3,40.26
0.003,22.84,20.25,43.08
0.004,28.23,19.93,48.16
0.005,33.29,19.49,52.77
0.006,38.08,19.01,57.09
0.007,42.66,18.53,61.19
0.008,47.08,18.06,65.14
0.009,51.35,17.61,68.96
0.01,55.5,17.18,72.68
0.0125,65.43,16.19,81.62
0.015,74.84,15.33,90.17
0.0175,83.85,14.57,98.41
0.02,92.52,13.89,106.4
0.0225,100.9,13.28,114.2
0.025,109.1,12.74,121.8
0.0275,117.0,12.24,129.2
0.03,124.7,11.79,136.5
0.035,139.7,11.0,150.7
0.04,154.1,10.32,164.4
0.045,168.0,9.736,177.7
0.05,181.5,9.223,190.7
0.055,194.6,8.77,203.4
0.06,207.4,8.366,215.8
0.065,219.9,8.003,227.9
0.07,232.1,7.674,239.7
0.075,244.0,7.375,251.4
0.08,255.7,7.102,262.8
0.085,267.2,6.851,274.0
0.09,278.4,6.62,285.0
0.095,289.5,6.406,295.9
0.1,300.3,6.207,306.5
0.125,351.9,5.391,357.3
0.15,399.6,4.785,404.3
0.175,443.7,4.314,448.0
0.2,484.4,3.936,488.4
0.225,522.1,3.626,525.7
0.25,556.7,3.365,560.1
0.275,588.4,3.143,591.5
0.3,617.2,2.951,620.1
0.35,666.6,2.636,669.2
0.4,705.7,2.387,708.1
0.45,735.5,2.185,737.7
0.5,757.0,2.017,759.0
0.55,771.4,1.875,773.3
0.6,779.9,1.754,781.6
0.65,783.4,1.648,785.0
0.7,783.0,1.556,784.5
0.75,779.4,1.474,780.9
0.8,773.6,1.401,775.0
0.85,765.9,1.336,767.2
0.9,757.0,1.277,758.3
0.95,747.2,1.223,748.4
1.0,736.9,1.174,738.1
1.25,683.7,0.9817,684.6
1.5,635.6,0.8468,636.5
1.75,595.2,0.7467,596.0
2.0,561.5,0.6691,562.2
2.25,533.0,0.607,533.6
2.5,508.6,0.5562,509.2
2.75,487.3,0.5138,487.8
3.0,468.5,0.4778,468.9
3.5,439.9,0.4199,440.3
4.0,417.9,0.3752,418.2
4.5,398.8,0.3396,399.2
5.0,381.4,0.3106,381.7
5.5,364.9,0.2864,365.2
6.0,349.2,0.2659,349.5
6.5,334.2,0.2483,334.4
7.0,319.8,0.233,320.1
7.5,306.2,0.2196,306.4
8.0,293.7,0.2078,293.9
8.5,282.8,0.1972,283.0
9.0,272.8,0.1877,273.0
9.5,263.6,0.1792,263.8
10.0,255.2,0.1714,255.3
12.5,221.2,0.1413,221.3
15.0,195.8,0.1205,195.9
17.5,176.6,0.1053,176.7
20.0,161.2,0.09371,161.3
25.0,138.1,0.07702,138.2
27.5,129.2,0.07081,129.3
30.0,121.5,0.06557,121.6
35.0,108.9,0.0572,108.9
40.0,98.91,0.05081,98.96
45.0,90.81,0.04575,90.86
50.0,84.09,0.04165,84.13
55.0,78.4,0.03825,78.44
60.0,73.53,0.03539,73.56
65.0,69.29,0.03294,69.32
70.0,65.57,0.03081,65.6
75.0,62.28,0.02896,62.31
80.0,59.34,0.02732,59.37
85.0,56.71,0.02587,56.73
90.0,54.32,0.02457,54.35
95.0,52.16,0.0234,52.18
100.0,50.18,0.02234,50.21
125.0,42.41,0.01825,42.43
150.0,36.95,0.01545,36.97
175.0,32.9,0.01342,32.91
200.0,29.76,0.01187,29.77
225.0,27.25,0.01065,27.26
250.0,25.2,0.009664,25.21
275.0,23.49,0.008848,23.49
300.0,22.03,0.008161,22.04
350.0,19.7,0.007067,19.71
400.0,17.9,0.006236,17.91
450.0,16.48,0.005583,16.49
500.0,15.32,0.005057,15.33
550.0,14.36,0.004622,14.36
600.0,13.55,0.004257,13.55
650.0,12.85,0.003945,12.86
700.0,12.25,0.003675,12.26
750.0,11.73,0.00344,11.73
800.0,11.27,0.003234,11.27
850.0,10.86,0.003051,10.86
900.0,10.49,0.002887,10.5
950.0,10.16,0.002741,10.17
1000.0,9.868,0.002609,9.87
