Energy_MeV,Elec_Stop,Nuc_Stop,Total_Stop,Range_A,Straggling_Long_A,Straggling_Lat_A
0.06,2.146,8.111,10.257000000000001,2.14,1.16,1.02
0.065,2.262,7.747,10.009,2.3,1.2,1.06
0.07,2.376,7.42,9.796,2.45,1.23,1.1
0.08,2.6,6.852,9.452,2.74,1.3,1.18
0.09,2.818,6.376,9.194,3.01,1.36,1.25
0.1,3.032,5.971,9.003,3.28,1.4,1.31
0.11,3.24,5.621,8.861,3.53,1.45,1.37
0.12,3.443,5.315,8.758000000000001,3.77,1.48,1.42
0.13,3.641,5.044,8.684999999999999,4.0,1.52,1.46
0.14,3.834,4.803,8.637,4.23,1.55,1.5
0.15,4.021,4.587,8.608,4.44,1.58,1.54
0.16,4.203,4.393,8.596,4.65,1.6,1.58
0.17,4.38,4.216,8.596,4.85,1.62,1.61
0.18,4.551,4.054,8.605,5.04,1.64,1.64
0.2,4.875,3.77,8.645,5.42,1.68,1.7
0.225,5.25,3.472,8.722,5.86,1.72,1.76
0.25,5.589,3.222,8.811,6.28,1.75,1.81
0.275,5.893,3.01,8.902999999999999,6.68,1.78,1.86
0.3,6.165,2.826,8.991,7.06,1.8,1.9
0.325,6.406,2.666,9.072,7.43,1.83,1.94
0.35,6.618,2.525,9.143,7.79,1.84,1.98
0.375,6.802,2.4,9.202,8.14,1.86,2.01
0.4,6.962,2.288,9.25,8.48,1.88,2.05
0.45,7.217,2.095,9.312,9.15,1.91,2.1
0.5,7.396,1.935,9.331,9.8,1.94,2.16
0.55,7.516,1.8,9.316,10.45,1.96,2.2
0.6,7.587,1.684,9.270999999999999,11.09,1.98,2.25
0.65,7.621,1.583,9.204,11.72,2.0,2.29
0.7,7.625,1.495,9.120000000000001,12.36,2.02,2.33
0.8,7.57,1.348,8.918000000000001,13.64,2.06,2.41
0.9,7.459,1.229,8.687999999999999,14.94,2.1,2.49
0.001,7.317,1.131,8.448,16.26,2.14,2.56
0.0011,7.159,1.049,8.208,17.62,2.17,2.63
0.0012,6.995,9.783,16.778,19.0,2.2,2.7
0.0013,6.831,9.176,16.007,20.43,2.24,2.77
0.0014,6.668,8.646,15.314,21.88,2.27,2.84
0.0015,6.511,8.178,14.689,23.38,2.31,2.91
0.0016,6.359,7.763,14.122,24.91,2.34,2.98
0.0017,6.213,7.39,13.603,26.48,2.38,3.06
0.0018,6.075,7.055,13.129999999999999,28.09,2.41,3.13
0.002,5.816,6.474,12.29,31.41,2.51,3.28
0.00225,5.526,5.878,11.404,35.78,2.65,3.48
0.0025,5.27,5.39,10.66,40.36,2.79,3.68
0.00275,5.041,4.982,10.023,45.17,2.93,3.9
0.003,4.837,4.635,9.472,50.19,3.09,4.12
0.00325,4.654,4.337,8.991,55.41,3.24,4.35
0.0035,4.488,4.077,8.565000000000001,60.84,3.4,4.59
0.00375,4.337,3.848,8.184999999999999,66.46,3.56,4.84
0.004,4.199,3.646,7.845,72.27,3.73,5.09
0.0045,3.957,3.303,7.26,84.45,4.25,5.63
0.005,3.749,3.022,6.771,97.35,4.77,6.19
0.0055,3.569,2.788,6.356999999999999,110.93,5.29,6.78
0.006,3.411,2.59,6.0009999999999994,125.17,5.81,7.4
0.0065,3.272,2.42,5.692,140.05,6.34,8.04
0.007,3.147,2.272,5.419,155.54,6.86,8.71
0.008,2.933,2.027,4.96,188.29,8.57,10.1
0.009,2.743,1.833,4.576,223.37,10.19,11.57
0.01,2.563,1.674,4.237,260.91,11.79,13.13
