Energy_MeV,Elec_Stop,Nuc_Stop,Total_Stop,Range_A,Straggling_Long_A,Straggling_Lat_A
0.1,3.885,4.437,8.322,2.59,1.12,1.02
0.11,4.079,4.201,8.28,2.8,1.15,1.07
0.12,4.261,3.992,8.253,2.99,1.19,1.11
0.13,4.431,3.806,8.237,3.18,1.21,1.14
0.14,4.59,3.639,8.229,3.37,1.24,1.18
0.15,4.739,3.489,8.228,3.55,1.26,1.21
0.16,4.879,3.352,8.231,3.73,1.29,1.24
0.17,5.01,3.226,8.236,3.9,1.31,1.27
0.18,5.134,3.111,8.245000000000001,4.07,1.33,1.3
0.2,5.359,2.908,8.267,4.41,1.36,1.35
0.225,5.604,2.692,8.296,4.81,1.4,1.41
0.25,5.813,2.51,8.323,5.21,1.44,1.47
0.275,5.991,2.354,8.344999999999999,5.59,1.47,1.52
0.3,6.143,2.218,8.361,5.97,1.5,1.57
0.325,6.272,2.099,8.371,6.34,1.52,1.61
0.35,6.381,1.994,8.375,6.71,1.55,1.65
0.375,6.472,1.9,8.372,7.07,1.57,1.69
0.4,6.547,1.815,8.362,7.43,1.59,1.73
0.45,6.657,1.669,8.326,8.15,1.63,1.81
0.5,6.726,1.546,8.272,8.86,1.67,1.88
0.55,6.76,1.443,8.203,9.56,1.71,1.94
0.6,6.769,1.353,8.122,10.27,1.74,2.01
0.65,6.758,1.276,8.034,10.98,1.77,2.07
0.7,6.732,1.207,7.939,11.69,1.8,2.13
0.8,6.645,1.092,7.737,13.14,1.87,2.24
0.9,6.529,9.988,16.517,14.61,1.93,2.36
0.001,6.397,9.215,15.612,16.11,1.99,2.47
0.0011,6.257,8.564,14.821,17.65,2.05,2.58
0.0012,6.114,8.006,14.120000000000001,19.23,2.1,2.69
0.0013,5.971,7.523,13.494,20.85,2.16,2.8
0.0014,5.831,7.099,12.93,22.51,2.22,2.91
0.0015,5.695,6.725,12.42,24.21,2.28,3.03
0.0016,5.564,6.392,11.956,25.95,2.34,3.14
0.0017,5.437,6.093,11.530000000000001,27.73,2.39,3.26
0.0018,5.315,5.823,11.138000000000002,29.56,2.45,3.38
0.002,5.087,5.354,10.440999999999999,33.34,2.6,3.62
0.00225,4.828,4.872,9.7,38.31,2.81,3.93
0.0025,4.597,4.476,9.073,43.54,3.02,4.25
0.00275,4.389,4.144,8.533000000000001,49.03,3.24,4.59
0.003,4.201,3.861,8.062,54.78,3.46,4.94
0.00325,4.032,3.617,7.649,60.78,3.68,5.3
0.0035,3.878,3.404,7.282,67.02,3.91,5.68
0.00375,3.738,3.217,6.955,73.51,4.15,6.07
0.004,3.609,3.051,6.66,80.24,4.39,6.47
0.0045,3.382,2.768,6.15,94.41,5.08,7.3
0.005,3.187,2.537,5.724,109.48,5.78,8.18
0.0055,3.017,2.343,5.359999999999999,125.45,6.47,9.11
0.006,2.869,2.179,5.048,142.29,7.17,10.07
0.0065,2.738,2.038,4.776,159.96,7.88,11.08
0.007,2.621,1.915,4.536,178.46,8.6,12.13
0.008,2.42,1.712,4.132,217.84,10.79,14.34
0.009,2.278,1.55,3.8280000000000003,260.07,12.89,16.69
0.01,2.141,1.417,3.558,305.0,14.94,19.15
