Energy_MeV,Elec_Stop,Nuc_Stop,Total_Stop,Range_A,Straggling_Long_A,Straggling_Lat_A
0.03,9.36,6.536,15.895999999999999,1.26,1.29,1.0
0.0325,9.877,6.366,16.243000000000002,1.36,1.35,1.05
0.035,1.039,6.205,7.244,1.46,1.41,1.1
0.0375,1.088,6.053,7.141,1.56,1.46,1.15
0.04,1.137,5.909,7.045999999999999,1.66,1.52,1.2
0.045,1.233,5.644,6.877000000000001,1.86,1.61,1.28
0.05,1.326,5.405,6.731,2.05,1.7,1.36
0.055,1.416,5.189,6.605,2.23,1.78,1.44
0.06,1.503,4.992,6.495,2.42,1.85,1.51
0.065,1.588,4.812,6.4,2.6,1.92,1.58
0.07,1.67,4.647,6.317,2.77,1.99,1.64
0.08,1.828,4.354,6.182,3.12,2.1,1.75
0.09,1.978,4.101,6.079,3.45,2.2,1.86
0.1,2.12,3.88,6.0,3.77,2.29,1.96
0.11,2.255,3.686,5.941,4.08,2.37,2.05
0.12,2.383,3.513,5.896,4.39,2.44,2.13
0.13,2.504,3.358,5.862,4.68,2.51,2.2
0.14,2.619,3.218,5.837,4.97,2.57,2.28
0.15,2.729,3.091,5.82,5.25,2.63,2.34
0.16,2.833,2.975,5.808,5.52,2.68,2.41
0.17,2.932,2.869,5.801,5.79,2.73,2.47
0.18,3.026,2.771,5.797,6.05,2.77,2.52
0.2,3.199,2.597,5.795999999999999,6.57,2.85,2.63
0.225,3.392,2.412,5.804,7.19,2.94,2.75
0.25,3.561,2.254,5.8149999999999995,7.79,3.02,2.86
0.275,3.709,2.119,5.828,8.37,3.09,2.96
0.3,3.838,2.001,5.839,8.94,3.16,3.06
0.325,3.951,1.897,5.848,9.5,3.22,3.15
0.35,4.048,1.804,5.852,10.05,3.27,3.23
0.375,4.133,1.722,5.855,10.59,3.32,3.31
0.4,4.206,1.647,5.853000000000001,11.13,3.37,3.39
0.45,4.322,1.518,5.84,12.19,3.46,3.53
0.5,4.405,1.409,5.814,13.23,3.54,3.67
0.55,4.462,1.317,5.779,14.27,3.61,3.79
0.6,4.498,1.237,5.735,15.3,3.68,3.91
0.65,4.517,1.168,5.6850000000000005,16.33,3.74,4.03
0.7,4.523,1.106,5.629,17.37,3.8,4.14
0.8,4.507,1.003,5.51,19.46,3.92,4.36
0.9,4.464,9.188,13.652000000000001,21.57,4.04,4.57
0.001,4.404,8.49,12.894,23.72,4.15,4.78
0.0011,4.334,7.9,12.234,25.91,4.25,4.98
0.0012,4.259,7.394,11.653,28.14,4.35,5.19
0.0013,4.181,6.954,11.135,30.42,4.45,5.39
0.0014,4.102,6.569,10.671,32.75,4.55,5.59
0.0015,4.024,6.228,10.251999999999999,35.13,4.65,5.79
0.0016,3.947,5.923,9.870000000000001,37.55,4.75,6.0
0.0017,3.872,5.65,9.522,40.03,4.85,6.2
0.0018,3.799,5.403,9.202,42.56,4.95,6.41
0.002,3.66,4.974,8.634,47.78,5.18,6.83
0.00225,3.501,4.531,8.032,54.58,5.48,7.37
0.0025,3.356,4.167,7.523,61.7,5.79,7.93
0.00275,3.225,3.861,7.086,69.13,6.1,8.5
0.003,3.106,3.601,6.707,76.86,6.42,9.1
0.00325,2.998,3.376,6.3740000000000006,84.89,6.75,9.7
0.0035,2.9,3.179,6.079,93.2,7.09,10.33
0.00375,2.811,3.006,5.817,101.79,7.43,10.97
0.004,2.728,2.852,5.58,110.65,7.78,11.62
0.0045,2.584,2.591,5.175000000000001,129.16,8.69,12.98
0.005,2.461,2.376,4.837,148.67,9.6,14.39
0.0055,2.355,2.196,4.551,169.11,10.52,15.85
0.006,2.264,2.044,4.308,190.44,11.45,17.36
0.0065,2.184,1.913,4.097,212.61,12.39,18.91
0.007,2.114,1.798,3.912,235.55,13.33,20.5
0.008,1.998,1.609,3.607,283.56,15.94,23.78
0.009,1.888,1.457,3.3449999999999998,334.41,18.47,27.18
0.01,1.782,1.334,3.116,388.29,20.99,30.73
