Energy_MeV,Elec_Stop,Nuc_Stop,Total_Stop,Range_A,Straggling_Long_A,Straggling_Lat_A
0.003,8.852,7.318,16.17,26.5,1.02,1.02
0.00325,8.454,6.831,15.285,29.38,1.11,1.08
0.0035,8.089,6.409,14.498000000000001,32.39,1.2,1.15
0.00375,7.756,6.039,13.795,35.54,1.3,1.22
0.004,7.449,5.712,13.161,38.83,1.39,1.29
0.0045,6.906,5.158,12.064,45.78,1.73,1.45
0.005,6.441,4.708,11.149000000000001,53.27,2.05,1.61
0.0055,6.037,4.333,10.370000000000001,61.27,2.37,1.79
0.006,5.684,4.017,9.701,69.79,2.69,1.98
0.0065,5.372,3.746,9.118,78.83,3.01,2.17
0.007,5.095,3.512,8.607,88.37,3.33,2.38
0.008,4.624,3.124,7.747999999999999,108.94,4.47,2.83
0.009,4.287,2.818,7.105,131.37,5.54,3.32
0.01,3.969,2.568,6.537,155.58,6.57,3.84
