Energy_MeV,Elec_Stop,Nuc_Stop,Total_Stop
0.001,58.22,16.2,74.43
0.0015,68.98,17.11,86.08
0.002,77.79,17.53,95.32
0.0025,85.4,17.71,103.1
0.003,92.16,17.75,109.9
0.004,103.9,17.62,121.6
0.005,114.1,17.35,131.4
0.006,123.1,17.02,140.1
0.007,131.3,16.67,148.0
0.008,138.8,16.31,155.2
0.009,145.8,15.96,161.8
0.01,152.4,15.62,168.0
0.0125,167.3,14.83,182.1
0.015,180.5,14.12,194.6
0.0175,192.5,13.48,206.0
0.02,203.5,12.9,216.4
0.0225,213.8,12.39,226.2
0.025,223.4,11.91,235.3
0.0275,232.4,11.48,243.9
0.03,241.0,11.09,252.1
0.035,256.9,10.39,267.3
0.04,271.6,9.789,281.3
0.045,285.1,9.264,294.4
0.05,297.8,8.801,306.6
0.055,309.8,8.39,318.2
0.06,321.1,8.021,329.1
0.065,331.8,7.689,339.5
0.07,342.1,7.387,349.5
0.075,351.9,7.111,359.0
0.08,361.3,6.858,368.1
0.085,370.3,6.626,376.9
0.09,379.0,6.41,385.4
0.095,387.4,6.211,393.6
0.1,395.5,6.025,401.5
0.125,432.4,5.258,437.7
0.15,464.5,4.683,469.2
0.175,492.9,4.234,497.1
0.2,518.2,3.872,522.1
0.225,541.0,3.573,544.6
0.25,561.6,3.322,565.0
0.275,580.4,3.107,583.5
0.3,597.4,2.921,600.3
0.35,626.9,2.614,629.5
0.4,651.2,2.371,653.6
0.45,671.2,2.173,673.3
0.5,687.3,2.009,689.3
0.55,700.1,1.869,702.0
0.6,710.0,1.75,711.7
0.65,717.3,1.646,718.9
0.7,722.3,1.555,723.9
0.75,725.4,1.474,726.8
0.8,726.7,1.402,728.1
0.85,726.5,1.337,727.8
0.9,725.0,1.279,726.3
0.95,722.3,1.225,723.6
1.0,718.8,1.177,719.9
1.25,690.9,0.9856,691.9
1.5,655.0,0.8512,655.8
1.75,617.8,0.7513,618.6
2.0,582.6,0.6737,583.3
2.25,552.1,0.6117,552.8
2.5,525.7,0.5608,526.2
2.75,502.3,0.5183,502.8
3.0,481.5,0.4822,481.9
3.5,445.5,0.424,446.0
4.0,415.5,0.3792,415.9
4.5,389.9,0.3434,390.2
5.0,367.7,0.3142,368.0
5.5,348.1,0.2898,348.4
6.0,330.6,0.2692,330.9
6.5,314.8,0.2515,315.1
7.0,300.9,0.2361,301.2
7.5,288.6,0.2225,288.8
8.0,277.3,0.2106,277.5
8.5,266.9,0.1999,267.1
9.0,257.6,0.1904,257.8
9.5,249.0,0.1817,249.1
10.0,241.2,0.1739,241.3
12.5,209.6,0.1434,209.7
15.0,186.5,0.1224,186.6
17.5,168.7,0.107,168.8
20.0,154.3,0.09526,154.4
25.0,132.7,0.07834,132.7
27.5,124.3,0.07205,124.3
30.0,117.0,0.06673,117.1
35.0,105.1,0.05824,105.1
40.0,95.62,0.05175,95.67
45.0,87.92,0.04662,87.97
50.0,81.52,0.04245,81.57
55.0,76.11,0.03899,76.15
60.0,71.45,0.03608,71.49
65.0,67.4,0.03359,67.44
70.0,63.84,0.03144,63.87
75.0,60.69,0.02955,60.72
80.0,57.87,0.02789,57.9
85.0,55.33,0.02641,55.36
90.0,53.04,0.02509,53.06
95.0,50.95,0.02389,50.98
100.0,49.05,0.02281,49.07
125.0,41.53,0.01865,41.55
150.0,36.25,0.01581,36.26
175.0,32.31,0.01373,32.32
200.0,29.25,0.01215,29.27
225.0,26.81,0.01091,26.82
250.0,24.81,0.009902,24.82
275.0,23.13,0.00907,23.14
300.0,21.71,0.008369,21.72
350.0,19.43,0.007255,19.43
400.0,17.67,0.006406,17.68
450.0,16.27,0.005737,16.28
500.0,15.13,0.005197,15.14
550.0,14.19,0.004752,14.19
600.0,13.39,0.004379,13.4
650.0,12.71,0.00406,12.71
700.0,12.12,0.003785,12.12
750.0,11.6,0.003545,11.61
800.0,11.15,0.003334,11.15
850.0,10.74,0.003146,10.75
900.0,10.38,0.002978,10.39
950.0,10.06,0.002828,10.06
1000.0,9.766,0.002692,9.769
