Energy_MeV,Elec_Stop,Nuc_Stop,Total_Stop,Range_A,Straggling_Long_A,Straggling_Lat_A
0.11,3.978,5.477,9.455,2.83,1.07,1.02
0.12,4.149,5.187,9.336,3.04,1.1,1.06
0.13,4.311,4.93,9.241,3.24,1.13,1.1
0.14,4.463,4.701,9.164,3.43,1.15,1.13
0.15,4.608,4.495,9.103,3.62,1.18,1.17
0.16,4.744,4.308,9.052,3.81,1.2,1.2
0.17,4.873,4.139,9.012,3.99,1.22,1.23
0.18,4.996,3.984,8.98,4.17,1.24,1.25
0.2,5.223,3.71,8.933,4.51,1.27,1.31
0.225,5.476,3.422,8.898,4.93,1.31,1.37
0.25,5.7,3.181,8.881,5.34,1.34,1.42
0.275,5.897,2.975,8.872,5.74,1.37,1.47
0.3,6.072,2.797,8.869,6.12,1.4,1.52
0.325,6.227,2.641,8.868,6.5,1.42,1.56
0.35,6.364,2.503,8.867,6.87,1.45,1.6
0.375,6.484,2.381,8.865,7.24,1.47,1.64
0.4,6.59,2.271,8.861,7.6,1.49,1.68
0.45,6.765,2.082,8.847,8.31,1.52,1.75
0.5,6.897,1.926,8.823,9.01,1.56,1.81
0.55,6.994,1.793,8.786999999999999,9.7,1.59,1.87
0.6,7.063,1.679,8.741999999999999,10.38,1.62,1.93
0.65,7.108,1.58,8.687999999999999,11.06,1.65,1.98
0.7,7.133,1.493,8.626,11.74,1.67,2.03
0.8,7.138,1.347,8.485,13.1,1.73,2.13
0.9,7.097,1.229,8.326,14.47,1.78,2.22
0.001,7.026,1.132,8.158,15.85,1.82,2.32
0.0011,6.934,1.051,7.985,17.25,1.87,2.4
0.0012,6.829,9.808,16.637,18.67,1.91,2.49
0.0013,6.714,9.205,15.919,20.12,1.96,2.58
0.0014,6.595,8.677,15.271999999999998,21.6,2.0,2.66
0.0015,6.473,8.211,14.684000000000001,23.11,2.04,2.75
0.0016,6.351,7.797,14.148,24.64,2.09,2.83
0.0017,6.229,7.426,13.655000000000001,26.21,2.13,2.92
0.0018,6.109,7.091,13.2,27.8,2.18,3.01
0.002,5.876,6.512,12.388,31.1,2.29,3.18
0.00225,5.602,5.917,11.519,35.4,2.44,3.41
0.0025,5.348,5.428,10.776,39.92,2.6,3.64
0.00275,5.114,5.02,10.134,44.65,2.77,3.88
0.003,4.9,4.673,9.573,49.59,2.93,4.12
0.00325,4.702,4.374,9.076,54.75,3.1,4.38
0.0035,4.521,4.113,8.634,60.12,3.28,4.64
0.00375,4.353,3.884,8.237,65.71,3.46,4.92
0.004,4.199,3.681,7.88,71.51,3.64,5.2
0.0045,3.923,3.336,7.259,83.73,4.2,5.79
0.005,3.684,3.054,6.7379999999999995,96.78,4.76,6.42
0.0055,3.475,2.819,6.2940000000000005,110.66,5.32,7.09
0.006,3.291,2.619,5.91,125.34,5.89,7.79
0.0065,3.128,2.448,5.5760000000000005,140.81,6.48,8.53
0.007,2.982,2.299,5.281000000000001,157.08,7.07,9.3
0.008,2.732,2.053,4.785,191.89,8.97,10.94
0.009,2.562,1.856,4.418,229.46,10.79,12.69
0.01,2.401,1.697,4.098,269.54,12.57,14.55
