Energy_MeV,Elec_Stop,Nuc_Stop,Total_Stop
0.001,82.8,138.4,221.2
0.0015,103.7,129.4,233.1
0.002,121.6,121.2,242.8
0.0025,137.7,114.0,251.7
0.003,152.3,107.7,260.1
0.004,178.7,97.32,276.0
0.005,202.3,89.05,291.3
0.006,223.8,82.3,306.1
0.007,243.8,76.66,320.4
0.008,262.5,71.85,334.4
0.009,280.2,67.71,347.9
0.01,297.1,64.08,361.2
0.0125,336.2,56.73,392.9
0.015,372.0,51.08,423.0
0.0175,405.1,46.58,451.7
0.02,436.2,42.9,479.1
0.0225,465.5,39.82,505.4
0.025,493.4,37.21,530.6
0.0275,520.1,34.95,555.1
0.03,545.7,32.99,578.7
0.035,594.1,29.71,623.8
0.04,639.3,27.09,666.4
0.045,682.0,24.94,706.9
0.05,722.5,23.14,745.6
0.055,761.0,21.6,782.6
0.06,797.9,20.27,818.2
0.065,833.4,19.12,852.5
0.07,867.4,18.1,885.5
0.075,900.3,17.19,917.5
0.08,932.0,16.38,948.4
0.085,962.8,15.65,978.4
0.09,992.5,14.99,1008.0
0.095,1021.0,14.38,1036.0
0.1,1049.0,13.83,1063.0
0.125,1179.0,11.64,1190.0
0.15,1293.0,10.1,1303.0
0.175,1395.0,8.937,1404.0
0.2,1486.0,8.035,1494.0
0.225,1567.0,7.31,1574.0
0.25,1640.0,6.714,1647.0
0.275,1706.0,6.215,1712.0
0.3,1765.0,5.79,1771.0
0.35,1864.0,5.103,1869.0
0.4,1940.0,4.572,1945.0
0.45,1999.0,4.147,2003.0
0.5,2041.0,3.799,2045.0
0.55,2069.0,3.509,2073.0
0.6,2086.0,3.263,2089.0
0.65,2093.0,3.051,2096.0
0.7,2091.0,2.866,2094.0
0.75,2083.0,2.704,2086.0
0.8,2069.0,2.561,2072.0
0.85,2051.0,2.433,2054.0
0.9,2030.0,2.318,2032.0
0.95,2005.0,2.214,2007.0
1.0,1978.0,2.119,1980.0
1.25,1819.0,1.752,1820.0
1.5,1660.0,1.498,1662.0
1.75,1522.0,1.312,1524.0
2.0,1406.0,1.169,1407.0
2.25,1308.0,1.055,1309.0
2.5,1224.0,0.9629,1225.0
2.75,1151.0,0.8862,1151.0
3.0,1088.0,0.8214,1089.0
3.5,982.9,0.7178,983.6
4.0,898.5,0.6385,899.2
4.5,829.5,0.5757,830.1
5.0,771.1,0.5246,771.6
5.5,721.3,0.4823,721.8
6.0,678.5,0.4466,678.9
6.5,641.0,0.416,641.4
7.0,608.0,0.3895,608.4
7.5,578.6,0.3664,579.0
8.0,552.3,0.3459,552.6
8.5,528.5,0.3277,528.8
9.0,506.9,0.3115,507.2
9.5,487.2,0.2968,487.5
10.0,469.1,0.2835,469.4
12.5,397.3,0.2322,397.5
15.0,346.2,0.197,346.4
17.5,307.8,0.1715,308.0
20.0,277.7,0.152,277.8
25.0,233.3,0.1241,233.5
27.5,216.5,0.1138,216.6
30.0,202.1,0.1051,202.2
35.0,178.9,0.09123,178.9
40.0,160.8,0.08069,160.9
45.0,146.3,0.07238,146.4
50.0,134.4,0.06567,134.5
55.0,124.5,0.06011,124.6
60.0,116.1,0.05543,116.1
65.0,108.8,0.05144,108.8
70.0,102.5,0.04799,102.5
75.0,96.9,0.04498,96.94
80.0,91.97,0.04234,92.01
85.0,87.56,0.04,87.6
90.0,83.6,0.03791,83.64
95.0,80.02,0.03603,80.06
100.0,76.77,0.03433,76.8
125.0,64.1,0.02778,64.13
150.0,55.36,0.02333,55.38
175.0,48.94,0.02012,48.96
200.0,44.01,0.01769,44.03
225.0,40.11,0.01579,40.12
250.0,36.93,0.01426,36.94
275.0,34.29,0.01301,34.31
300.0,32.07,0.01195,32.08
350.0,28.52,0.01028,28.53
400.0,25.81,0.009014,25.82
450.0,23.67,0.008028,23.68
500.0,21.93,0.00724,21.94
550.0,20.5,0.006594,20.51
600.0,19.3,0.006051,19.3
650.0,18.27,0.005588,18.27
700.0,17.38,0.00519,17.39
750.0,16.61,0.004845,16.61
800.0,15.93,0.004544,15.94
850.0,15.33,0.00428,15.33
900.0,14.79,0.004045,14.8
950.0,14.31,0.003834,14.32
1000.0,13.88,0.003644,13.88
