Energy_MeV,Elec_Stop,Nuc_Stop,Total_Stop,Range_A,Straggling_Long_A,Straggling_Lat_A
0.0035,8.21,6.095,14.305,31.2,1.16,1.04
0.00375,7.849,5.742,13.591000000000001,34.31,1.25,1.1
0.004,7.519,5.43,12.949,37.56,1.34,1.17
0.0045,6.938,4.903,11.841,44.47,1.68,1.31
0.005,6.443,4.474,10.917,51.94,2.01,1.47
0.0055,6.016,4.118,10.134,59.95,2.33,1.63
0.006,5.644,3.817,9.461,68.52,2.65,1.81
0.0065,5.317,3.559,8.876000000000001,77.64,2.98,2.0
0.007,5.028,3.336,8.363999999999999,87.29,3.3,2.2
0.008,4.538,2.967,7.505000000000001,108.2,4.48,2.63
0.009,4.214,2.676,6.890000000000001,131.04,5.57,3.1
0.01,3.904,2.439,6.343,155.67,6.63,3.61
