Energy_MeV,Elec_Stop,Nuc_Stop,Total_Stop,Range_A,Straggling_Long_A,Straggling_Lat_A
0.2,6.164,3.802,9.966,3.9,1.02,1.06
0.225,6.445,3.506,9.951,4.26,1.05,1.11
0.25,6.706,3.258,9.964,4.61,1.08,1.15
0.275,6.947,3.046,9.993,4.95,1.1,1.19
0.3,7.166,2.863,10.029,5.28,1.12,1.23
0.325,7.365,2.704,10.069,5.61,1.14,1.26
0.35,7.543,2.563,10.106,5.92,1.16,1.29
0.375,7.701,2.437,10.138,6.23,1.17,1.32
0.4,7.84,2.324,10.164,6.54,1.19,1.35
0.45,8.065,2.131,10.196,7.14,1.21,1.4
0.5,8.228,1.97,10.198,7.73,1.24,1.45
0.55,8.339,1.834,10.173,8.31,1.26,1.5
0.6,8.406,1.717,10.123000000000001,8.89,1.29,1.54
0.65,8.438,1.615,10.053,9.47,1.31,1.58
0.7,8.441,1.526,9.967,10.04,1.33,1.62
0.8,8.382,1.377,9.759,11.2,1.37,1.7
0.9,8.264,1.257,9.520999999999999,12.38,1.41,1.77
0.001,8.109,1.157,9.266,13.57,1.45,1.84
0.0011,7.934,1.074,9.008000000000001,14.8,1.48,1.92
0.0012,7.748,1.002,8.75,16.05,1.52,1.99
0.0013,7.559,9.405,16.964,17.34,1.56,2.06
0.0014,7.37,8.865,16.235,18.65,1.6,2.13
0.0015,7.185,8.389,15.573999999999998,20.01,1.63,2.2
0.0016,7.005,7.965,14.969999999999999,21.4,1.67,2.27
0.0017,6.831,7.585,14.416,22.83,1.71,2.34
0.0018,6.663,7.243,13.906,24.29,1.75,2.42
0.002,6.348,6.65,12.998000000000001,27.33,1.85,2.57
0.00225,5.993,6.042,12.035,31.34,2.01,2.77
0.0025,5.675,5.543,11.218,35.59,2.16,2.98
0.00275,5.391,5.125,10.516,40.06,2.32,3.19
0.003,5.136,4.77,9.905999999999999,44.77,2.49,3.42
0.00325,4.906,4.465,9.370999999999999,49.71,2.65,3.66
0.0035,4.698,4.199,8.897,54.88,2.83,3.91
0.00375,4.509,3.965,8.474,60.26,3.01,4.17
0.004,4.336,3.757,8.093,65.88,3.19,4.44
0.0045,4.032,3.405,7.436999999999999,77.75,3.76,5.0
0.005,3.773,3.117,6.890000000000001,90.48,4.33,5.61
0.0055,3.549,2.876,6.425,104.05,4.89,6.25
0.006,3.354,2.673,6.027,118.45,5.47,6.93
0.0065,3.182,2.498,5.68,133.65,6.05,7.65
0.007,3.03,2.346,5.3759999999999994,149.65,6.64,8.4
0.008,2.77,2.094,4.864,183.98,8.56,10.0
0.009,2.602,1.894,4.4959999999999996,221.02,10.38,11.72
0.01,2.441,1.731,4.172,260.48,12.13,13.53
