Energy_MeV,Elec_Stop,Nuc_Stop,Total_Stop,Range_A,Straggling_Long_A,Straggling_Lat_A
0.06,2.322,5.806,8.128,1.95,1.2,1.02
0.065,2.44,5.582,8.022,2.09,1.24,1.06
0.07,2.553,5.378,7.931,2.23,1.28,1.1
0.08,2.768,5.019,7.787,2.49,1.34,1.17
0.09,2.966,4.711,7.6770000000000005,2.74,1.4,1.24
0.1,3.147,4.445,7.5920000000000005,2.98,1.45,1.3
0.11,3.311,4.212,7.523,3.22,1.5,1.35
0.12,3.46,4.005,7.465,3.45,1.54,1.41
0.13,3.593,3.821,7.414,3.67,1.58,1.45
0.14,3.713,3.655,7.368,3.89,1.62,1.5
0.15,3.821,3.505,7.3260000000000005,4.11,1.65,1.54
0.16,3.917,3.369,7.286,4.32,1.68,1.58
0.17,4.003,3.244,7.247,4.53,1.71,1.62
0.18,4.081,3.13,7.211,4.74,1.74,1.66
0.2,4.217,2.927,7.144,5.15,1.79,1.73
0.225,4.359,2.712,7.071,5.66,1.85,1.82
0.25,4.481,2.53,7.010999999999999,6.15,1.9,1.9
0.275,4.591,2.374,6.965,6.64,1.95,1.97
0.3,4.691,2.238,6.929,7.12,1.99,2.04
0.325,4.783,2.119,6.902000000000001,7.6,2.03,2.11
0.35,4.869,2.013,6.882,8.07,2.07,2.17
0.375,4.949,1.918,6.867,8.54,2.11,2.23
0.4,5.022,1.833,6.855,9.0,2.14,2.29
0.45,5.15,1.687,6.837000000000001,9.91,2.2,2.4
0.5,5.255,1.564,6.819,10.81,2.26,2.5
0.55,5.338,1.459,6.797000000000001,11.7,2.32,2.6
0.6,5.401,1.37,6.771,12.58,2.37,2.69
0.65,5.447,1.291,6.7379999999999995,13.45,2.41,2.78
0.7,5.478,1.222,6.699999999999999,14.32,2.46,2.87
0.8,5.503,1.106,6.609,16.06,2.55,3.03
0.9,5.49,1.012,6.502000000000001,17.81,2.63,3.19
0.001,5.451,9.341,14.791999999999998,19.57,2.71,3.34
0.0011,5.392,8.683,14.075,21.35,2.79,3.49
0.0012,5.321,8.12,13.440999999999999,23.16,2.86,3.63
0.0013,5.242,7.632,12.873999999999999,25.0,2.93,3.77
0.0014,5.158,7.204,12.362,26.88,3.01,3.92
0.0015,5.07,6.825,11.895,28.78,3.08,4.06
0.0016,4.982,6.488,11.47,30.72,3.15,4.2
0.0017,4.893,6.185,11.078,32.7,3.22,4.34
0.0018,4.806,5.912,10.718,34.72,3.29,4.48
0.002,4.635,5.437,10.072,38.87,3.45,4.77
0.00225,4.433,4.949,9.382,44.28,3.68,5.14
0.0025,4.245,4.548,8.793,49.94,3.9,5.52
0.00275,4.072,4.211,8.283000000000001,55.86,4.13,5.9
0.003,3.913,3.924,7.837,62.02,4.37,6.3
0.00325,3.767,3.677,7.444,68.44,4.61,6.71
0.0035,3.632,3.461,7.093,75.1,4.85,7.13
0.00375,3.507,3.271,6.7780000000000005,82.01,5.1,7.57
0.004,3.392,3.103,6.495,89.16,5.36,8.02
0.0045,3.185,2.816,6.0009999999999994,104.19,6.07,8.95
0.005,3.006,2.581,5.587,120.16,6.78,9.93
0.0055,2.848,2.385,5.233,137.05,7.51,10.95
0.006,2.709,2.218,4.927,154.86,8.25,12.03
0.0065,2.585,2.075,4.66,173.56,9.0,13.15
0.007,2.473,1.95,4.423,193.13,9.76,14.31
0.008,2.281,1.743,4.024,234.83,12.06,16.77
0.009,2.156,1.578,3.734,279.5,14.27,19.38
0.01,2.034,1.444,3.4779999999999998,326.83,16.44,22.1
