Energy_MeV,Elec_Stop,Nuc_Stop,Total_Stop
0.001,68.73,100.8,169.5
0.0015,83.7,96.53,180.2
0.002,96.26,91.97,188.2
0.0025,107.3,87.67,195.0
0.003,117.2,83.75,201.0
0.004,134.8,76.98,211.8
0.005,150.3,71.37,221.6
0.006,164.2,66.66,230.8
0.007,177.0,62.63,239.6
0.008,188.8,59.15,248.0
0.009,199.9,56.09,256.0
0.01,210.4,53.39,263.8
0.0125,234.5,47.8,282.3
0.015,256.2,43.42,299.7
0.0175,276.1,39.88,316.0
0.02,294.6,36.95,331.6
0.0225,311.9,34.47,346.4
0.025,328.3,32.34,360.6
0.0275,343.8,30.5,374.3
0.03,358.6,28.87,387.4
0.035,386.3,26.15,412.5
0.04,412.0,23.95,436.0
0.045,436.1,22.13,458.2
0.05,458.8,20.6,479.4
0.055,480.3,19.28,499.6
0.06,500.8,18.14,518.9
0.065,520.3,17.14,537.5
0.07,539.1,16.26,555.4
0.075,557.1,15.47,572.6
0.08,574.5,14.76,589.2
0.085,591.2,14.12,605.4
0.09,607.5,13.54,621.0
0.095,623.2,13.01,636.2
0.1,638.4,12.53,650.9
0.125,708.4,10.59,719.0
0.15,770.3,9.217,779.5
0.175,825.6,8.181,833.8
0.2,875.7,7.371,883.1
0.225,921.2,6.718,927.9
0.25,962.8,6.18,969.0
0.275,1001.0,5.728,1007.0
0.3,1036.0,5.342,1041.0
0.35,1098.0,4.718,1102.0
0.4,1150.0,4.233,1154.0
0.45,1194.0,3.845,1197.0
0.5,1230.0,3.527,1234.0
0.55,1260.0,3.26,1264.0
0.6,1285.0,3.034,1288.0
0.65,1304.0,2.839,1307.0
0.7,1319.0,2.669,1322.0
0.75,1330.0,2.52,1333.0
0.8,1338.0,2.388,1340.0
0.85,1343.0,2.27,1345.0
0.9,1344.0,2.163,1346.0
0.95,1344.0,2.067,1346.0
1.0,1341.0,1.98,1343.0
1.25,1296.0,1.639,1297.0
1.5,1229.0,1.404,1230.0
1.75,1160.0,1.231,1161.0
2.0,1095.0,1.097,1096.0
2.25,1035.0,0.9917,1036.0
2.5,981.4,0.9055,982.4
2.75,932.6,0.8339,933.5
3.0,888.5,0.7734,889.2
3.5,812.1,0.6765,812.7
4.0,748.3,0.6022,748.9
4.5,695.6,0.5433,696.1
5.0,650.4,0.4954,650.9
5.5,611.3,0.4557,611.7
6.0,577.0,0.4221,577.4
6.5,546.8,0.3934,547.2
7.0,520.0,0.3685,520.3
7.5,496.0,0.3468,496.3
8.0,474.4,0.3275,474.7
8.5,454.8,0.3104,455.1
9.0,437.0,0.2951,437.3
9.5,420.7,0.2813,421.0
10.0,405.7,0.2688,406.0
12.5,345.8,0.2204,346.0
15.0,302.8,0.1873,303.0
17.5,270.3,0.1631,270.4
20.0,244.7,0.1446,244.8
25.0,206.8,0.1183,206.9
27.5,192.3,0.1085,192.5
30.0,180.0,0.1003,180.1
35.0,159.8,0.08717,159.9
40.0,144.1,0.07717,144.2
45.0,131.5,0.06929,131.5
50.0,121.0,0.0629,121.1
55.0,112.3,0.05763,112.4
60.0,104.9,0.05319,104.9
65.0,98.43,0.0494,98.48
70.0,92.83,0.04613,92.87
75.0,87.89,0.04327,87.93
80.0,83.5,0.04075,83.54
85.0,79.58,0.03851,79.62
90.0,76.05,0.03651,76.09
95.0,72.85,0.0347,72.89
100.0,69.95,0.03308,69.98
125.0,58.59,0.02683,58.62
150.0,50.72,0.02259,50.74
175.0,44.92,0.01951,44.94
200.0,40.46,0.01717,40.48
225.0,36.92,0.01534,36.93
250.0,34.03,0.01386,34.05
275.0,31.63,0.01264,31.65
300.0,29.61,0.01163,29.62
350.0,26.37,0.01002,26.38
400.0,23.89,0.008803,23.9
450.0,21.93,0.007848,21.94
500.0,20.34,0.007077,20.35
550.0,19.02,0.006444,19.03
600.0,17.92,0.005915,17.92
650.0,16.97,0.005468,16.98
700.0,16.16,0.005085,16.16
750.0,15.45,0.004752,15.45
800.0,14.82,0.00446,14.83
850.0,14.27,0.0042,14.27
900.0,13.78,0.003968,13.78
950.0,13.33,0.00376,13.34
1000.0,12.93,0.003572,12.94
