Energy_MeV,Elec_Stop,Nuc_Stop,Total_Stop,Range_A,Straggling_Long_A,Straggling_Lat_A
0.00275,9.585,8.146,17.731,25.03,1.0,1.13
0.003,9.134,7.558,16.692,27.7,1.08,1.18
0.00325,8.724,7.054,15.778,30.49,1.16,1.23
0.0035,8.35,6.616,14.966,33.42,1.25,1.28
0.00375,8.008,6.232,14.239999999999998,36.47,1.33,1.34
0.004,7.695,5.893,13.588000000000001,39.65,1.42,1.39
0.0045,7.141,5.32,12.461,46.38,1.73,1.52
0.005,6.669,4.854,11.523,53.62,2.03,1.65
0.0055,6.261,4.467,10.728,61.34,2.33,1.8
0.006,5.905,4.14,10.045,69.55,2.63,1.95
0.0065,5.591,3.86,9.451,78.24,2.92,2.12
0.007,5.313,3.617,8.93,87.4,3.22,2.29
0.008,4.841,3.217,8.058,107.1,4.31,2.66
0.009,4.5,2.9,7.4,128.5,5.31,3.07
0.01,4.17,2.643,6.813,151.56,6.28,3.51
