Energy_MeV,Elec_Stop,Nuc_Stop,Total_Stop,Range_A,Straggling_Long_A,Straggling_Lat_A
0.14,4.823,6.466,11.289000000000001,3.36,1.02,1.03
0.15,4.977,6.165,11.142,3.54,1.03,1.06
0.16,5.12,5.894,11.014,3.72,1.05,1.09
0.17,5.254,5.649,10.902999999999999,3.89,1.07,1.11
0.18,5.379,5.426,10.805,4.06,1.08,1.13
0.2,5.607,5.034,10.641,4.39,1.11,1.18
0.225,5.857,4.625,10.482,4.79,1.14,1.23
0.25,6.076,4.283,10.359,5.18,1.16,1.27
0.275,6.271,3.994,10.265,5.55,1.18,1.31
0.3,6.446,3.745,10.190999999999999,5.92,1.21,1.35
0.325,6.604,3.528,10.132,6.28,1.23,1.39
0.35,6.748,3.337,10.085,6.64,1.24,1.42
0.375,6.878,3.168,10.046,6.99,1.26,1.45
0.4,6.997,3.017,10.014,7.33,1.27,1.48
0.45,7.202,2.758,9.96,8.01,1.3,1.54
0.5,7.372,2.543,9.915,8.67,1.33,1.59
0.55,7.509,2.362,9.871,9.32,1.35,1.64
0.6,7.62,2.208,9.828,9.96,1.38,1.68
0.65,7.707,2.074,9.780999999999999,10.59,1.4,1.73
0.7,7.774,1.956,9.73,11.22,1.42,1.77
0.8,7.856,1.76,9.616,12.47,1.46,1.84
0.9,7.885,1.603,9.488,13.71,1.5,1.92
0.001,7.874,1.473,9.347,14.96,1.53,1.98
0.0011,7.834,1.365,9.199,16.21,1.57,2.05
0.0012,7.771,1.272,9.043,17.47,1.6,2.11
0.0013,7.692,1.192,8.884,18.75,1.63,2.18
0.0014,7.602,1.122,8.724,20.04,1.66,2.24
0.0015,7.504,1.061,8.565,21.34,1.7,2.3
0.0016,7.4,1.007,8.407,22.67,1.73,2.36
0.0017,7.292,9.577,16.869,24.02,1.76,2.42
0.0018,7.183,9.137,16.32,25.38,1.79,2.48
0.002,6.962,8.377,15.339,28.18,1.87,2.59
0.00225,6.69,7.599,14.289000000000001,31.81,1.99,2.74
0.0025,6.429,6.962,13.391,35.59,2.1,2.9
0.00275,6.182,6.43,12.612,39.53,2.22,3.05
0.003,5.949,5.978,11.927,43.62,2.35,3.21
0.00325,5.732,5.59,11.322,47.88,2.47,3.38
0.0035,5.529,5.252,10.780999999999999,52.29,2.6,3.54
0.00375,5.339,4.956,10.295000000000002,56.86,2.72,3.72
0.004,5.162,4.693,9.855,61.59,2.86,3.9
0.0045,4.841,4.247,9.088000000000001,71.54,3.28,4.27
0.005,4.559,3.884,8.443,82.13,3.7,4.66
0.0055,4.31,3.581,7.891,93.36,4.13,5.08
0.006,4.088,3.325,7.413,105.21,4.56,5.51
0.0065,3.89,3.105,6.995,117.7,4.99,5.97
0.007,3.711,2.914,6.625,130.8,5.43,6.45
0.008,3.403,2.598,6.0009999999999994,158.82,6.92,7.47
0.009,3.186,2.347,5.5329999999999995,189.07,8.33,8.56
0.01,2.979,2.143,5.122,221.41,9.7,9.72
