Energy_MeV,Elec_Stop,Nuc_Stop,Total_Stop
0.001,105.8,124.3,230.1
0.0015,128.3,117.3,245.6
0.002,147.1,110.5,257.6
0.0025,163.6,104.5,268.1
0.003,178.4,99.12,277.5
0.004,204.6,90.12,294.7
0.005,227.5,82.86,310.4
0.006,248.1,76.87,325.0
0.007,267.0,71.83,338.8
0.008,284.5,67.51,352.0
0.009,300.9,63.76,364.7
0.01,316.3,60.47,376.8
0.0125,351.8,53.75,405.5
0.015,383.6,48.55,432.1
0.0175,412.7,44.39,457.1
0.02,439.8,40.96,480.7
0.0225,465.0,38.09,503.1
0.025,488.9,35.65,524.5
0.0275,511.5,33.53,545.0
0.03,533.0,31.68,564.7
0.035,573.3,28.59,601.9
0.04,610.6,26.11,636.7
0.045,645.5,24.07,669.6
0.05,678.3,22.35,700.7
0.055,709.4,20.89,730.3
0.06,738.9,19.62,758.6
0.065,767.1,18.52,785.7
0.07,794.1,17.54,811.7
0.075,820.0,16.67,836.7
0.08,845.0,15.89,860.9
0.085,869.0,15.19,884.2
0.09,892.3,14.56,906.8
0.095,914.7,13.98,928.7
0.1,936.5,13.44,950.0
0.125,1036.0,11.34,1048.0
0.15,1124.0,9.84,1134.0
0.175,1202.0,8.719,1211.0
0.2,1272.0,7.845,1280.0
0.225,1335.0,7.142,1342.0
0.25,1392.0,6.563,1399.0
0.275,1444.0,6.078,1450.0
0.3,1491.0,5.664,1497.0
0.35,1573.0,4.996,1578.0
0.4,1639.0,4.478,1644.0
0.45,1693.0,4.064,1697.0
0.5,1735.0,3.725,1739.0
0.55,1768.0,3.441,1771.0
0.6,1792.0,3.201,1795.0
0.65,1808.0,2.994,1811.0
0.7,1818.0,2.813,1820.0
0.75,1821.0,2.655,1824.0
0.8,1820.0,2.515,1822.0
0.85,1814.0,2.389,1817.0
0.9,1805.0,2.277,1807.0
0.95,1792.0,2.175,1794.0
1.0,1777.0,2.082,1779.0
1.25,1667.0,1.722,1669.0
1.5,1544.0,1.474,1545.0
1.75,1430.0,1.291,1431.0
2.0,1329.0,1.151,1330.0
2.25,1241.0,1.039,1242.0
2.5,1164.0,0.9484,1165.0
2.75,1097.0,0.8731,1098.0
3.0,1038.0,0.8094,1039.0
3.5,939.5,0.7076,940.2
4.0,860.2,0.6295,860.9
4.5,794.7,0.5677,795.2
5.0,739.5,0.5175,740.1
5.5,692.4,0.4759,692.9
6.0,651.9,0.4407,652.3
6.5,616.1,0.4106,616.5
7.0,584.5,0.3845,584.9
7.5,556.4,0.3617,556.8
8.0,531.3,0.3416,531.7
8.5,508.6,0.3237,508.9
9.0,488.0,0.3076,488.3
9.5,469.2,0.2932,469.5
10.0,452.0,0.2801,452.3
12.5,383.4,0.2295,383.7
15.0,334.5,0.1948,334.7
17.5,297.7,0.1696,297.8
20.0,268.8,0.1503,269.0
25.0,226.3,0.1228,226.5
27.5,210.1,0.1126,210.2
30.0,196.3,0.1041,196.4
35.0,173.9,0.09039,173.9
40.0,156.4,0.07997,156.5
45.0,142.4,0.07177,142.5
50.0,130.9,0.06512,131.0
55.0,121.3,0.05963,121.4
60.0,113.1,0.05502,113.2
65.0,106.1,0.05107,106.2
70.0,99.97,0.04766,100.0
75.0,94.57,0.04468,94.62
80.0,89.79,0.04206,89.83
85.0,85.51,0.03974,85.55
90.0,81.66,0.03766,81.7
95.0,78.18,0.0358,78.22
100.0,75.02,0.03412,75.05
125.0,62.7,0.02764,62.73
150.0,54.18,0.02324,54.2
175.0,47.92,0.02004,47.94
200.0,43.11,0.01763,43.13
225.0,39.3,0.01574,39.32
250.0,36.2,0.01422,36.21
275.0,33.63,0.01297,33.64
300.0,31.45,0.01192,31.46
350.0,27.98,0.01026,27.99
400.0,25.33,0.009005,25.34
450.0,23.23,0.00802,23.24
500.0,21.54,0.007231,21.55
550.0,20.13,0.006585,20.14
600.0,18.95,0.006047,18.96
650.0,17.95,0.005589,17.95
700.0,17.08,0.005193,17.09
750.0,16.32,0.004848,16.33
800.0,15.66,0.004546,15.66
850.0,15.07,0.004279,15.07
900.0,14.54,0.004043,14.55
950.0,14.07,0.003833,14.07
1000.0,13.65,0.003644,13.65
