Energy_MeV,Elec_Stop,Nuc_Stop,Total_Stop,Range_A,Straggling_Long_A,Straggling_Lat_A
0.0225,5.562,6.513,12.075,1.04,1.37,1.03
0.025,5.965,6.337,12.302,1.16,1.47,1.11
0.0275,6.359,6.17,12.529,1.28,1.56,1.18
0.03,6.745,6.012,12.757,1.4,1.64,1.25
0.0325,7.124,5.862,12.986,1.51,1.72,1.32
0.035,7.496,5.72,13.216000000000001,1.63,1.8,1.39
0.0375,7.863,5.586,13.449000000000002,1.75,1.88,1.45
0.04,8.224,5.458,13.682,1.86,1.95,1.51
0.045,8.93,5.222,14.152000000000001,2.09,2.08,1.63
0.05,9.617,5.009,14.626000000000001,2.32,2.21,1.73
0.055,1.029,4.815,5.844,2.54,2.32,1.84
0.06,1.094,4.638,5.732,2.76,2.42,1.93
0.065,1.158,4.476,5.634,2.98,2.52,2.02
0.07,1.22,4.326,5.545999999999999,3.19,2.61,2.11
0.08,1.341,4.06,5.401,3.61,2.78,2.27
0.09,1.456,3.829,5.285,4.01,2.93,2.42
0.1,1.566,3.628,5.194,4.41,3.06,2.55
0.11,1.671,3.449,5.12,4.79,3.18,2.67
0.12,1.771,3.291,5.061999999999999,5.17,3.28,2.79
0.13,1.866,3.148,5.014,5.53,3.38,2.9
0.14,1.957,3.019,4.976,5.89,3.47,3.0
0.15,2.043,2.902,4.945,6.24,3.56,3.09
0.16,2.124,2.795,4.9190000000000005,6.58,3.63,3.18
0.17,2.201,2.697,4.898,6.91,3.71,3.27
0.18,2.275,2.606,4.881,7.24,3.77,3.35
0.2,2.409,2.445,4.853999999999999,7.89,3.9,3.5
0.225,2.558,2.273,4.8309999999999995,8.67,4.04,3.68
0.25,2.688,2.126,4.814,9.43,4.16,3.84
0.275,2.801,2.0,4.801,10.17,4.27,3.98
0.3,2.901,1.89,4.7909999999999995,10.89,4.37,4.12
0.325,2.99,1.793,4.783,11.6,4.46,4.25
0.35,3.069,1.706,4.775,12.3,4.54,4.37
0.375,3.139,1.629,4.768,12.99,4.62,4.49
0.4,3.203,1.559,4.762,13.68,4.69,4.6
0.45,3.312,1.437,4.749,15.02,4.83,4.81
0.5,3.401,1.336,4.737,16.34,4.95,5.01
0.55,3.474,1.249,4.723000000000001,17.65,5.06,5.2
0.6,3.533,1.174,4.707,18.94,5.17,5.37
0.65,3.582,1.108,4.6899999999999995,20.22,5.26,5.54
0.7,3.62,1.051,4.671,21.5,5.36,5.7
0.8,3.674,9.529,13.203,24.04,5.53,6.01
0.9,3.703,8.735,12.437999999999999,26.57,5.69,6.3
0.001,3.713,8.076,11.789000000000001,29.1,5.83,6.57
0.0011,3.709,7.518,11.227,31.65,5.97,6.84
0.0012,3.694,7.039,10.733,34.21,6.11,7.1
0.0013,3.671,6.622,10.293,36.8,6.24,7.35
0.0014,3.642,6.257,9.899,39.41,6.36,7.61
0.0015,3.609,5.934,9.543,42.05,6.48,7.85
0.0016,3.572,5.645,9.216999999999999,44.73,6.6,8.1
0.0017,3.534,5.386,8.92,47.44,6.72,8.34
0.0018,3.493,5.152,8.645,50.18,6.84,8.58
0.002,3.41,4.744,8.154,55.78,7.08,9.07
0.00225,3.305,4.324,7.629,63.0,7.41,9.67
0.0025,3.203,3.978,7.181,70.46,7.73,10.29
0.00275,3.104,3.687,6.791,78.18,8.05,10.9
0.003,3.01,3.439,6.449,86.16,8.37,11.53
0.00325,2.921,3.225,6.146,94.39,8.7,12.17
0.0035,2.837,3.038,5.875,102.88,9.03,12.82
0.00375,2.758,2.873,5.631,111.63,9.36,13.48
0.004,2.683,2.726,5.409,120.63,9.71,14.16
0.0045,2.546,2.477,5.023,139.39,10.56,15.55
0.005,2.425,2.272,4.696999999999999,159.15,11.44,16.99
0.0055,2.316,2.101,4.417,179.89,12.33,18.49
0.006,2.218,1.956,4.1739999999999995,201.58,13.24,20.03
0.0065,2.13,1.83,3.96,224.23,14.17,21.63
0.007,2.049,1.721,3.77,247.8,15.12,23.29
0.008,1.909,1.54,3.449,297.64,17.76,26.74
0.009,1.802,1.396,3.198,350.83,20.38,30.38
0.01,1.701,1.278,2.979,407.22,23.01,34.19
