Energy_MeV,Elec_Stop,Nuc_Stop,Total_Stop,Range_A,Straggling_Long_A,Straggling_Lat_A
0.00275,8.182,7.343,15.525,25.67,1.06,1.12
0.003,7.818,6.818,14.636,28.79,1.17,1.2
0.00325,7.491,6.367,13.858,32.05,1.27,1.29
0.0035,7.196,5.975,13.171,35.44,1.38,1.38
0.00375,6.928,5.632,12.559999999999999,38.97,1.49,1.47
0.004,6.683,5.328,12.011,42.64,1.6,1.57
0.0045,6.252,4.814,11.065999999999999,50.35,1.97,1.77
0.005,5.883,4.396,10.279,58.58,2.32,1.99
0.0055,5.565,4.048,9.613,67.3,2.67,2.21
0.006,5.285,3.754,9.039,76.5,3.0,2.45
0.0065,5.038,3.502,8.54,86.17,3.34,2.69
0.007,4.818,3.283,8.100999999999999,96.29,3.67,2.95
0.008,4.442,2.923,7.365,117.87,4.85,3.49
0.009,4.102,2.637,6.739000000000001,141.26,5.94,4.07
0.01,3.787,2.405,6.192,166.59,7.01,4.69
