Energy_MeV,Elec_Stop,Nuc_Stop,Total_Stop,Range_A,Straggling_Long_A,Straggling_Lat_A
0.035,1.113,4.832,5.945,1.41,1.33,1.04
0.0375,1.156,4.732,5.888,1.51,1.38,1.09
0.04,1.198,4.636,5.834,1.6,1.44,1.13
0.045,1.279,4.456,5.735,1.79,1.53,1.22
0.05,1.357,4.292,5.649,1.97,1.62,1.3
0.055,1.432,4.141,5.573,2.16,1.7,1.37
0.06,1.504,4.001,5.505000000000001,2.34,1.78,1.45
0.065,1.573,3.873,5.446,2.52,1.85,1.52
0.07,1.64,3.753,5.393,2.69,1.92,1.58
0.08,1.769,3.538,5.3069999999999995,3.04,2.05,1.71
0.09,1.891,3.351,5.242,3.38,2.16,1.82
0.1,2.007,3.185,5.192,3.7,2.26,1.93
0.11,2.118,3.038,5.156,4.02,2.36,2.02
0.12,2.224,2.906,5.130000000000001,4.34,2.44,2.12
0.13,2.325,2.786,5.111000000000001,4.65,2.52,2.2
0.14,2.422,2.678,5.1,4.95,2.59,2.29
0.15,2.516,2.579,5.095000000000001,5.24,2.66,2.36
0.16,2.606,2.488,5.093999999999999,5.53,2.73,2.44
0.17,2.692,2.405,5.0969999999999995,5.81,2.79,2.51
0.18,2.775,2.328,5.103,6.09,2.84,2.58
0.2,2.932,2.189,5.121,6.64,2.94,2.7
0.225,3.111,2.041,5.152,7.29,3.06,2.85
0.25,3.274,1.914,5.188,7.93,3.16,2.98
0.275,3.421,1.804,5.225,8.55,3.25,3.1
0.3,3.553,1.708,5.261,9.15,3.33,3.21
0.325,3.672,1.623,5.295,9.74,3.41,3.32
0.35,3.778,1.547,5.325,10.32,3.47,3.42
0.375,3.873,1.478,5.351,10.89,3.54,3.51
0.4,3.957,1.417,5.374,11.45,3.6,3.6
0.45,4.096,1.309,5.405,12.55,3.71,3.77
0.5,4.201,1.219,5.42,13.63,3.81,3.93
0.55,4.278,1.141,5.419,14.7,3.9,4.08
0.6,4.332,1.074,5.406,15.76,3.98,4.22
0.65,4.366,1.016,5.382,16.82,4.06,4.35
0.7,4.384,9.637,14.021,17.87,4.14,4.48
0.8,4.384,8.758,13.142,20.0,4.28,4.73
0.9,4.35,8.042,12.392,22.15,4.42,4.97
0.001,4.293,7.444,11.737,24.33,4.55,5.21
0.0011,4.223,6.938,11.161,26.56,4.67,5.44
0.0012,4.144,6.503,10.647,28.84,4.79,5.67
0.0013,4.062,6.124,10.186,31.16,4.91,5.89
0.0014,3.978,5.791,9.769,33.55,5.03,6.12
0.0015,3.894,5.496,9.39,35.99,5.15,6.35
0.0016,3.812,5.232,9.044,38.48,5.27,6.59
0.0017,3.731,4.995,8.725999999999999,41.04,5.38,6.82
0.0018,3.653,4.781,8.434,43.65,5.5,7.06
0.002,3.506,4.407,7.913,49.06,5.77,7.55
0.00225,3.337,4.021,7.3580000000000005,56.14,6.12,8.17
0.0025,3.185,3.703,6.888,63.59,6.48,8.82
0.00275,3.048,3.435,6.4830000000000005,71.4,6.85,9.5
0.003,2.924,3.206,6.13,79.56,7.23,10.2
0.00325,2.812,3.009,5.821,88.06,7.62,10.92
0.0035,2.71,2.836,5.545999999999999,96.91,8.02,11.66
0.00375,2.617,2.683,5.3,106.08,8.43,12.43
0.004,2.532,2.548,5.08,115.57,8.85,13.22
0.0045,2.382,2.317,4.699,135.51,9.91,14.87
0.005,2.253,2.127,4.38,156.66,10.99,16.61
0.0055,2.141,1.968,4.109,178.99,12.1,18.42
0.006,2.042,1.833,3.875,202.46,13.23,20.32
0.0065,1.955,1.716,3.6710000000000003,227.04,14.38,22.28
0.007,1.877,1.615,3.492,252.68,15.56,24.32
0.008,1.743,1.446,3.189,307.05,18.75,28.6
0.009,1.65,1.311,2.961,365.08,21.89,33.1
0.01,1.559,1.201,2.76,426.48,25.0,37.8
