Energy_MeV,Elec_Stop,Nuc_Stop,Total_Stop
0.001,17.96,5.342,23.3
0.0015,22.18,5.854,28.03
0.002,25.76,6.176,31.93
0.0025,28.92,6.393,35.32
0.003,31.8,6.543,38.34
0.004,36.93,6.721,43.65
0.005,41.47,6.805,48.28
0.006,45.6,6.833,52.43
0.007,49.4,6.828,56.23
0.008,52.95,6.802,59.75
0.009,56.3,6.762,63.06
0.01,59.46,6.712,66.18
0.0125,66.77,6.566,73.34
0.015,73.41,6.407,79.81
0.0175,79.52,6.246,85.77
0.02,85.23,6.089,91.32
0.0225,90.6,5.938,96.54
0.025,95.69,5.794,101.5
0.0275,100.5,5.657,106.2
0.03,105.2,5.527,110.7
0.035,113.9,5.286,119.2
0.04,122.0,5.068,127.1
0.045,129.7,4.87,134.5
0.05,136.9,4.69,141.6
0.055,143.8,4.525,148.3
0.06,150.3,4.373,154.7
0.065,156.6,4.234,160.9
0.07,162.7,4.104,166.8
0.075,168.5,3.984,172.5
0.08,174.1,3.872,178.0
0.085,179.5,3.767,183.3
0.09,184.8,3.668,188.5
0.095,189.9,3.576,193.5
0.1,194.9,3.489,198.3
0.125,217.7,3.119,220.8
0.15,237.9,2.829,240.7
0.175,256.0,2.596,258.6
0.2,272.3,2.403,274.7
0.225,287.0,2.24,289.3
0.25,300.4,2.1,302.5
0.275,312.6,1.979,314.5
0.3,323.6,1.873,325.5
0.35,342.6,1.695,344.3
0.4,358.2,1.552,359.7
0.45,370.7,1.433,372.1
0.5,380.6,1.333,382.0
0.55,388.3,1.247,389.6
0.6,394.2,1.173,395.4
0.65,398.4,1.108,399.5
0.7,401.3,1.051,402.4
0.75,403.1,0.9995,404.1
0.8,404.0,0.9536,404.9
0.85,404.1,0.9121,405.0
0.9,403.5,0.8745,404.4
0.95,402.4,0.8401,403.3
1.0,401.0,0.8086,401.8
1.25,392.5,0.6833,393.2
1.5,380.4,0.5942,381.0
1.75,365.3,0.5272,365.8
2.0,348.6,0.4748,349.1
2.25,332.0,0.4327,332.4
2.5,317.6,0.3979,318.0
2.75,304.9,0.3687,305.3
3.0,293.7,0.3438,294.0
3.5,274.4,0.3036,274.7
4.0,258.3,0.2723,258.6
4.5,244.7,0.2473,244.9
5.0,232.9,0.2268,233.1
5.5,222.5,0.2096,222.7
6.0,213.2,0.1951,213.4
6.5,205.0,0.1825,205.1
7.0,197.5,0.1716,197.6
7.5,190.7,0.162,190.8
8.0,184.4,0.1535,184.6
8.5,178.7,0.1458,178.8
9.0,173.4,0.139,173.5
9.5,168.4,0.1328,168.6
10.0,163.9,0.1272,164.0
12.5,144.9,0.1053,145.0
15.0,130.6,0.09015,130.7
17.5,119.4,0.07901,119.5
20.0,110.2,0.07046,110.3
25.0,96.18,0.05812,96.24
27.5,90.63,0.05352,90.68
30.0,85.78,0.04963,85.83
35.0,77.72,0.04341,77.77
40.0,71.26,0.03863,71.3
45.0,65.94,0.03485,65.98
50.0,61.47,0.03178,61.5
55.0,57.65,0.02923,57.68
60.0,54.35,0.02708,54.38
65.0,51.46,0.02523,51.49
70.0,48.91,0.02363,48.93
75.0,46.63,0.02224,46.65
80.0,44.59,0.021,44.61
85.0,42.75,0.0199,42.77
90.0,41.07,0.01892,41.09
95.0,39.54,0.01803,39.56
100.0,38.14,0.01723,38.16
125.0,32.54,0.01413,32.55
150.0,28.52,0.012,28.53
175.0,25.5,0.01045,25.51
200.0,23.14,0.009268,23.15
225.0,21.24,0.008334,21.25
250.0,19.69,0.007577,19.7
275.0,18.39,0.006951,18.4
300.0,17.28,0.006423,17.29
350.0,15.51,0.005583,15.51
400.0,14.14,0.004942,14.15
450.0,13.06,0.004436,13.06
500.0,12.17,0.004027,12.18
550.0,11.43,0.003689,11.44
600.0,10.81,0.003404,10.81
650.0,10.27,0.003162,10.28
700.0,9.809,0.002952,9.812
750.0,9.403,0.002769,9.406
800.0,9.045,0.002607,9.047
850.0,8.726,0.002464,8.729
900.0,8.441,0.002335,8.444
950.0,8.185,0.00222,8.188
1000.0,7.954,0.002116,7.956
