Energy_MeV,Elec_Stop,Nuc_Stop,Total_Stop,Range_A,Straggling_Long_A,Straggling_Lat_A
0.0325,1.013,5.42,6.433,1.35,1.33,1.03
0.035,1.057,5.295,6.352,1.45,1.38,1.08
0.0375,1.1,5.177,6.276999999999999,1.55,1.44,1.13
0.04,1.141,5.064,6.205,1.64,1.49,1.18
0.045,1.221,4.855,6.0760000000000005,1.84,1.59,1.26
0.05,1.297,4.664,5.960999999999999,2.03,1.68,1.35
0.055,1.37,4.491,5.861,2.22,1.77,1.43
0.06,1.44,4.331,5.771000000000001,2.41,1.85,1.5
0.065,1.508,4.185,5.693,2.6,1.92,1.57
0.07,1.572,4.049,5.621,2.78,1.99,1.64
0.08,1.695,3.807,5.502,3.14,2.12,1.77
0.09,1.811,3.597,5.4079999999999995,3.49,2.24,1.89
0.1,1.919,3.413,5.332,3.83,2.34,2.0
0.11,2.022,3.249,5.271,4.17,2.44,2.1
0.12,2.119,3.103,5.222,4.5,2.53,2.2
0.13,2.21,2.971,5.181,4.82,2.61,2.29
0.14,2.298,2.852,5.15,5.14,2.69,2.37
0.15,2.381,2.744,5.125,5.45,2.76,2.46
0.16,2.459,2.644,5.103,5.76,2.82,2.53
0.17,2.535,2.553,5.088,6.06,2.88,2.61
0.18,2.607,2.469,5.0760000000000005,6.36,2.94,2.68
0.2,2.741,2.319,5.0600000000000005,6.94,3.05,2.82
0.225,2.892,2.158,5.05,7.64,3.17,2.97
0.25,3.027,2.021,5.048,8.33,3.28,3.11
0.275,3.148,1.902,5.05,9.0,3.38,3.25
0.3,3.257,1.799,5.056,9.66,3.47,3.37
0.325,3.354,1.708,5.062,10.3,3.55,3.49
0.35,3.441,1.626,5.067,10.94,3.62,3.6
0.375,3.519,1.553,5.072,11.56,3.69,3.7
0.4,3.589,1.487,5.0760000000000005,12.18,3.76,3.8
0.45,3.706,1.373,5.079,13.39,3.88,3.99
0.5,3.798,1.277,5.075,14.58,3.99,4.17
0.55,3.87,1.194,5.064,15.76,4.1,4.33
0.6,3.924,1.123,5.047,16.94,4.19,4.49
0.65,3.964,1.061,5.025,18.1,4.28,4.64
0.7,3.992,1.006,4.998,19.26,4.36,4.79
0.8,4.019,9.134,13.153,21.58,4.52,5.07
0.9,4.019,8.379,12.398,23.92,4.67,5.33
0.001,3.998,7.75,11.748000000000001,26.27,4.81,5.59
0.0011,3.964,7.218,11.182,28.65,4.95,5.84
0.0012,3.921,6.761,10.682,31.07,5.08,6.09
0.0013,3.871,6.364,10.235,33.52,5.2,6.33
0.0014,3.818,6.015,9.833,36.01,5.33,6.57
0.0015,3.762,5.706,9.468,38.54,5.45,6.81
0.0016,3.704,5.43,9.134,41.12,5.57,7.05
0.0017,3.646,5.182,8.828,43.74,5.69,7.29
0.0018,3.589,4.958,8.547,46.41,5.81,7.53
0.002,3.476,4.567,8.043,51.89,6.07,8.02
0.00225,3.34,4.165,7.505,59.0,6.41,8.63
0.0025,3.214,3.833,7.047000000000001,66.42,6.75,9.26
0.00275,3.096,3.554,6.65,74.14,7.1,9.9
0.003,2.987,3.316,6.303,82.15,7.46,10.56
0.00325,2.887,3.11,5.997,90.47,7.81,11.23
0.0035,2.793,2.93,5.723000000000001,99.07,8.18,11.92
0.00375,2.707,2.772,5.478999999999999,107.97,8.55,12.63
0.004,2.626,2.631,5.257,117.15,8.93,13.35
0.0045,2.482,2.391,4.873,136.34,9.89,14.85
0.005,2.356,2.194,4.55,156.64,10.87,16.41
0.0055,2.245,2.03,4.275,177.99,11.86,18.03
0.006,2.146,1.89,4.036,200.39,12.87,19.72
0.0065,2.058,1.769,3.827,223.79,13.9,21.47
0.007,1.978,1.664,3.642,248.18,14.95,23.28
0.008,1.84,1.489,3.329,299.81,17.83,27.06
0.009,1.74,1.35,3.09,354.89,20.68,31.04
0.01,1.643,1.236,2.879,413.21,23.51,35.19
