Energy_MeV,Elec_Stop,Nuc_Stop,Total_Stop,Range_A,Straggling_Long_A,Straggling_Lat_A
0.09,3.453,5.792,9.245,2.48,1.1,1.01
0.1,3.611,5.442,9.053,2.7,1.14,1.06
0.11,3.75,5.138,8.888,2.92,1.18,1.1
0.12,3.877,4.871,8.748000000000001,3.14,1.21,1.15
0.13,3.993,4.634,8.627,3.35,1.24,1.19
0.14,4.103,4.422,8.524999999999999,3.55,1.27,1.23
0.15,4.207,4.231,8.437999999999999,3.76,1.3,1.26
0.16,4.308,4.058,8.366,3.96,1.32,1.3
0.17,4.405,3.9,8.305,4.16,1.35,1.33
0.18,4.499,3.756,8.254999999999999,4.35,1.37,1.36
0.2,4.68,3.502,8.181999999999999,4.73,1.41,1.42
0.225,4.89,3.233,8.123,5.2,1.45,1.49
0.25,5.083,3.008,8.091000000000001,5.65,1.49,1.56
0.275,5.258,2.815,8.073,6.09,1.53,1.62
0.3,5.416,2.648,8.064,6.52,1.56,1.67
0.325,5.557,2.502,8.059000000000001,6.94,1.59,1.73
0.35,5.682,2.373,8.055,7.35,1.62,1.78
0.375,5.793,2.259,8.052,7.76,1.65,1.82
0.4,5.89,2.155,8.045,8.16,1.67,1.87
0.45,6.05,1.978,8.028,8.95,1.72,1.95
0.5,6.168,1.83,7.998,9.72,1.76,2.03
0.55,6.253,1.705,7.958,10.49,1.8,2.1
0.6,6.311,1.597,7.9079999999999995,11.25,1.84,2.17
0.65,6.346,1.504,7.85,12.01,1.87,2.24
0.7,6.363,1.421,7.784000000000001,12.77,1.9,2.3
0.8,6.354,1.284,7.638,14.29,1.97,2.42
0.9,6.306,1.172,7.478,15.82,2.03,2.54
0.001,6.231,1.08,7.311,17.37,2.09,2.65
0.0011,6.14,1.003,7.143,18.94,2.15,2.76
0.0012,6.039,9.364,15.403,20.55,2.2,2.87
0.0013,5.932,8.791,14.723,22.18,2.26,2.98
0.0014,5.821,8.29,14.110999999999999,23.85,2.31,3.09
0.0015,5.711,7.847,13.558,25.55,2.37,3.19
0.0016,5.601,7.453,13.054,27.29,2.42,3.3
0.0017,5.492,7.1,12.591999999999999,29.06,2.48,3.41
0.0018,5.386,6.782,12.168,30.87,2.53,3.52
0.002,5.182,6.23,11.412,34.59,2.67,3.74
0.00225,4.945,5.663,10.608,39.46,2.85,4.02
0.0025,4.727,5.197,9.924,44.56,3.05,4.32
0.00275,4.528,4.808,9.335999999999999,49.9,3.24,4.62
0.003,4.346,4.477,8.823,55.47,3.44,4.93
0.00325,4.179,4.191,8.370000000000001,61.27,3.64,5.25
0.0035,4.025,3.942,7.9670000000000005,67.3,3.85,5.58
0.00375,3.884,3.724,7.6080000000000005,73.55,4.06,5.92
0.004,3.754,3.53,7.284,80.03,4.28,6.27
0.0045,3.521,3.2,6.721,93.66,4.91,7.0
0.005,3.319,2.93,6.2490000000000006,108.15,5.54,7.77
0.0055,3.143,2.705,5.848,123.5,6.18,8.57
0.006,2.987,2.514,5.5009999999999994,139.68,6.82,9.42
0.0065,2.848,2.35,5.198,156.69,7.47,10.31
0.007,2.724,2.208,4.932,174.5,8.13,11.22
0.008,2.51,1.972,4.481999999999999,212.47,10.2,13.17
0.009,2.366,1.784,4.15,253.22,12.18,15.24
0.01,2.226,1.631,3.857,296.5,14.11,17.41
