Energy_MeV,Elec_Stop,Nuc_Stop,Total_Stop,Range_A,Straggling_Long_A,Straggling_Lat_A
0.055,2.065,5.883,7.948,1.89,1.25,1.04
0.06,2.185,5.645,7.83,2.03,1.3,1.09
0.065,2.301,5.43,7.731,2.18,1.34,1.14
0.07,2.412,5.232,7.644,2.32,1.38,1.18
0.08,2.622,4.884,7.506,2.59,1.45,1.26
0.09,2.818,4.587,7.404999999999999,2.85,1.51,1.33
0.1,3.0,4.329,7.329,3.1,1.57,1.39
0.11,3.17,4.102,7.272,3.35,1.62,1.45
0.12,3.328,3.902,7.23,3.58,1.66,1.5
0.13,3.476,3.723,7.199,3.81,1.7,1.55
0.14,3.615,3.562,7.177,4.04,1.74,1.6
0.15,3.745,3.417,7.162,4.26,1.78,1.65
0.16,3.867,3.284,7.151,4.47,1.81,1.69
0.17,3.982,3.163,7.145,4.68,1.84,1.73
0.18,4.09,3.052,7.1419999999999995,4.89,1.86,1.77
0.2,4.287,2.855,7.1419999999999995,5.3,1.91,1.84
0.225,4.504,2.645,7.148999999999999,5.79,1.97,1.92
0.25,4.692,2.468,7.16,6.26,2.02,1.99
0.275,4.854,2.316,7.17,6.73,2.07,2.06
0.3,4.994,2.184,7.178,7.18,2.11,2.13
0.325,5.115,2.068,7.183,7.63,2.14,2.19
0.35,5.219,1.965,7.184,8.07,2.18,2.24
0.375,5.308,1.873,7.181,8.5,2.21,2.3
0.4,5.384,1.79,7.174,8.94,2.24,2.35
0.45,5.502,1.647,7.149,9.79,2.3,2.45
0.5,5.582,1.527,7.109,10.63,2.35,2.54
0.55,5.633,1.426,7.059,11.47,2.4,2.63
0.6,5.661,1.338,6.999,12.31,2.44,2.71
0.65,5.671,1.262,6.933,13.14,2.48,2.79
0.7,5.666,1.194,6.86,13.98,2.53,2.87
0.8,5.624,1.081,6.705,15.68,2.61,3.03
0.9,5.554,9.892,15.446,17.4,2.69,3.17
0.001,5.466,9.131,14.597000000000001,19.15,2.76,3.32
0.0011,5.368,8.489,13.857000000000001,20.94,2.83,3.46
0.0012,5.266,7.939,13.205,22.76,2.9,3.6
0.0013,5.161,7.462,12.623,24.63,2.98,3.74
0.0014,5.056,7.044,12.1,26.53,3.05,3.89
0.0015,4.953,6.674,11.627,28.48,3.12,4.03
0.0016,4.852,6.344,11.196000000000002,30.47,3.19,4.17
0.0017,4.754,6.049,10.803,32.51,3.26,4.32
0.0018,4.659,5.782,10.440999999999999,34.59,3.33,4.46
0.002,4.479,5.318,9.797,38.87,3.5,4.76
0.00225,4.273,4.841,9.114,44.48,3.73,5.15
0.0025,4.086,4.449,8.535,50.36,3.97,5.54
0.00275,3.917,4.12,8.036999999999999,56.5,4.21,5.95
0.003,3.763,3.839,7.602,62.91,4.46,6.37
0.00325,3.623,3.598,7.221,69.58,4.71,6.81
0.0035,3.495,3.387,6.882,76.5,4.97,7.26
0.00375,3.377,3.201,6.577999999999999,83.68,5.24,7.72
0.004,3.269,3.036,6.305,91.1,5.51,8.2
0.0045,3.076,2.756,5.832,106.67,6.25,9.19
0.005,2.91,2.526,5.436,123.18,7.0,10.22
0.0055,2.764,2.334,5.098,140.6,7.76,11.31
0.006,2.636,2.171,4.807,158.92,8.53,12.44
0.0065,2.521,2.031,4.552,178.11,9.3,13.61
0.007,2.419,1.909,4.328,198.14,10.09,14.83
0.008,2.242,1.706,3.948,240.66,12.43,17.38
0.009,2.117,1.545,3.662,286.12,14.68,20.08
0.01,1.995,1.413,3.4080000000000004,334.35,16.89,22.91
