Energy_MeV,Elec_Stop,Nuc_Stop,Total_Stop,Range_A,Straggling_Long_A,Straggling_Lat_A
0.04,1.358,5.08,6.438000000000001,1.52,1.3,1.03
0.045,1.449,4.873,6.322,1.7,1.38,1.11
0.05,1.536,4.684,6.220000000000001,1.87,1.46,1.18
0.055,1.618,4.512,6.13,2.04,1.53,1.24
0.06,1.696,4.354,6.05,2.21,1.6,1.31
0.065,1.771,4.208,5.979,2.38,1.66,1.37
0.07,1.843,4.073,5.916,2.54,1.72,1.43
0.08,1.979,3.832,5.811,2.86,1.82,1.54
0.09,2.105,3.623,5.728,3.18,1.92,1.64
0.1,2.223,3.438,5.661,3.49,2.01,1.73
0.11,2.334,3.275,5.609,3.79,2.09,1.82
0.12,2.439,3.129,5.568,4.08,2.17,1.9
0.13,2.537,2.997,5.534,4.37,2.23,1.98
0.14,2.63,2.878,5.508,4.66,2.3,2.05
0.15,2.719,2.769,5.4879999999999995,4.94,2.36,2.12
0.16,2.803,2.669,5.4719999999999995,5.21,2.41,2.19
0.17,2.882,2.578,5.46,5.49,2.47,2.25
0.18,2.958,2.493,5.4510000000000005,5.75,2.52,2.32
0.2,3.099,2.342,5.441000000000001,6.28,2.61,2.43
0.225,3.256,2.181,5.436999999999999,6.92,2.71,2.57
0.25,3.396,2.043,5.439,7.54,2.8,2.69
0.275,3.521,1.924,5.445,8.14,2.89,2.81
0.3,3.631,1.82,5.451,8.74,2.96,2.91
0.325,3.729,1.728,5.457,9.33,3.04,3.02
0.35,3.816,1.646,5.462,9.9,3.1,3.11
0.375,3.893,1.572,5.465,10.47,3.16,3.21
0.4,3.961,1.505,5.465999999999999,11.04,3.22,3.3
0.45,4.073,1.39,5.463,12.15,3.33,3.46
0.5,4.158,1.293,5.4510000000000005,13.25,3.43,3.62
0.55,4.22,1.21,5.43,14.33,3.52,3.77
0.6,4.264,1.138,5.402,15.42,3.6,3.91
0.65,4.291,1.075,5.3660000000000005,16.5,3.68,4.05
0.7,4.306,1.02,5.3260000000000005,17.58,3.76,4.18
0.8,4.305,9.26,13.565,19.75,3.91,4.44
0.9,4.274,8.496,12.77,21.94,4.05,4.68
0.001,4.223,7.86,12.083,24.17,4.18,4.92
0.0011,4.158,7.322,11.48,26.44,4.31,5.16
0.0012,4.084,6.859,10.943,28.76,4.43,5.39
0.0013,4.005,6.457,10.462,31.12,4.55,5.63
0.0014,3.923,6.104,10.027000000000001,33.54,4.68,5.86
0.0015,3.841,5.791,9.632000000000001,36.02,4.8,6.1
0.0016,3.759,5.511,9.27,38.56,4.92,6.33
0.0017,3.678,5.26,8.937999999999999,41.15,5.04,6.57
0.0018,3.6,5.033,8.633000000000001,43.81,5.16,6.82
0.002,3.45,4.637,8.087,49.3,5.43,7.31
0.00225,3.277,4.229,7.506,56.52,5.8,7.95
0.0025,3.123,3.892,7.015000000000001,64.12,6.17,8.61
0.00275,2.984,3.61,6.593999999999999,72.09,6.56,9.3
0.003,2.861,3.368,6.229,80.43,6.95,10.01
0.00325,2.751,3.159,5.91,89.13,7.35,10.74
0.0035,2.652,2.977,5.629,98.18,7.77,11.5
0.00375,2.564,2.816,5.38,107.55,8.19,12.28
0.004,2.485,2.673,5.1579999999999995,117.24,8.62,13.08
0.0045,2.348,2.43,4.7780000000000005,137.52,9.71,14.75
0.005,2.235,2.23,4.465,158.92,10.81,16.49
0.0055,2.139,2.063,4.202,181.37,11.92,18.29
0.006,2.058,1.921,3.979,204.77,13.03,20.15
0.0065,1.988,1.798,3.786,229.06,14.15,22.06
0.007,1.926,1.691,3.617,254.19,15.28,24.01
0.008,1.823,1.514,3.3369999999999997,306.7,18.29,28.03
0.009,1.718,1.373,3.091,362.36,21.21,32.2
0.01,1.62,1.257,2.877,421.44,24.13,36.56
